zip_code,city,state,county,latitude,longitude
35000,City_35000,Alabama,County_350,,
35005,City_35005,Alabama,County_350,,
35010,City_35010,Alabama,County_350,,
35015,City_35015,Alabama,County_350,,
35020,City_35020,Alabama,County_350,,
35025,City_35025,Alabama,County_350,,
35030,City_35030,Alabama,County_350,,
35035,City_35035,Alabama,County_350,,
35040,City_35040,Alabama,County_350,,
35045,City_35045,Alabama,County_350,,
35050,City_35050,Alabama,County_350,,
35055,City_35055,Alabama,County_350,,
35060,City_35060,Alabama,County_350,,
35065,City_35065,Alabama,County_350,,
35070,City_35070,Alabama,County_350,,
35075,City_35075,Alabama,County_350,,
35080,City_35080,Alabama,County_350,,
35085,City_35085,Alabama,County_350,,
35090,City_35090,Alabama,County_350,,
35095,City_35095,Alabama,County_350,,
35100,City_35100,Alabama,County_351,,
35105,City_35105,Alabama,County_351,,
35110,City_35110,Alabama,County_351,,
35115,City_35115,Alabama,County_351,,
35120,City_35120,Alabama,County_351,,
35125,City_35125,Alabama,County_351,,
35130,City_35130,Alabama,County_351,,
35135,City_35135,Alabama,County_351,,
35140,City_35140,Alabama,County_351,,
35145,City_35145,Alabama,County_351,,
35150,City_35150,Alabama,County_351,,
35155,City_35155,Alabama,County_351,,
35160,City_35160,Alabama,County_351,,
35165,City_35165,Alabama,County_351,,
35170,City_35170,Alabama,County_351,,
35175,City_35175,Alabama,County_351,,
35180,City_35180,Alabama,County_351,,
35185,City_35185,Alabama,County_351,,
35190,City_35190,Alabama,County_351,,
35195,City_35195,Alabama,County_351,,
35200,City_35200,Alabama,County_352,,
35205,City_35205,Alabama,County_352,,
35210,City_35210,Alabama,County_352,,
35215,City_35215,Alabama,County_352,,
35220,City_35220,Alabama,County_352,,
35225,City_35225,Alabama,County_352,,
35230,City_35230,Alabama,County_352,,
35235,City_35235,Alabama,County_352,,
35240,City_35240,Alabama,County_352,,
35245,City_35245,Alabama,County_352,,
35250,City_35250,Alabama,County_352,,
35255,City_35255,Alabama,County_352,,
35260,City_35260,Alabama,County_352,,
35265,City_35265,Alabama,County_352,,
35270,City_35270,Alabama,County_352,,
35275,City_35275,Alabama,County_352,,
35280,City_35280,Alabama,County_352,,
35285,City_35285,Alabama,County_352,,
35290,City_35290,Alabama,County_352,,
35295,City_35295,Alabama,County_352,,
35300,City_35300,Alabama,County_353,,
35305,City_35305,Alabama,County_353,,
35310,City_35310,Alabama,County_353,,
35315,City_35315,Alabama,County_353,,
35320,City_35320,Alabama,County_353,,
35325,City_35325,Alabama,County_353,,
35330,City_35330,Alabama,County_353,,
35335,City_35335,Alabama,County_353,,
35340,City_35340,Alabama,County_353,,
35345,City_35345,Alabama,County_353,,
35350,City_35350,Alabama,County_353,,
35355,City_35355,Alabama,County_353,,
35360,City_35360,Alabama,County_353,,
35365,City_35365,Alabama,County_353,,
35370,City_35370,Alabama,County_353,,
35375,City_35375,Alabama,County_353,,
35380,City_35380,Alabama,County_353,,
35385,City_35385,Alabama,County_353,,
35390,City_35390,Alabama,County_353,,
35395,City_35395,Alabama,County_353,,
35400,City_35400,Alabama,County_354,,
35405,City_35405,Alabama,County_354,,
35410,City_35410,Alabama,County_354,,
35415,City_35415,Alabama,County_354,,
35420,City_35420,Alabama,County_354,,
35425,City_35425,Alabama,County_354,,
35430,City_35430,Alabama,County_354,,
35435,City_35435,Alabama,County_354,,
35440,City_35440,Alabama,County_354,,
35445,City_35445,Alabama,County_354,,
35450,City_35450,Alabama,County_354,,
35455,City_35455,Alabama,County_354,,
35460,City_35460,Alabama,County_354,,
35465,City_35465,Alabama,County_354,,
35470,City_35470,Alabama,County_354,,
35475,City_35475,Alabama,County_354,,
35480,City_35480,Alabama,County_354,,
35485,City_35485,Alabama,County_354,,
35490,City_35490,Alabama,County_354,,
35495,City_35495,Alabama,County_354,,
35500,City_35500,Alabama,County_355,,
35505,City_35505,Alabama,County_355,,
35510,City_35510,Alabama,County_355,,
35515,City_35515,Alabama,County_355,,
35520,City_35520,Alabama,County_355,,
35525,City_35525,Alabama,County_355,,
35530,City_35530,Alabama,County_355,,
35535,City_35535,Alabama,County_355,,
35540,City_35540,Alabama,County_355,,
35545,City_35545,Alabama,County_355,,
35550,City_35550,Alabama,County_355,,
35555,City_35555,Alabama,County_355,,
35560,City_35560,Alabama,County_355,,
35565,City_35565,Alabama,County_355,,
35570,City_35570,Alabama,County_355,,
35575,City_35575,Alabama,County_355,,
35580,City_35580,Alabama,County_355,,
35585,City_35585,Alabama,County_355,,
35590,City_35590,Alabama,County_355,,
35595,City_35595,Alabama,County_355,,
35600,City_35600,Alabama,County_356,,
35605,City_35605,Alabama,County_356,,
35610,City_35610,Alabama,County_356,,
35615,City_35615,Alabama,County_356,,
35620,City_35620,Alabama,County_356,,
35625,City_35625,Alabama,County_356,,
35630,City_35630,Alabama,County_356,,
35635,City_35635,Alabama,County_356,,
35640,City_35640,Alabama,County_356,,
35645,City_35645,Alabama,County_356,,
35650,City_35650,Alabama,County_356,,
35655,City_35655,Alabama,County_356,,
35660,City_35660,Alabama,County_356,,
35665,City_35665,Alabama,County_356,,
35670,City_35670,Alabama,County_356,,
35675,City_35675,Alabama,County_356,,
35680,City_35680,Alabama,County_356,,
35685,City_35685,Alabama,County_356,,
35690,City_35690,Alabama,County_356,,
35695,City_35695,Alabama,County_356,,
35700,City_35700,Alabama,County_357,,
35705,City_35705,Alabama,County_357,,
35710,City_35710,Alabama,County_357,,
35715,City_35715,Alabama,County_357,,
35720,City_35720,Alabama,County_357,,
35725,City_35725,Alabama,County_357,,
35730,City_35730,Alabama,County_357,,
35735,City_35735,Alabama,County_357,,
35740,City_35740,Alabama,County_357,,
35745,City_35745,Alabama,County_357,,
35750,City_35750,Alabama,County_357,,
35755,City_35755,Alabama,County_357,,
35760,City_35760,Alabama,County_357,,
35765,City_35765,Alabama,County_357,,
35770,City_35770,Alabama,County_357,,
35775,City_35775,Alabama,County_357,,
35780,City_35780,Alabama,County_357,,
35785,City_35785,Alabama,County_357,,
35790,City_35790,Alabama,County_357,,
35795,City_35795,Alabama,County_357,,
35800,City_35800,Alabama,County_358,,
35805,City_35805,Alabama,County_358,,
35810,City_35810,Alabama,County_358,,
35815,City_35815,Alabama,County_358,,
35820,City_35820,Alabama,County_358,,
35825,City_35825,Alabama,County_358,,
35830,City_35830,Alabama,County_358,,
35835,City_35835,Alabama,County_358,,
35840,City_35840,Alabama,County_358,,
35845,City_35845,Alabama,County_358,,
35850,City_35850,Alabama,County_358,,
35855,City_35855,Alabama,County_358,,
35860,City_35860,Alabama,County_358,,
35865,City_35865,Alabama,County_358,,
35870,City_35870,Alabama,County_358,,
35875,City_35875,Alabama,County_358,,
35880,City_35880,Alabama,County_358,,
35885,City_35885,Alabama,County_358,,
35890,City_35890,Alabama,County_358,,
35895,City_35895,Alabama,County_358,,
35900,City_35900,Alabama,County_359,,
35905,City_35905,Alabama,County_359,,
35910,City_35910,Alabama,County_359,,
35915,City_35915,Alabama,County_359,,
35920,City_35920,Alabama,County_359,,
35925,City_35925,Alabama,County_359,,
35930,City_35930,Alabama,County_359,,
35935,City_35935,Alabama,County_359,,
35940,City_35940,Alabama,County_359,,
35945,City_35945,Alabama,County_359,,
35950,City_35950,Alabama,County_359,,
35955,City_35955,Alabama,County_359,,
35960,City_35960,Alabama,County_359,,
35965,City_35965,Alabama,County_359,,
35970,City_35970,Alabama,County_359,,
35975,City_35975,Alabama,County_359,,
35980,City_35980,Alabama,County_359,,
35985,City_35985,Alabama,County_359,,
35990,City_35990,Alabama,County_359,,
35995,City_35995,Alabama,County_359,,
36000,City_36000,Alabama,County_360,,
36005,City_36005,Alabama,County_360,,
36010,City_36010,Alabama,County_360,,
36015,City_36015,Alabama,County_360,,
36020,City_36020,Alabama,County_360,,
36025,City_36025,Alabama,County_360,,
36030,City_36030,Alabama,County_360,,
36035,City_36035,Alabama,County_360,,
36040,City_36040,Alabama,County_360,,
36045,City_36045,Alabama,County_360,,
36050,City_36050,Alabama,County_360,,
36055,City_36055,Alabama,County_360,,
36060,City_36060,Alabama,County_360,,
36065,City_36065,Alabama,County_360,,
36070,City_36070,Alabama,County_360,,
36075,City_36075,Alabama,County_360,,
36080,City_36080,Alabama,County_360,,
36085,City_36085,Alabama,County_360,,
36090,City_36090,Alabama,County_360,,
36095,City_36095,Alabama,County_360,,
36100,City_36100,Alabama,County_361,,
36105,City_36105,Alabama,County_361,,
36110,City_36110,Alabama,County_361,,
36115,City_36115,Alabama,County_361,,
36120,City_36120,Alabama,County_361,,
36125,City_36125,Alabama,County_361,,
36130,City_36130,Alabama,County_361,,
36135,City_36135,Alabama,County_361,,
36140,City_36140,Alabama,County_361,,
36145,City_36145,Alabama,County_361,,
36150,City_36150,Alabama,County_361,,
36155,City_36155,Alabama,County_361,,
36160,City_36160,Alabama,County_361,,
36165,City_36165,Alabama,County_361,,
36170,City_36170,Alabama,County_361,,
36175,City_36175,Alabama,County_361,,
36180,City_36180,Alabama,County_361,,
36185,City_36185,Alabama,County_361,,
36190,City_36190,Alabama,County_361,,
36195,City_36195,Alabama,County_361,,
36200,City_36200,Alabama,County_362,,
36205,City_36205,Alabama,County_362,,
36210,City_36210,Alabama,County_362,,
36215,City_36215,Alabama,County_362,,
36220,City_36220,Alabama,County_362,,
36225,City_36225,Alabama,County_362,,
36230,City_36230,Alabama,County_362,,
36235,City_36235,Alabama,County_362,,
36240,City_36240,Alabama,County_362,,
36245,City_36245,Alabama,County_362,,
36250,City_36250,Alabama,County_362,,
36255,City_36255,Alabama,County_362,,
36260,City_36260,Alabama,County_362,,
36265,City_36265,Alabama,County_362,,
36270,City_36270,Alabama,County_362,,
36275,City_36275,Alabama,County_362,,
36280,City_36280,Alabama,County_362,,
36285,City_36285,Alabama,County_362,,
36290,City_36290,Alabama,County_362,,
36295,City_36295,Alabama,County_362,,
36300,City_36300,Alabama,County_363,,
36305,City_36305,Alabama,County_363,,
36310,City_36310,Alabama,County_363,,
36315,City_36315,Alabama,County_363,,
36320,City_36320,Alabama,County_363,,
36325,City_36325,Alabama,County_363,,
36330,City_36330,Alabama,County_363,,
36335,City_36335,Alabama,County_363,,
36340,City_36340,Alabama,County_363,,
36345,City_36345,Alabama,County_363,,
36350,City_36350,Alabama,County_363,,
36355,City_36355,Alabama,County_363,,
36360,City_36360,Alabama,County_363,,
36365,City_36365,Alabama,County_363,,
36370,City_36370,Alabama,County_363,,
36375,City_36375,Alabama,County_363,,
36380,City_36380,Alabama,County_363,,
36385,City_36385,Alabama,County_363,,
36390,City_36390,Alabama,County_363,,
36395,City_36395,Alabama,County_363,,
36400,City_36400,Alabama,County_364,,
36405,City_36405,Alabama,County_364,,
36410,City_36410,Alabama,County_364,,
36415,City_36415,Alabama,County_364,,
36420,City_36420,Alabama,County_364,,
36425,City_36425,Alabama,County_364,,
36430,City_36430,Alabama,County_364,,
36435,City_36435,Alabama,County_364,,
36440,City_36440,Alabama,County_364,,
36445,City_36445,Alabama,County_364,,
36450,City_36450,Alabama,County_364,,
36455,City_36455,Alabama,County_364,,
36460,City_36460,Alabama,County_364,,
36465,City_36465,Alabama,County_364,,
36470,City_36470,Alabama,County_364,,
36475,City_36475,Alabama,County_364,,
36480,City_36480,Alabama,County_364,,
36485,City_36485,Alabama,County_364,,
36490,City_36490,Alabama,County_364,,
36495,City_36495,Alabama,County_364,,
36500,City_36500,Alabama,County_365,,
36505,City_36505,Alabama,County_365,,
36510,City_36510,Alabama,County_365,,
36515,City_36515,Alabama,County_365,,
36520,City_36520,Alabama,County_365,,
36525,City_36525,Alabama,County_365,,
36530,City_36530,Alabama,County_365,,
36535,City_36535,Alabama,County_365,,
36540,City_36540,Alabama,County_365,,
36545,City_36545,Alabama,County_365,,
36550,City_36550,Alabama,County_365,,
36555,City_36555,Alabama,County_365,,
36560,City_36560,Alabama,County_365,,
36565,City_36565,Alabama,County_365,,
36570,City_36570,Alabama,County_365,,
36575,City_36575,Alabama,County_365,,
36580,City_36580,Alabama,County_365,,
36585,City_36585,Alabama,County_365,,
36590,City_36590,Alabama,County_365,,
36595,City_36595,Alabama,County_365,,
36600,City_36600,Alabama,County_366,,
36605,City_36605,Alabama,County_366,,
36610,City_36610,Alabama,County_366,,
36615,City_36615,Alabama,County_366,,
36620,City_36620,Alabama,County_366,,
36625,City_36625,Alabama,County_366,,
