zip_code,city,state,county,latitude,longitude
99500,City_99500,Alaska,County_995,,
99505,City_99505,Alaska,County_995,,
99510,City_99510,Alaska,County_995,,
99515,City_99515,Alaska,County_995,,
99520,City_99520,Alaska,County_995,,
99525,City_99525,Alaska,County_995,,
99530,City_99530,Alaska,County_995,,
99535,City_99535,Alaska,County_995,,
99540,City_99540,Alaska,County_995,,
99545,City_99545,Alaska,County_995,,
99550,City_99550,Alaska,County_995,,
99555,City_99555,Alaska,County_995,,
99560,City_99560,Alaska,County_995,,
99565,City_99565,Alaska,County_995,,
99570,City_99570,Alaska,County_995,,
99575,City_99575,Alaska,County_995,,
99580,City_99580,Alaska,County_995,,
99585,City_99585,Alaska,County_995,,
99590,City_99590,Alaska,County_995,,
99595,City_99595,Alaska,County_995,,
99600,City_99600,Alaska,County_996,,
99605,City_99605,Alaska,County_996,,
99610,City_99610,Alaska,County_996,,
99615,City_99615,Alaska,County_996,,
99620,City_99620,Alaska,County_996,,
99625,City_99625,Alaska,County_996,,
99630,City_99630,Alaska,County_996,,
99635,City_99635,Alaska,County_996,,
99640,City_99640,Alaska,County_996,,
99645,City_99645,Alaska,County_996,,
99650,City_99650,Alaska,County_996,,
99655,City_99655,Alaska,County_996,,
99660,City_99660,Alaska,County_996,,
99665,City_99665,Alaska,County_996,,
99670,City_99670,Alaska,County_996,,
99675,City_99675,Alaska,County_996,,
99680,City_99680,Alaska,County_996,,
99685,City_99685,Alaska,County_996,,
99690,City_99690,Alaska,County_996,,
99695,City_99695,Alaska,County_996,,
99700,City_99700,Alaska,County_997,,
99705,City_99705,Alaska,County_997,,
99710,City_99710,Alaska,County_997,,
99715,City_99715,Alaska,County_997,,
99720,City_99720,Alaska,County_997,,
99725,City_99725,Alaska,County_997,,
99730,City_99730,Alaska,County_997,,
99735,City_99735,Alaska,County_997,,
99740,City_99740,Alaska,County_997,,
99745,City_99745,Alaska,County_997,,
99750,City_99750,Alaska,County_997,,
99755,City_99755,Alaska,County_997,,
99760,City_99760,Alaska,County_997,,
99765,City_99765,Alaska,County_997,,
99770,City_99770,Alaska,County_997,,
99775,City_99775,Alaska,County_997,,
99780,City_99780,Alaska,County_997,,
99785,City_99785,Alaska,County_997,,
99790,City_99790,Alaska,County_997,,
99795,City_99795,Alaska,County_997,,
99800,City_99800,Alaska,County_998,,
99805,City_99805,Alaska,County_998,,
99810,City_99810,Alaska,County_998,,
99815,City_99815,Alaska,County_998,,
99820,City_99820,Alaska,County_998,,
99825,City_99825,Alaska,County_998,,
99830,City_99830,Alaska,County_998,,
99835,City_99835,Alaska,County_998,,
99840,City_99840,Alaska,County_998,,
99845,City_99845,Alaska,County_998,,
99850,City_99850,Alaska,County_998,,
99855,City_99855,Alaska,County_998,,
99860,City_99860,Alaska,County_998,,
99865,City_99865,Alaska,County_998,,
99870,City_99870,Alaska,County_998,,
99875,City_99875,Alaska,County_998,,
99880,City_99880,Alaska,County_998,,
99885,City_99885,Alaska,County_998,,
99890,City_99890,Alaska,County_998,,
99895,City_99895,Alaska,County_998,,
99900,City_99900,Alaska,County_999,,
99905,City_99905,Alaska,County_999,,
99910,City_99910,Alaska,County_999,,
99915,City_99915,Alaska,County_999,,
99920,City_99920,Alaska,County_999,,
99925,City_99925,Alaska,County_999,,
99930,City_99930,Alaska,County_999,,
99935,City_99935,Alaska,County_999,,
99940,City_99940,Alaska,County_999,,
99945,City_99945,Alaska,County_999,,
99950,City_99950,Alaska,County_999,,
99955,City_99955,Alaska,County_999,,
99960,City_99960,Alaska,County_999,,
99965,City_99965,Alaska,County_999,,
99970,City_99970,Alaska,County_999,,
99975,City_99975,Alaska,County_999,,
99980,City_99980,Alaska,County_999,,
99985,City_99985,Alaska,County_999,,
99990,City_99990,Alaska,County_999,,
99995,City_99995,Alaska,County_999,,
