zip_code,city,state,county,latitude,longitude
85000,City_85000,Arizona,County_850,,
85005,City_85005,Arizona,County_850,,
85010,City_85010,Arizona,County_850,,
85015,City_85015,Arizona,County_850,,
85020,City_85020,Arizona,County_850,,
85025,City_85025,Arizona,County_850,,
85030,City_85030,Arizona,County_850,,
85035,City_85035,Arizona,County_850,,
85040,City_85040,Arizona,County_850,,
85045,City_85045,Arizona,County_850,,
85050,City_85050,Arizona,County_850,,
85055,City_85055,Arizona,County_850,,
85060,City_85060,Arizona,County_850,,
85065,City_85065,Arizona,County_850,,
85070,City_85070,Arizona,County_850,,
85075,City_85075,Arizona,County_850,,
85080,City_85080,Arizona,County_850,,
85085,City_85085,Arizona,County_850,,
85090,City_85090,Arizona,County_850,,
85095,City_85095,Arizona,County_850,,
85100,City_85100,Arizona,County_851,,
85105,City_85105,Arizona,County_851,,
85110,City_85110,Arizona,County_851,,
85115,City_85115,Arizona,County_851,,
85120,City_85120,Arizona,County_851,,
85125,City_85125,Arizona,County_851,,
85130,City_85130,Arizona,County_851,,
85135,City_85135,Arizona,County_851,,
85140,City_85140,Arizona,County_851,,
85145,City_85145,Arizona,County_851,,
85150,City_85150,Arizona,County_851,,
85155,City_85155,Arizona,County_851,,
85160,City_85160,Arizona,County_851,,
85165,City_85165,Arizona,County_851,,
85170,City_85170,Arizona,County_851,,
85175,City_85175,Arizona,County_851,,
85180,City_85180,Arizona,County_851,,
85185,City_85185,Arizona,County_851,,
85190,City_85190,Arizona,County_851,,
85195,City_85195,Arizona,County_851,,
85200,City_85200,Arizona,County_852,,
85205,City_85205,Arizona,County_852,,
85210,City_85210,Arizona,County_852,,
85215,City_85215,Arizona,County_852,,
85220,City_85220,Arizona,County_852,,
85225,City_85225,Arizona,County_852,,
85230,City_85230,Arizona,County_852,,
85235,City_85235,Arizona,County_852,,
85240,City_85240,Arizona,County_852,,
85245,City_85245,Arizona,County_852,,
85250,City_85250,Arizona,County_852,,
85255,City_85255,Arizona,County_852,,
85260,City_85260,Arizona,County_852,,
85265,City_85265,Arizona,County_852,,
85270,City_85270,Arizona,County_852,,
85275,City_85275,Arizona,County_852,,
85280,City_85280,Arizona,County_852,,
85285,City_85285,Arizona,County_852,,
85290,City_85290,Arizona,County_852,,
85295,City_85295,Arizona,County_852,,
85300,City_85300,Arizona,County_853,,
85305,City_85305,Arizona,County_853,,
85310,City_85310,Arizona,County_853,,
85315,City_85315,Arizona,County_853,,
85320,City_85320,Arizona,County_853,,
85325,City_85325,Arizona,County_853,,
85330,City_85330,Arizona,County_853,,
85335,City_85335,Arizona,County_853,,
85340,City_85340,Arizona,County_853,,
85345,City_85345,Arizona,County_853,,
85350,City_85350,Arizona,County_853,,
85355,City_85355,Arizona,County_853,,
85360,City_85360,Arizona,County_853,,
85365,City_85365,Arizona,County_853,,
85370,City_85370,Arizona,County_853,,
85375,City_85375,Arizona,County_853,,
85380,City_85380,Arizona,County_853,,
85385,City_85385,Arizona,County_853,,
85390,City_85390,Arizona,County_853,,
85395,City_85395,Arizona,County_853,,
85400,City_85400,Arizona,County_854,,
85405,City_85405,Arizona,County_854,,
85410,City_85410,Arizona,County_854,,
85415,City_85415,Arizona,County_854,,
85420,City_85420,Arizona,County_854,,
85425,City_85425,Arizona,County_854,,
85430,City_85430,Arizona,County_854,,
85435,City_85435,Arizona,County_854,,
85440,City_85440,Arizona,County_854,,
85445,City_85445,Arizona,County_854,,
85450,City_85450,Arizona,County_854,,
85455,City_85455,Arizona,County_854,,
85460,City_85460,Arizona,County_854,,
85465,City_85465,Arizona,County_854,,
85470,City_85470,Arizona,County_854,,
85475,City_85475,Arizona,County_854,,
85480,City_85480,Arizona,County_854,,
85485,City_85485,Arizona,County_854,,
85490,City_85490,Arizona,County_854,,
85495,City_85495,Arizona,County_854,,
85500,City_85500,Arizona,County_855,,
85505,City_85505,Arizona,County_855,,
85510,City_85510,Arizona,County_855,,
85515,City_85515,Arizona,County_855,,
85520,City_85520,Arizona,County_855,,
85525,City_85525,Arizona,County_855,,
85530,City_85530,Arizona,County_855,,
85535,City_85535,Arizona,County_855,,
85540,City_85540,Arizona,County_855,,
85545,City_85545,Arizona,County_855,,
85550,City_85550,Arizona,County_855,,
85555,City_85555,Arizona,County_855,,
85560,City_85560,Arizona,County_855,,
85565,City_85565,Arizona,County_855,,
85570,City_85570,Arizona,County_855,,
85575,City_85575,Arizona,County_855,,
85580,City_85580,Arizona,County_855,,
85585,City_85585,Arizona,County_855,,
85590,City_85590,Arizona,County_855,,
85595,City_85595,Arizona,County_855,,
85600,City_85600,Arizona,County_856,,
85605,City_85605,Arizona,County_856,,
85610,City_85610,Arizona,County_856,,
85615,City_85615,Arizona,County_856,,
85620,City_85620,Arizona,County_856,,
85625,City_85625,Arizona,County_856,,
85630,City_85630,Arizona,County_856,,
85635,City_85635,Arizona,County_856,,
85640,City_85640,Arizona,County_856,,
85645,City_85645,Arizona,County_856,,
85650,City_85650,Arizona,County_856,,
85655,City_85655,Arizona,County_856,,
85660,City_85660,Arizona,County_856,,
85665,City_85665,Arizona,County_856,,
85670,City_85670,Arizona,County_856,,
85675,City_85675,Arizona,County_856,,
85680,City_85680,Arizona,County_856,,
85685,City_85685,Arizona,County_856,,
85690,City_85690,Arizona,County_856,,
85695,City_85695,Arizona,County_856,,
85700,City_85700,Arizona,County_857,,
85705,City_85705,Arizona,County_857,,
85710,City_85710,Arizona,County_857,,
85715,City_85715,Arizona,County_857,,
85720,City_85720,Arizona,County_857,,
85725,City_85725,Arizona,County_857,,
85730,City_85730,Arizona,County_857,,
85735,City_85735,Arizona,County_857,,
85740,City_85740,Arizona,County_857,,
85745,City_85745,Arizona,County_857,,
85750,City_85750,Arizona,County_857,,
85755,City_85755,Arizona,County_857,,
85760,City_85760,Arizona,County_857,,
85765,City_85765,Arizona,County_857,,
85770,City_85770,Arizona,County_857,,
85775,City_85775,Arizona,County_857,,
85780,City_85780,Arizona,County_857,,
85785,City_85785,Arizona,County_857,,
85790,City_85790,Arizona,County_857,,
85795,City_85795,Arizona,County_857,,
85800,City_85800,Arizona,County_858,,
85805,City_85805,Arizona,County_858,,
85810,City_85810,Arizona,County_858,,
85815,City_85815,Arizona,County_858,,
85820,City_85820,Arizona,County_858,,
85825,City_85825,Arizona,County_858,,
85830,City_85830,Arizona,County_858,,
85835,City_85835,Arizona,County_858,,
85840,City_85840,Arizona,County_858,,
85845,City_85845,Arizona,County_858,,
85850,City_85850,Arizona,County_858,,
85855,City_85855,Arizona,County_858,,
85860,City_85860,Arizona,County_858,,
85865,City_85865,Arizona,County_858,,
85870,City_85870,Arizona,County_858,,
85875,City_85875,Arizona,County_858,,
85880,City_85880,Arizona,County_858,,
85885,City_85885,Arizona,County_858,,
85890,City_85890,Arizona,County_858,,
85895,City_85895,Arizona,County_858,,
85900,City_85900,Arizona,County_859,,
85905,City_85905,Arizona,County_859,,
85910,City_85910,Arizona,County_859,,
85915,City_85915,Arizona,County_859,,
85920,City_85920,Arizona,County_859,,
85925,City_85925,Arizona,County_859,,
85930,City_85930,Arizona,County_859,,
85935,City_85935,Arizona,County_859,,
85940,City_85940,Arizona,County_859,,
85945,City_85945,Arizona,County_859,,
85950,City_85950,Arizona,County_859,,
85955,City_85955,Arizona,County_859,,
85960,City_85960,Arizona,County_859,,
85965,City_85965,Arizona,County_859,,
85970,City_85970,Arizona,County_859,,
85975,City_85975,Arizona,County_859,,
85980,City_85980,Arizona,County_859,,
85985,City_85985,Arizona,County_859,,
85990,City_85990,Arizona,County_859,,
85995,City_85995,Arizona,County_859,,
86000,City_86000,Arizona,County_860,,
86005,City_86005,Arizona,County_860,,
86010,City_86010,Arizona,County_860,,
86015,City_86015,Arizona,County_860,,
86020,City_86020,Arizona,County_860,,
86025,City_86025,Arizona,County_860,,
86030,City_86030,Arizona,County_860,,
86035,City_86035,Arizona,County_860,,
86040,City_86040,Arizona,County_860,,
86045,City_86045,Arizona,County_860,,
86050,City_86050,Arizona,County_860,,
86055,City_86055,Arizona,County_860,,
86060,City_86060,Arizona,County_860,,
86065,City_86065,Arizona,County_860,,
86070,City_86070,Arizona,County_860,,
86075,City_86075,Arizona,County_860,,
86080,City_86080,Arizona,County_860,,
86085,City_86085,Arizona,County_860,,
86090,City_86090,Arizona,County_860,,
86095,City_86095,Arizona,County_860,,
86100,City_86100,Arizona,County_861,,
86105,City_86105,Arizona,County_861,,
86110,City_86110,Arizona,County_861,,
86115,City_86115,Arizona,County_861,,
86120,City_86120,Arizona,County_861,,
86125,City_86125,Arizona,County_861,,
86130,City_86130,Arizona,County_861,,
86135,City_86135,Arizona,County_861,,
86140,City_86140,Arizona,County_861,,
86145,City_86145,Arizona,County_861,,
86150,City_86150,Arizona,County_861,,
86155,City_86155,Arizona,County_861,,
86160,City_86160,Arizona,County_861,,
86165,City_86165,Arizona,County_861,,
86170,City_86170,Arizona,County_861,,
86175,City_86175,Arizona,County_861,,
86180,City_86180,Arizona,County_861,,
86185,City_86185,Arizona,County_861,,
86190,City_86190,Arizona,County_861,,
86195,City_86195,Arizona,County_861,,
86200,City_86200,Arizona,County_862,,
86205,City_86205,Arizona,County_862,,
86210,City_86210,Arizona,County_862,,
86215,City_86215,Arizona,County_862,,
86220,City_86220,Arizona,County_862,,
86225,City_86225,Arizona,County_862,,
86230,City_86230,Arizona,County_862,,
86235,City_86235,Arizona,County_862,,
86240,City_86240,Arizona,County_862,,
86245,City_86245,Arizona,County_862,,
86250,City_86250,Arizona,County_862,,
86255,City_86255,Arizona,County_862,,
86260,City_86260,Arizona,County_862,,
86265,City_86265,Arizona,County_862,,
86270,City_86270,Arizona,County_862,,
86275,City_86275,Arizona,County_862,,
86280,City_86280,Arizona,County_862,,
86285,City_86285,Arizona,County_862,,
86290,City_86290,Arizona,County_862,,
86295,City_86295,Arizona,County_862,,
86300,City_86300,Arizona,County_863,,
86305,City_86305,Arizona,County_863,,
86310,City_86310,Arizona,County_863,,
86315,City_86315,Arizona,County_863,,
86320,City_86320,Arizona,County_863,,
86325,City_86325,Arizona,County_863,,
86330,City_86330,Arizona,County_863,,
86335,City_86335,Arizona,County_863,,
86340,City_86340,Arizona,County_863,,
86345,City_86345,Arizona,County_863,,
86350,City_86350,Arizona,County_863,,
86355,City_86355,Arizona,County_863,,
86360,City_86360,Arizona,County_863,,
86365,City_86365,Arizona,County_863,,
86370,City_86370,Arizona,County_863,,
86375,City_86375,Arizona,County_863,,
86380,City_86380,Arizona,County_863,,
86385,City_86385,Arizona,County_863,,
86390,City_86390,Arizona,County_863,,
86395,City_86395,Arizona,County_863,,
86400,City_86400,Arizona,County_864,,
86405,City_86405,Arizona,County_864,,
86410,City_86410,Arizona,County_864,,
86415,City_86415,Arizona,County_864,,
86420,City_86420,Arizona,County_864,,
86425,City_86425,Arizona,County_864,,
86430,City_86430,Arizona,County_864,,
86435,City_86435,Arizona,County_864,,
86440,City_86440,Arizona,County_864,,
86445,City_86445,Arizona,County_864,,
86450,City_86450,Arizona,County_864,,
86455,City_86455,Arizona,County_864,,
86460,City_86460,Arizona,County_864,,
86465,City_86465,Arizona,County_864,,
86470,City_86470,Arizona,County_864,,
86475,City_86475,Arizona,County_864,,
86480,City_86480,Arizona,County_864,,
86485,City_86485,Arizona,County_864,,
86490,City_86490,Arizona,County_864,,
86495,City_86495,Arizona,County_864,,
86500,City_86500,Arizona,County_865,,
86505,City_86505,Arizona,County_865,,
86510,City_86510,Arizona,County_865,,
86515,City_86515,Arizona,County_865,,
86520,City_86520,Arizona,County_865,,
86525,City_86525,Arizona,County_865,,
86530,City_86530,Arizona,County_865,,
86535,City_86535,Arizona,County_865,,
86540,City_86540,Arizona,County_865,,
86545,City_86545,Arizona,County_865,,
86550,City_86550,Arizona,County_865,,
86555,City_86555,Arizona,County_865,,
86560,City_86560,Arizona,County_865,,
86565,City_86565,Arizona,County_865,,
86570,City_86570,Arizona,County_865,,
86575,City_86575,Arizona,County_865,,
86580,City_86580,Arizona,County_865,,
86585,City_86585,Arizona,County_865,,
86590,City_86590,Arizona,County_865,,
86595,City_86595,Arizona,County_865,,
