zip_code,city,state,county,latitude,longitude
71600,City_71600,Arkansas,County_716,,
71605,City_71605,Arkansas,County_716,,
71610,City_71610,Arkansas,County_716,,
71615,City_71615,Arkansas,County_716,,
71620,City_71620,Arkansas,County_716,,
71625,City_71625,Arkansas,County_716,,
71630,City_71630,Arkansas,County_716,,
71635,City_71635,Arkansas,County_716,,
71640,City_71640,Arkansas,County_716,,
71645,City_71645,Arkansas,County_716,,
71650,City_71650,Arkansas,County_716,,
71655,City_71655,Arkansas,County_716,,
71660,City_71660,Arkansas,County_716,,
71665,City_71665,Arkansas,County_716,,
71670,City_71670,Arkansas,County_716,,
71675,City_71675,Arkansas,County_716,,
71680,City_71680,Arkansas,County_716,,
71685,City_71685,Arkansas,County_716,,
71690,City_71690,Arkansas,County_716,,
71695,City_71695,Arkansas,County_716,,
71700,City_71700,Arkansas,County_717,,
71705,City_71705,Arkansas,County_717,,
71710,City_71710,Arkansas,County_717,,
71715,City_71715,Arkansas,County_717,,
71720,City_71720,Arkansas,County_717,,
71725,City_71725,Arkansas,County_717,,
71730,City_71730,Arkansas,County_717,,
71735,City_71735,Arkansas,County_717,,
71740,City_71740,Arkansas,County_717,,
71745,City_71745,Arkansas,County_717,,
71750,City_71750,Arkansas,County_717,,
71755,City_71755,Arkansas,County_717,,
71760,City_71760,Arkansas,County_717,,
71765,City_71765,Arkansas,County_717,,
71770,City_71770,Arkansas,County_717,,
71775,City_71775,Arkansas,County_717,,
71780,City_71780,Arkansas,County_717,,
71785,City_71785,Arkansas,County_717,,
71790,City_71790,Arkansas,County_717,,
71795,City_71795,Arkansas,County_717,,
71800,City_71800,Arkansas,County_718,,
71805,City_71805,Arkansas,County_718,,
71810,City_71810,Arkansas,County_718,,
71815,City_71815,Arkansas,County_718,,
71820,City_71820,Arkansas,County_718,,
71825,City_71825,Arkansas,County_718,,
71830,City_71830,Arkansas,County_718,,
71835,City_71835,Arkansas,County_718,,
71840,City_71840,Arkansas,County_718,,
71845,City_71845,Arkansas,County_718,,
71850,City_71850,Arkansas,County_718,,
71855,City_71855,Arkansas,County_718,,
71860,City_71860,Arkansas,County_718,,
71865,City_71865,Arkansas,County_718,,
71870,City_71870,Arkansas,County_718,,
71875,City_71875,Arkansas,County_718,,
71880,City_71880,Arkansas,County_718,,
71885,City_71885,Arkansas,County_718,,
71890,City_71890,Arkansas,County_718,,
71895,City_71895,Arkansas,County_718,,
71900,City_71900,Arkansas,County_719,,
71905,City_71905,Arkansas,County_719,,
71910,City_71910,Arkansas,County_719,,
71915,City_71915,Arkansas,County_719,,
71920,City_71920,Arkansas,County_719,,
71925,City_71925,Arkansas,County_719,,
71930,City_71930,Arkansas,County_719,,
71935,City_71935,Arkansas,County_719,,
71940,City_71940,Arkansas,County_719,,
71945,City_71945,Arkansas,County_719,,
71950,City_71950,Arkansas,County_719,,
71955,City_71955,Arkansas,County_719,,
71960,City_71960,Arkansas,County_719,,
71965,City_71965,Arkansas,County_719,,
71970,City_71970,Arkansas,County_719,,
71975,City_71975,Arkansas,County_719,,
71980,City_71980,Arkansas,County_719,,
71985,City_71985,Arkansas,County_719,,
71990,City_71990,Arkansas,County_719,,
71995,City_71995,Arkansas,County_719,,
72000,City_72000,Arkansas,County_720,,
72005,City_72005,Arkansas,County_720,,
72010,City_72010,Arkansas,County_720,,
72015,City_72015,Arkansas,County_720,,
72020,City_72020,Arkansas,County_720,,
72025,City_72025,Arkansas,County_720,,
72030,City_72030,Arkansas,County_720,,
72035,City_72035,Arkansas,County_720,,
72040,City_72040,Arkansas,County_720,,
72045,City_72045,Arkansas,County_720,,
72050,City_72050,Arkansas,County_720,,
72055,City_72055,Arkansas,County_720,,
72060,City_72060,Arkansas,County_720,,
72065,City_72065,Arkansas,County_720,,
72070,City_72070,Arkansas,County_720,,
72075,City_72075,Arkansas,County_720,,
72080,City_72080,Arkansas,County_720,,
72085,City_72085,Arkansas,County_720,,
72090,City_72090,Arkansas,County_720,,
