zip_code,city,state,county,latitude,longitude
90000,City_90000,California,County_900,,
90005,City_90005,California,County_900,,
90010,City_90010,California,County_900,,
90015,City_90015,California,County_900,,
90020,City_90020,California,County_900,,
90025,City_90025,California,County_900,,
90030,City_90030,California,County_900,,
90035,City_90035,California,County_900,,
90040,City_90040,California,County_900,,
90045,City_90045,California,County_900,,
90050,City_90050,California,County_900,,
90055,City_90055,California,County_900,,
90060,City_90060,California,County_900,,
90065,City_90065,California,County_900,,
90070,City_90070,California,County_900,,
90075,City_90075,California,County_900,,
90080,City_90080,California,County_900,,
90085,City_90085,California,County_900,,
90090,City_90090,California,County_900,,
90095,City_90095,California,County_900,,
90100,City_90100,California,County_901,,
90105,City_90105,California,County_901,,
90110,City_90110,California,County_901,,
90115,City_90115,California,County_901,,
90120,City_90120,California,County_901,,
90125,City_90125,California,County_901,,
90130,City_90130,California,County_901,,
90135,City_90135,California,County_901,,
90140,City_90140,California,County_901,,
90145,City_90145,California,County_901,,
90150,City_90150,California,County_901,,
90155,City_90155,California,County_901,,
90160,City_90160,California,County_901,,
90165,City_90165,California,County_901,,
90170,City_90170,California,County_901,,
90175,City_90175,California,County_901,,
90180,City_90180,California,County_901,,
90185,City_90185,California,County_901,,
90190,City_90190,California,County_901,,
90195,City_90195,California,County_901,,
90200,City_90200,California,County_902,,
90205,City_90205,California,County_902,,
90210,City_90210,California,County_902,,
90215,City_90215,California,County_902,,
90220,City_90220,California,County_902,,
90225,City_90225,California,County_902,,
90230,City_90230,California,County_902,,
90235,City_90235,California,County_902,,
90240,City_90240,California,County_902,,
90245,City_90245,California,County_902,,
90250,City_90250,California,County_902,,
90255,City_90255,California,County_902,,
90260,City_90260,California,County_902,,
90265,City_90265,California,County_902,,
90270,City_90270,California,County_902,,
90275,City_90275,California,County_902,,
90280,City_90280,California,County_902,,
90285,City_90285,California,County_902,,
90290,City_90290,California,County_902,,
90295,City_90295,California,County_902,,
90300,City_90300,California,County_903,,
90305,City_90305,California,County_903,,
90310,City_90310,California,County_903,,
90315,City_90315,California,County_903,,
90320,City_90320,California,County_903,,
90325,City_90325,California,County_903,,
90330,City_90330,California,County_903,,
90335,City_90335,California,County_903,,
90340,City_90340,California,County_903,,
90345,City_90345,California,County_903,,
90350,City_90350,California,County_903,,
90355,City_90355,California,County_903,,
90360,City_90360,California,County_903,,
90365,City_90365,California,County_903,,
90370,City_90370,California,County_903,,
90375,City_90375,California,County_903,,
90380,City_90380,California,County_903,,
90385,City_90385,California,County_903,,
90390,City_90390,California,County_903,,
90395,City_90395,California,County_903,,
90400,City_90400,California,County_904,,
90405,City_90405,California,County_904,,
90410,City_90410,California,County_904,,
90415,City_90415,California,County_904,,
90420,City_90420,California,County_904,,
90425,City_90425,California,County_904,,
90430,City_90430,California,County_904,,
90435,City_90435,California,County_904,,
90440,City_90440,California,County_904,,
90445,City_90445,California,County_904,,
90450,City_90450,California,County_904,,
90455,City_90455,California,County_904,,
90460,City_90460,California,County_904,,
90465,City_90465,California,County_904,,
90470,City_90470,California,County_904,,
90475,City_90475,California,County_904,,
90480,City_90480,California,County_904,,
90485,City_90485,California,County_904,,
90490,City_90490,California,County_904,,
90495,City_90495,California,County_904,,
90500,City_90500,California,County_905,,
90505,City_90505,California,County_905,,
90510,City_90510,California,County_905,,
90515,City_90515,California,County_905,,
90520,City_90520,California,County_905,,
90525,City_90525,California,County_905,,
90530,City_90530,California,County_905,,
90535,City_90535,California,County_905,,
90540,City_90540,California,County_905,,
90545,City_90545,California,County_905,,
90550,City_90550,California,County_905,,
90555,City_90555,California,County_905,,
90560,City_90560,California,County_905,,
90565,City_90565,California,County_905,,
90570,City_90570,California,County_905,,
90575,City_90575,California,County_905,,
90580,City_90580,California,County_905,,
90585,City_90585,California,County_905,,
90590,City_90590,California,County_905,,
90595,City_90595,California,County_905,,
