zip_code,city,state,county,latitude,longitude
80000,City_80000,Colorado,County_800,,
80005,City_80005,Colorado,County_800,,
80010,City_80010,Colorado,County_800,,
80015,City_80015,Colorado,County_800,,
80020,City_80020,Colorado,County_800,,
80025,City_80025,Colorado,County_800,,
80030,City_80030,Colorado,County_800,,
80035,City_80035,Colorado,County_800,,
80040,City_80040,Colorado,County_800,,
80045,City_80045,Colorado,County_800,,
80050,City_80050,Colorado,County_800,,
80055,City_80055,Colorado,County_800,,
80060,City_80060,Colorado,County_800,,
80065,City_80065,Colorado,County_800,,
80070,City_80070,Colorado,County_800,,
80075,City_80075,Colorado,County_800,,
80080,City_80080,Colorado,County_800,,
80085,City_80085,Colorado,County_800,,
80090,City_80090,Colorado,County_800,,
80095,City_80095,Colorado,County_800,,
80100,City_80100,Colorado,County_801,,
80105,City_80105,Colorado,County_801,,
80110,City_80110,Colorado,County_801,,
80115,City_80115,Colorado,County_801,,
80120,City_80120,Colorado,County_801,,
80125,City_80125,Colorado,County_801,,
80130,City_80130,Colorado,County_801,,
80135,City_80135,Colorado,County_801,,
80140,City_80140,Colorado,County_801,,
80145,City_80145,Colorado,County_801,,
80150,City_80150,Colorado,County_801,,
80155,City_80155,Colorado,County_801,,
80160,City_80160,Colorado,County_801,,
80165,City_80165,Colorado,County_801,,
80170,City_80170,Colorado,County_801,,
80175,City_80175,Colorado,County_801,,
80180,City_80180,Colorado,County_801,,
80185,City_80185,Colorado,County_801,,
80190,City_80190,Colorado,County_801,,
80195,City_80195,Colorado,County_801,,
80200,City_80200,Colorado,County_802,,
80205,City_80205,Colorado,County_802,,
80210,City_80210,Colorado,County_802,,
80215,City_80215,Colorado,County_802,,
80220,City_80220,Colorado,County_802,,
80225,City_80225,Colorado,County_802,,
80230,City_80230,Colorado,County_802,,
80235,City_80235,Colorado,County_802,,
80240,City_80240,Colorado,County_802,,
80245,City_80245,Colorado,County_802,,
80250,City_80250,Colorado,County_802,,
80255,City_80255,Colorado,County_802,,
80260,City_80260,Colorado,County_802,,
80265,City_80265,Colorado,County_802,,
80270,City_80270,Colorado,County_802,,
80275,City_80275,Colorado,County_802,,
80280,City_80280,Colorado,County_802,,
80285,City_80285,Colorado,County_802,,
80290,City_80290,Colorado,County_802,,
80295,City_80295,Colorado,County_802,,
80300,City_80300,Colorado,County_803,,
80305,City_80305,Colorado,County_803,,
80310,City_80310,Colorado,County_803,,
80315,City_80315,Colorado,County_803,,
80320,City_80320,Colorado,County_803,,
80325,City_80325,Colorado,County_803,,
80330,City_80330,Colorado,County_803,,
80335,City_80335,Colorado,County_803,,
80340,City_80340,Colorado,County_803,,
80345,City_80345,Colorado,County_803,,
80350,City_80350,Colorado,County_803,,
80355,City_80355,Colorado,County_803,,
80360,City_80360,Colorado,County_803,,
80365,City_80365,Colorado,County_803,,
80370,City_80370,Colorado,County_803,,
80375,City_80375,Colorado,County_803,,
80380,City_80380,Colorado,County_803,,
80385,City_80385,Colorado,County_803,,
80390,City_80390,Colorado,County_803,,
80395,City_80395,Colorado,County_803,,
80400,City_80400,Colorado,County_804,,
80405,City_80405,Colorado,County_804,,
80410,City_80410,Colorado,County_804,,
80415,City_80415,Colorado,County_804,,
80420,City_80420,Colorado,County_804,,
80425,City_80425,Colorado,County_804,,
80430,City_80430,Colorado,County_804,,
80435,City_80435,Colorado,County_804,,
80440,City_80440,Colorado,County_804,,
80445,City_80445,Colorado,County_804,,
80450,City_80450,Colorado,County_804,,
