zip_code,city,state,county,latitude,longitude
06000,City_06000,Connecticut,County_060,,
06005,City_06005,Connecticut,County_060,,
06010,City_06010,Connecticut,County_060,,
06015,City_06015,Connecticut,County_060,,
06020,City_06020,Connecticut,County_060,,
06025,City_06025,Connecticut,County_060,,
06030,City_06030,Connecticut,County_060,,
06035,City_06035,Connecticut,County_060,,
06040,City_06040,Connecticut,County_060,,
06045,City_06045,Connecticut,County_060,,
06050,City_06050,Connecticut,County_060,,
06055,City_06055,Connecticut,County_060,,
06060,City_06060,Connecticut,County_060,,
06065,City_06065,Connecticut,County_060,,
06070,City_06070,Connecticut,County_060,,
06075,City_06075,Connecticut,County_060,,
06080,City_06080,Connecticut,County_060,,
06085,City_06085,Connecticut,County_060,,
06090,City_06090,Connecticut,County_060,,
06095,City_06095,Connecticut,County_060,,
06100,City_06100,Connecticut,County_061,,
06105,City_06105,Connecticut,County_061,,
06110,City_06110,Connecticut,County_061,,
06115,City_06115,Connecticut,County_061,,
06120,City_06120,Connecticut,County_061,,
06125,City_06125,Connecticut,County_061,,
06130,City_06130,Connecticut,County_061,,
06135,City_06135,Connecticut,County_061,,
06140,City_06140,Connecticut,County_061,,
06145,City_06145,Connecticut,County_061,,
06150,City_06150,Connecticut,County_061,,
06155,City_06155,Connecticut,County_061,,
06160,City_06160,Connecticut,County_061,,
06165,City_06165,Connecticut,County_061,,
06170,City_06170,Connecticut,County_061,,
06175,City_06175,Connecticut,County_061,,
06180,City_06180,Connecticut,County_061,,
06185,City_06185,Connecticut,County_061,,
06190,City_06190,Connecticut,County_061,,
06195,City_06195,Connecticut,County_061,,
06200,City_06200,Connecticut,County_062,,
06205,City_06205,Connecticut,County_062,,
06210,City_06210,Connecticut,County_062,,
06215,City_06215,Connecticut,County_062,,
06220,City_06220,Connecticut,County_062,,
06225,City_06225,Connecticut,County_062,,
06230,City_06230,Connecticut,County_062,,
06235,City_06235,Connecticut,County_062,,
06240,City_06240,Connecticut,County_062,,
06245,City_06245,Connecticut,County_062,,
06250,City_06250,Connecticut,County_062,,
06255,City_06255,Connecticut,County_062,,
06260,City_06260,Connecticut,County_062,,
06265,City_06265,Connecticut,County_062,,
06270,City_06270,Connecticut,County_062,,
06275,City_06275,Connecticut,County_062,,
06280,City_06280,Connecticut,County_062,,
06285,City_06285,Connecticut,County_062,,
06290,City_06290,Connecticut,County_062,,
06295,City_06295,Connecticut,County_062,,
06300,City_06300,Connecticut,County_063,,
06305,City_06305,Connecticut,County_063,,
06310,City_06310,Connecticut,County_063,,
06315,City_06315,Connecticut,County_063,,
06320,City_06320,Connecticut,County_063,,
06325,City_06325,Connecticut,County_063,,
06330,City_06330,Connecticut,County_063,,
06335,City_06335,Connecticut,County_063,,
06340,City_06340,Connecticut,County_063,,
06345,City_06345,Connecticut,County_063,,
06350,City_06350,Connecticut,County_063,,
06355,City_06355,Connecticut,County_063,,
06360,City_06360,Connecticut,County_063,,
06365,City_06365,Connecticut,County_063,,
06370,City_06370,Connecticut,County_063,,
06375,City_06375,Connecticut,County_063,,
06380,City_06380,Connecticut,County_063,,
06385,City_06385,Connecticut,County_063,,
06390,City_06390,Connecticut,County_063,,
06395,City_06395,Connecticut,County_063,,
06400,City_06400,Connecticut,County_064,,
06405,City_06405,Connecticut,County_064,,
06410,City_06410,Connecticut,County_064,,
06415,City_06415,Connecticut,County_064,,
06420,City_06420,Connecticut,County_064,,
06425,City_06425,Connecticut,County_064,,
06430,City_06430,Connecticut,County_064,,
06435,City_06435,Connecticut,County_064,,
06440,City_06440,Connecticut,County_064,,
06445,City_06445,Connecticut,County_064,,
06450,City_06450,Connecticut,County_064,,
06455,City_06455,Connecticut,County_064,,
06460,City_06460,Connecticut,County_064,,
06465,City_06465,Connecticut,County_064,,
06470,City_06470,Connecticut,County_064,,
06475,City_06475,Connecticut,County_064,,
06480,City_06480,Connecticut,County_064,,
06485,City_06485,Connecticut,County_064,,
06490,City_06490,Connecticut,County_064,,
06495,City_06495,Connecticut,County_064,,
06500,City_06500,Connecticut,County_065,,
06505,City_06505,Connecticut,County_065,,
06510,City_06510,Connecticut,County_065,,
06515,City_06515,Connecticut,County_065,,
06520,City_06520,Connecticut,County_065,,
06525,City_06525,Connecticut,County_065,,
06530,City_06530,Connecticut,County_065,,
06535,City_06535,Connecticut,County_065,,
06540,City_06540,Connecticut,County_065,,
06545,City_06545,Connecticut,County_065,,
06550,City_06550,Connecticut,County_065,,
06555,City_06555,Connecticut,County_065,,
06560,City_06560,Connecticut,County_065,,
06565,City_06565,Connecticut,County_065,,
06570,City_06570,Connecticut,County_065,,
06575,City_06575,Connecticut,County_065,,
06580,City_06580,Connecticut,County_065,,
06585,City_06585,Connecticut,County_065,,
06590,City_06590,Connecticut,County_065,,
06595,City_06595,Connecticut,County_065,,
06600,City_06600,Connecticut,County_066,,
06605,City_06605,Connecticut,County_066,,
06610,City_06610,Connecticut,County_066,,
06615,City_06615,Connecticut,County_066,,
06620,City_06620,Connecticut,County_066,,
06625,City_06625,Connecticut,County_066,,
06630,City_06630,Connecticut,County_066,,
06635,City_06635,Connecticut,County_066,,
06640,City_06640,Connecticut,County_066,,
06645,City_06645,Connecticut,County_066,,
06650,City_06650,Connecticut,County_066,,
06655,City_06655,Connecticut,County_066,,
06660,City_06660,Connecticut,County_066,,
06665,City_06665,Connecticut,County_066,,
06670,City_06670,Connecticut,County_066,,
06675,City_06675,Connecticut,County_066,,
06680,City_06680,Connecticut,County_066,,
06685,City_06685,Connecticut,County_066,,
06690,City_06690,Connecticut,County_066,,
06695,City_06695,Connecticut,County_066,,
06700,City_06700,Connecticut,County_067,,
06705,City_06705,Connecticut,County_067,,
06710,City_06710,Connecticut,County_067,,
06715,City_06715,Connecticut,County_067,,
06720,City_06720,Connecticut,County_067,,
06725,City_06725,Connecticut,County_067,,
06730,City_06730,Connecticut,County_067,,
06735,City_06735,Connecticut,County_067,,
06740,City_06740,Connecticut,County_067,,
06745,City_06745,Connecticut,County_067,,
06750,City_06750,Connecticut,County_067,,
06755,City_06755,Connecticut,County_067,,
06760,City_06760,Connecticut,County_067,,
06765,City_06765,Connecticut,County_067,,
06770,City_06770,Connecticut,County_067,,
06775,City_06775,Connecticut,County_067,,
06780,City_06780,Connecticut,County_067,,
06785,City_06785,Connecticut,County_067,,
06790,City_06790,Connecticut,County_067,,
06795,City_06795,Connecticut,County_067,,
06800,City_06800,Connecticut,County_068,,
06805,City_06805,Connecticut,County_068,,
06810,City_06810,Connecticut,County_068,,
06815,City_06815,Connecticut,County_068,,
06820,City_06820,Connecticut,County_068,,
06825,City_06825,Connecticut,County_068,,
06830,City_06830,Connecticut,County_068,,
06835,City_06835,Connecticut,County_068,,
06840,City_06840,Connecticut,County_068,,
06845,City_06845,Connecticut,County_068,,
06850,City_06850,Connecticut,County_068,,
06855,City_06855,Connecticut,County_068,,
06860,City_06860,Connecticut,County_068,,
06865,City_06865,Connecticut,County_068,,
06870,City_06870,Connecticut,County_068,,
06875,City_06875,Connecticut,County_068,,
06880,City_06880,Connecticut,County_068,,
06885,City_06885,Connecticut,County_068,,
06890,City_06890,Connecticut,County_068,,
06895,City_06895,Connecticut,County_068,,
06900,City_06900,Connecticut,County_069,,
06905,City_06905,Connecticut,County_069,,
06910,City_06910,Connecticut,County_069,,
06915,City_06915,Connecticut,County_069,,
06920,City_06920,Connecticut,County_069,,
06925,City_06925,Connecticut,County_069,,
06930,City_06930,Connecticut,County_069,,
06935,City_06935,Connecticut,County_069,,
06940,City_06940,Connecticut,County_069,,
06945,City_06945,Connecticut,County_069,,
06950,City_06950,Connecticut,County_069,,
06955,City_06955,Connecticut,County_069,,
06960,City_06960,Connecticut,County_069,,
06965,City_06965,Connecticut,County_069,,
06970,City_06970,Connecticut,County_069,,
06975,City_06975,Connecticut,County_069,,
06980,City_06980,Connecticut,County_069,,
06985,City_06985,Connecticut,County_069,,
06990,City_06990,Connecticut,County_069,,
06995,City_06995,Connecticut,County_069,,
