zip_code,city,state,county,latitude,longitude
19700,City_19700,Delaware,County_197,,
19705,City_19705,Delaware,County_197,,
19710,City_19710,Delaware,County_197,,
19715,City_19715,Delaware,County_197,,
19720,City_19720,Delaware,County_197,,
19725,City_19725,Delaware,County_197,,
19730,City_19730,Delaware,County_197,,
19735,City_19735,Delaware,County_197,,
19740,City_19740,Delaware,County_197,,
19745,City_19745,Delaware,County_197,,
19750,City_19750,Delaware,County_197,,
19755,City_19755,Delaware,County_197,,
19760,City_19760,Delaware,County_197,,
19765,City_19765,Delaware,County_197,,
19770,City_19770,Delaware,County_197,,
19775,City_19775,Delaware,County_197,,
19780,City_19780,Delaware,County_197,,
19785,City_19785,Delaware,County_197,,
19790,City_19790,Delaware,County_197,,
19795,City_19795,Delaware,County_197,,
19800,City_19800,Delaware,County_198,,
19805,City_19805,Delaware,County_198,,
19810,City_19810,Delaware,County_198,,
19815,City_19815,Delaware,County_198,,
19820,City_19820,Delaware,County_198,,
19825,City_19825,Delaware,County_198,,
19830,City_19830,Delaware,County_198,,
19835,City_19835,Delaware,County_198,,
19840,City_19840,Delaware,County_198,,
19845,City_19845,Delaware,County_198,,
19850,City_19850,Delaware,County_198,,
19855,City_19855,Delaware,County_198,,
19860,City_19860,Delaware,County_198,,
19865,City_19865,Delaware,County_198,,
19870,City_19870,Delaware,County_198,,
19875,City_19875,Delaware,County_198,,
19880,City_19880,Delaware,County_198,,
19885,City_19885,Delaware,County_198,,
19890,City_19890,Delaware,County_198,,
19895,City_19895,Delaware,County_198,,
19900,City_19900,Delaware,County_199,,
19905,City_19905,Delaware,County_199,,
19910,City_19910,Delaware,County_199,,
19915,City_19915,Delaware,County_199,,
19920,City_19920,Delaware,County_199,,
19925,City_19925,Delaware,County_199,,
19930,City_19930,Delaware,County_199,,
19935,City_19935,Delaware,County_199,,
19940,City_19940,Delaware,County_199,,
19945,City_19945,Delaware,County_199,,
19950,City_19950,Delaware,County_199,,
19955,City_19955,Delaware,County_199,,
19960,City_19960,Delaware,County_199,,
19965,City_19965,Delaware,County_199,,
19970,City_19970,Delaware,County_199,,
19975,City_19975,Delaware,County_199,,
19980,City_19980,Delaware,County_199,,
19985,City_19985,Delaware,County_199,,
19990,City_19990,Delaware,County_199,,
19995,City_19995,Delaware,County_199,,
