zip_code,city,state,county,latitude,longitude
32000,City_32000,Florida,County_320,,
32005,City_32005,Florida,County_320,,
32010,City_32010,Florida,County_320,,
32015,City_32015,Florida,County_320,,
32020,City_32020,Florida,County_320,,
32025,City_32025,Florida,County_320,,
32030,City_32030,Florida,County_320,,
32035,City_32035,Florida,County_320,,
32040,City_32040,Florida,County_320,,
32045,City_32045,Florida,County_320,,
32050,City_32050,Florida,County_320,,
32055,City_32055,Florida,County_320,,
32060,City_32060,Florida,County_320,,
32065,City_32065,Florida,County_320,,
32070,City_32070,Florida,County_320,,
32075,City_32075,Florida,County_320,,
32080,City_32080,Florida,County_320,,
32085,City_32085,Florida,County_320,,
32090,City_32090,Florida,County_320,,
32095,City_32095,Florida,County_320,,
32100,City_32100,Florida,County_321,,
32105,City_32105,Florida,County_321,,
32110,City_32110,Florida,County_321,,
32115,City_32115,Florida,County_321,,
32120,City_32120,Florida,County_321,,
32125,City_32125,Florida,County_321,,
32130,City_32130,Florida,County_321,,
32135,City_32135,Florida,County_321,,
32140,City_32140,Florida,County_321,,
32145,City_32145,Florida,County_321,,
32150,City_32150,Florida,County_321,,
32155,City_32155,Florida,County_321,,
32160,City_32160,Florida,County_321,,
32165,City_32165,Florida,County_321,,
32170,City_32170,Florida,County_321,,
32175,City_32175,Florida,County_321,,
32180,City_32180,Florida,County_321,,
32185,City_32185,Florida,County_321,,
32190,City_32190,Florida,County_321,,
32195,City_32195,Florida,County_321,,
32200,City_32200,Florida,County_322,,
32205,City_32205,Florida,County_322,,
32210,City_32210,Florida,County_322,,
32215,City_32215,Florida,County_322,,
32220,City_32220,Florida,County_322,,
32225,City_32225,Florida,County_322,,
32230,City_32230,Florida,County_322,,
32235,City_32235,Florida,County_322,,
32240,City_32240,Florida,County_322,,
32245,City_32245,Florida,County_322,,
32250,City_32250,Florida,County_322,,
32255,City_32255,Florida,County_322,,
32260,City_32260,Florida,County_322,,
32265,City_32265,Florida,County_322,,
32270,City_32270,Florida,County_322,,
32275,City_32275,Florida,County_322,,
32280,City_32280,Florida,County_322,,
32285,City_32285,Florida,County_322,,
32290,City_32290,Florida,County_322,,
32295,City_32295,Florida,County_322,,
32300,City_32300,Florida,County_323,,
32305,City_32305,Florida,County_323,,
32310,City_32310,Florida,County_323,,
32315,City_32315,Florida,County_323,,
32320,City_32320,Florida,County_323,,
32325,City_32325,Florida,County_323,,
32330,City_32330,Florida,County_323,,
32335,City_32335,Florida,County_323,,
32340,City_32340,Florida,County_323,,
32345,City_32345,Florida,County_323,,
32350,City_32350,Florida,County_323,,
32355,City_32355,Florida,County_323,,
32360,City_32360,Florida,County_323,,
32365,City_32365,Florida,County_323,,
32370,City_32370,Florida,County_323,,
32375,City_32375,Florida,County_323,,
32380,City_32380,Florida,County_323,,
32385,City_32385,Florida,County_323,,
32390,City_32390,Florida,County_323,,
32395,City_32395,Florida,County_323,,
32400,City_32400,Florida,County_324,,
32405,City_32405,Florida,County_324,,
32410,City_32410,Florida,County_324,,
32415,City_32415,Florida,County_324,,
32420,City_32420,Florida,County_324,,
32425,City_32425,Florida,County_324,,
32430,City_32430,Florida,County_324,,
32435,City_32435,Florida,County_324,,
32440,City_32440,Florida,County_324,,
32445,City_32445,Florida,County_324,,
32450,City_32450,Florida,County_324,,
32455,City_32455,Florida,County_324,,
32460,City_32460,Florida,County_324,,
32465,City_32465,Florida,County_324,,
32470,City_32470,Florida,County_324,,
32475,City_32475,Florida,County_324,,
32480,City_32480,Florida,County_324,,
32485,City_32485,Florida,County_324,,
32490,City_32490,Florida,County_324,,
32495,City_32495,Florida,County_324,,
32500,City_32500,Florida,County_325,,
32505,City_32505,Florida,County_325,,
32510,City_32510,Florida,County_325,,
32515,City_32515,Florida,County_325,,
32520,City_32520,Florida,County_325,,
32525,City_32525,Florida,County_325,,
32530,City_32530,Florida,County_325,,
32535,City_32535,Florida,County_325,,
32540,City_32540,Florida,County_325,,
32545,City_32545,Florida,County_325,,
32550,City_32550,Florida,County_325,,
32555,City_32555,Florida,County_325,,
32560,City_32560,Florida,County_325,,
32565,City_32565,Florida,County_325,,
32570,City_32570,Florida,County_325,,
32575,City_32575,Florida,County_325,,
32580,City_32580,Florida,County_325,,
32585,City_32585,Florida,County_325,,
32590,City_32590,Florida,County_325,,
32595,City_32595,Florida,County_325,,
32600,City_32600,Florida,County_326,,
32605,City_32605,Florida,County_326,,
32610,City_32610,Florida,County_326,,
32615,City_32615,Florida,County_326,,
32620,City_32620,Florida,County_326,,
32625,City_32625,Florida,County_326,,
32630,City_32630,Florida,County_326,,
32635,City_32635,Florida,County_326,,
32640,City_32640,Florida,County_326,,
32645,City_32645,Florida,County_326,,
32650,City_32650,Florida,County_326,,
32655,City_32655,Florida,County_326,,
32660,City_32660,Florida,County_326,,
32665,City_32665,Florida,County_326,,
32670,City_32670,Florida,County_326,,
32675,City_32675,Florida,County_326,,
32680,City_32680,Florida,County_326,,
32685,City_32685,Florida,County_326,,
32690,City_32690,Florida,County_326,,
32695,City_32695,Florida,County_326,,
32700,City_32700,Florida,County_327,,
32705,City_32705,Florida,County_327,,
32710,City_32710,Florida,County_327,,
32715,City_32715,Florida,County_327,,
32720,City_32720,Florida,County_327,,
32725,City_32725,Florida,County_327,,
32730,City_32730,Florida,County_327,,
32735,City_32735,Florida,County_327,,
32740,City_32740,Florida,County_327,,
32745,City_32745,Florida,County_327,,
32750,City_32750,Florida,County_327,,
32755,City_32755,Florida,County_327,,
32760,City_32760,Florida,County_327,,
32765,City_32765,Florida,County_327,,
32770,City_32770,Florida,County_327,,
32775,City_32775,Florida,County_327,,
32780,City_32780,Florida,County_327,,
32785,City_32785,Florida,County_327,,
32790,City_32790,Florida,County_327,,
32795,City_32795,Florida,County_327,,
32800,City_32800,Florida,County_328,,
32805,City_32805,Florida,County_328,,
32810,City_32810,Florida,County_328,,
32815,City_32815,Florida,County_328,,
32820,City_32820,Florida,County_328,,
32825,City_32825,Florida,County_328,,
32830,City_32830,Florida,County_328,,
32835,City_32835,Florida,County_328,,
32840,City_32840,Florida,County_328,,
32845,City_32845,Florida,County_328,,
32850,City_32850,Florida,County_328,,
32855,City_32855,Florida,County_328,,
32860,City_32860,Florida,County_328,,
32865,City_32865,Florida,County_328,,
32870,City_32870,Florida,County_328,,
32875,City_32875,Florida,County_328,,
32880,City_32880,Florida,County_328,,
32885,City_32885,Florida,County_328,,
32890,City_32890,Florida,County_328,,
32895,City_32895,Florida,County_328,,
32900,City_32900,Florida,County_329,,
32905,City_32905,Florida,County_329,,
32910,City_32910,Florida,County_329,,
32915,City_32915,Florida,County_329,,
32920,City_32920,Florida,County_329,,
32925,City_32925,Florida,County_329,,
32930,City_32930,Florida,County_329,,
32935,City_32935,Florida,County_329,,
