zip_code,city,state,county,latitude,longitude
30000,City_30000,Georgia,County_300,,
30005,City_30005,Georgia,County_300,,
30010,City_30010,Georgia,County_300,,
30015,City_30015,Georgia,County_300,,
30020,City_30020,Georgia,County_300,,
30025,City_30025,Georgia,County_300,,
30030,City_30030,Georgia,County_300,,
30035,City_30035,Georgia,County_300,,
30040,City_30040,Georgia,County_300,,
30045,City_30045,Georgia,County_300,,
30050,City_30050,Georgia,County_300,,
30055,City_30055,Georgia,County_300,,
30060,City_30060,Georgia,County_300,,
30065,City_30065,Georgia,County_300,,
30070,City_30070,Georgia,County_300,,
30075,City_30075,Georgia,County_300,,
30080,City_30080,Georgia,County_300,,
30085,City_30085,Georgia,County_300,,
30090,City_30090,Georgia,County_300,,
30095,City_30095,Georgia,County_300,,
30100,City_30100,Georgia,County_301,,
30105,City_30105,Georgia,County_301,,
30110,City_30110,Georgia,County_301,,
30115,City_30115,Georgia,County_301,,
30120,City_30120,Georgia,County_301,,
30125,City_30125,Georgia,County_301,,
30130,City_30130,Georgia,County_301,,
30135,City_30135,Georgia,County_301,,
30140,City_30140,Georgia,County_301,,
30145,City_30145,Georgia,County_301,,
30150,City_30150,Georgia,County_301,,
30155,City_30155,Georgia,County_301,,
30160,City_30160,Georgia,County_301,,
30165,City_30165,Georgia,County_301,,
30170,City_30170,Georgia,County_301,,
30175,City_30175,Georgia,County_301,,
30180,City_30180,Georgia,County_301,,
30185,City_30185,Georgia,County_301,,
30190,City_30190,Georgia,County_301,,
30195,City_30195,Georgia,County_301,,
30200,City_30200,Georgia,County_302,,
30205,City_30205,Georgia,County_302,,
30210,City_30210,Georgia,County_302,,
30215,City_30215,Georgia,County_302,,
30220,City_30220,Georgia,County_302,,
30225,City_30225,Georgia,County_302,,
30230,City_30230,Georgia,County_302,,
30235,City_30235,Georgia,County_302,,
30240,City_30240,Georgia,County_302,,
30245,City_30245,Georgia,County_302,,
30250,City_30250,Georgia,County_302,,
30255,City_30255,Georgia,County_302,,
30260,City_30260,Georgia,County_302,,
30265,City_30265,Georgia,County_302,,
30270,City_30270,Georgia,County_302,,
30275,City_30275,Georgia,County_302,,
30280,City_30280,Georgia,County_302,,
30285,City_30285,Georgia,County_302,,
30290,City_30290,Georgia,County_302,,
30295,City_30295,Georgia,County_302,,
30300,City_30300,Georgia,County_303,,
30305,City_30305,Georgia,County_303,,
30310,City_30310,Georgia,County_303,,
30315,City_30315,Georgia,County_303,,
30320,City_30320,Georgia,County_303,,
30325,City_30325,Georgia,County_303,,
30330,City_30330,Georgia,County_303,,
30335,City_30335,Georgia,County_303,,
30340,City_30340,Georgia,County_303,,
30345,City_30345,Georgia,County_303,,
30350,City_30350,Georgia,County_303,,
30355,City_30355,Georgia,County_303,,
30360,City_30360,Georgia,County_303,,
30365,City_30365,Georgia,County_303,,
30370,City_30370,Georgia,County_303,,
30375,City_30375,Georgia,County_303,,
30380,City_30380,Georgia,County_303,,
30385,City_30385,Georgia,County_303,,
30390,City_30390,Georgia,County_303,,
30395,City_30395,Georgia,County_303,,
30400,City_30400,Georgia,County_304,,
30405,City_30405,Georgia,County_304,,
30410,City_30410,Georgia,County_304,,
30415,City_30415,Georgia,County_304,,
30420,City_30420,Georgia,County_304,,
30425,City_30425,Georgia,County_304,,
30430,City_30430,Georgia,County_304,,
30435,City_30435,Georgia,County_304,,
30440,City_30440,Georgia,County_304,,
30445,City_30445,Georgia,County_304,,
30450,City_30450,Georgia,County_304,,
30455,City_30455,Georgia,County_304,,
30460,City_30460,Georgia,County_304,,
30465,City_30465,Georgia,County_304,,
30470,City_30470,Georgia,County_304,,
30475,City_30475,Georgia,County_304,,
30480,City_30480,Georgia,County_304,,
30485,City_30485,Georgia,County_304,,
30490,City_30490,Georgia,County_304,,
30495,City_30495,Georgia,County_304,,
30500,City_30500,Georgia,County_305,,
30505,City_30505,Georgia,County_305,,
30510,City_30510,Georgia,County_305,,
30515,City_30515,Georgia,County_305,,
30520,City_30520,Georgia,County_305,,
30525,City_30525,Georgia,County_305,,
30530,City_30530,Georgia,County_305,,
30535,City_30535,Georgia,County_305,,
30540,City_30540,Georgia,County_305,,
30545,City_30545,Georgia,County_305,,
30550,City_30550,Georgia,County_305,,
30555,City_30555,Georgia,County_305,,
30560,City_30560,Georgia,County_305,,
30565,City_30565,Georgia,County_305,,
30570,City_30570,Georgia,County_305,,
30575,City_30575,Georgia,County_305,,
30580,City_30580,Georgia,County_305,,
30585,City_30585,Georgia,County_305,,
30590,City_30590,Georgia,County_305,,
30595,City_30595,Georgia,County_305,,
30600,City_30600,Georgia,County_306,,
30605,City_30605,Georgia,County_306,,
30610,City_30610,Georgia,County_306,,
30615,City_30615,Georgia,County_306,,
30620,City_30620,Georgia,County_306,,
30625,City_30625,Georgia,County_306,,
30630,City_30630,Georgia,County_306,,
30635,City_30635,Georgia,County_306,,
30640,City_30640,Georgia,County_306,,
30645,City_30645,Georgia,County_306,,
30650,City_30650,Georgia,County_306,,
30655,City_30655,Georgia,County_306,,
30660,City_30660,Georgia,County_306,,
30665,City_30665,Georgia,County_306,,
30670,City_30670,Georgia,County_306,,
30675,City_30675,Georgia,County_306,,
30680,City_30680,Georgia,County_306,,
30685,City_30685,Georgia,County_306,,
30690,City_30690,Georgia,County_306,,
30695,City_30695,Georgia,County_306,,
30700,City_30700,Georgia,County_307,,
30705,City_30705,Georgia,County_307,,
30710,City_30710,Georgia,County_307,,
30715,City_30715,Georgia,County_307,,
30720,City_30720,Georgia,County_307,,
30725,City_30725,Georgia,County_307,,
30730,City_30730,Georgia,County_307,,
30735,City_30735,Georgia,County_307,,
30740,City_30740,Georgia,County_307,,
30745,City_30745,Georgia,County_307,,
30750,City_30750,Georgia,County_307,,
30755,City_30755,Georgia,County_307,,
30760,City_30760,Georgia,County_307,,
30765,City_30765,Georgia,County_307,,
30770,City_30770,Georgia,County_307,,
30775,City_30775,Georgia,County_307,,
30780,City_30780,Georgia,County_307,,
30785,City_30785,Georgia,County_307,,
30790,City_30790,Georgia,County_307,,
30795,City_30795,Georgia,County_307,,
30800,City_30800,Georgia,County_308,,
30805,City_30805,Georgia,County_308,,
30810,City_30810,Georgia,County_308,,
30815,City_30815,Georgia,County_308,,
30820,City_30820,Georgia,County_308,,
30825,City_30825,Georgia,County_308,,
30830,City_30830,Georgia,County_308,,
30835,City_30835,Georgia,County_308,,
30840,City_30840,Georgia,County_308,,
30845,City_30845,Georgia,County_308,,
30850,City_30850,Georgia,County_308,,
30855,City_30855,Georgia,County_308,,
30860,City_30860,Georgia,County_308,,
30865,City_30865,Georgia,County_308,,
30870,City_30870,Georgia,County_308,,
30875,City_30875,Georgia,County_308,,
30880,City_30880,Georgia,County_308,,
30885,City_30885,Georgia,County_308,,
30890,City_30890,Georgia,County_308,,
30895,City_30895,Georgia,County_308,,
30900,City_30900,Georgia,County_309,,
30905,City_30905,Georgia,County_309,,
30910,City_30910,Georgia,County_309,,
30915,City_30915,Georgia,County_309,,
30920,City_30920,Georgia,County_309,,
30925,City_30925,Georgia,County_309,,
30930,City_30930,Georgia,County_309,,
30935,City_30935,Georgia,County_309,,
30940,City_30940,Georgia,County_309,,
30945,City_30945,Georgia,County_309,,
30950,City_30950,Georgia,County_309,,
30955,City_30955,Georgia,County_309,,
30960,City_30960,Georgia,County_309,,
30965,City_30965,Georgia,County_309,,
30970,City_30970,Georgia,County_309,,
30975,City_30975,Georgia,County_309,,
30980,City_30980,Georgia,County_309,,
30985,City_30985,Georgia,County_309,,
30990,City_30990,Georgia,County_309,,
30995,City_30995,Georgia,County_309,,
31000,City_31000,Georgia,County_310,,
31005,City_31005,Georgia,County_310,,
31010,City_31010,Georgia,County_310,,
31015,City_31015,Georgia,County_310,,
31020,City_31020,Georgia,County_310,,
31025,City_31025,Georgia,County_310,,
31030,City_31030,Georgia,County_310,,
31035,City_31035,Georgia,County_310,,
31040,City_31040,Georgia,County_310,,
31045,City_31045,Georgia,County_310,,
31050,City_31050,Georgia,County_310,,
31055,City_31055,Georgia,County_310,,
31060,City_31060,Georgia,County_310,,
31065,City_31065,Georgia,County_310,,
31070,City_31070,Georgia,County_310,,
31075,City_31075,Georgia,County_310,,
31080,City_31080,Georgia,County_310,,
31085,City_31085,Georgia,County_310,,
31090,City_31090,Georgia,County_310,,
31095,City_31095,Georgia,County_310,,
31100,City_31100,Georgia,County_311,,
31105,City_31105,Georgia,County_311,,
31110,City_31110,Georgia,County_311,,
31115,City_31115,Georgia,County_311,,
31120,City_31120,Georgia,County_311,,
31125,City_31125,Georgia,County_311,,
31130,City_31130,Georgia,County_311,,
31135,City_31135,Georgia,County_311,,
31140,City_31140,Georgia,County_311,,
31145,City_31145,Georgia,County_311,,
31150,City_31150,Georgia,County_311,,
31155,City_31155,Georgia,County_311,,
31160,City_31160,Georgia,County_311,,
31165,City_31165,Georgia,County_311,,
31170,City_31170,Georgia,County_311,,
31175,City_31175,Georgia,County_311,,
31180,City_31180,Georgia,County_311,,
31185,City_31185,Georgia,County_311,,
31190,City_31190,Georgia,County_311,,
31195,City_31195,Georgia,County_311,,
31200,City_31200,Georgia,County_312,,
31205,City_31205,Georgia,County_312,,
31210,City_31210,Georgia,County_312,,
31215,City_31215,Georgia,County_312,,
31220,City_31220,Georgia,County_312,,
31225,City_31225,Georgia,County_312,,
31230,City_31230,Georgia,County_312,,
31235,City_31235,Georgia,County_312,,
31240,City_31240,Georgia,County_312,,
31245,City_31245,Georgia,County_312,,
31250,City_31250,Georgia,County_312,,
31255,City_31255,Georgia,County_312,,
31260,City_31260,Georgia,County_312,,
31265,City_31265,Georgia,County_312,,
31270,City_31270,Georgia,County_312,,
31275,City_31275,Georgia,County_312,,
31280,City_31280,Georgia,County_312,,
31285,City_31285,Georgia,County_312,,
31290,City_31290,Georgia,County_312,,
31295,City_31295,Georgia,County_312,,
31300,City_31300,Georgia,County_313,,
31305,City_31305,Georgia,County_313,,
31310,City_31310,Georgia,County_313,,
