zip_code,city,state,county,latitude,longitude
96700,City_96700,Hawaii,County_967,,
96705,City_96705,Hawaii,County_967,,
96710,City_96710,Hawaii,County_967,,
96715,City_96715,Hawaii,County_967,,
96720,City_96720,Hawaii,County_967,,
96725,City_96725,Hawaii,County_967,,
96730,City_96730,Hawaii,County_967,,
96735,City_96735,Hawaii,County_967,,
96740,City_96740,Hawaii,County_967,,
96745,City_96745,Hawaii,County_967,,
96750,City_96750,Hawaii,County_967,,
96755,City_96755,Hawaii,County_967,,
96760,City_96760,Hawaii,County_967,,
96765,City_96765,Hawaii,County_967,,
96770,City_96770,Hawaii,County_967,,
96775,City_96775,Hawaii,County_967,,
96780,City_96780,Hawaii,County_967,,
96785,City_96785,Hawaii,County_967,,
96790,City_96790,Hawaii,County_967,,
96795,City_96795,Hawaii,County_967,,
96800,City_96800,Hawaii,County_968,,
96805,City_96805,Hawaii,County_968,,
96810,City_96810,Hawaii,County_968,,
96815,City_96815,Hawaii,County_968,,
96820,City_96820,Hawaii,County_968,,
96825,City_96825,Hawaii,County_968,,
96830,City_96830,Hawaii,County_968,,
96835,City_96835,Hawaii,County_968,,
96840,City_96840,Hawaii,County_968,,
96845,City_96845,Hawaii,County_968,,
96850,City_96850,Hawaii,County_968,,
96855,City_96855,Hawaii,County_968,,
96860,City_96860,Hawaii,County_968,,
96865,City_96865,Hawaii,County_968,,
96870,City_96870,Hawaii,County_968,,
96875,City_96875,Hawaii,County_968,,
96880,City_96880,Hawaii,County_968,,
96885,City_96885,Hawaii,County_968,,
96890,City_96890,Hawaii,County_968,,
96895,City_96895,Hawaii,County_968,,
