zip_code,city,state,county,latitude,longitude
83200,City_83200,Idaho,County_832,,
83205,City_83205,Idaho,County_832,,
83210,City_83210,Idaho,County_832,,
83215,City_83215,Idaho,County_832,,
83220,City_83220,Idaho,County_832,,
83225,City_83225,Idaho,County_832,,
83230,City_83230,Idaho,County_832,,
83235,City_83235,Idaho,County_832,,
83240,City_83240,Idaho,County_832,,
83245,City_83245,Idaho,County_832,,
83250,City_83250,Idaho,County_832,,
83255,City_83255,Idaho,County_832,,
83260,City_83260,Idaho,County_832,,
83265,City_83265,Idaho,County_832,,
83270,City_83270,Idaho,County_832,,
83275,City_83275,Idaho,County_832,,
83280,City_83280,Idaho,County_832,,
83285,City_83285,Idaho,County_832,,
83290,City_83290,Idaho,County_832,,
83295,City_83295,Idaho,County_832,,
83300,City_83300,Idaho,County_833,,
83305,City_83305,Idaho,County_833,,
83310,City_83310,Idaho,County_833,,
83315,City_83315,Idaho,County_833,,
83320,City_83320,Idaho,County_833,,
83325,City_83325,Idaho,County_833,,
83330,City_83330,Idaho,County_833,,
83335,City_83335,Idaho,County_833,,
83340,City_83340,Idaho,County_833,,
83345,City_83345,Idaho,County_833,,
83350,City_83350,Idaho,County_833,,
83355,City_83355,Idaho,County_833,,
83360,City_83360,Idaho,County_833,,
83365,City_83365,Idaho,County_833,,
83370,City_83370,Idaho,County_833,,
83375,City_83375,Idaho,County_833,,
83380,City_83380,Idaho,County_833,,
83385,City_83385,Idaho,County_833,,
83390,City_83390,Idaho,County_833,,
83395,City_83395,Idaho,County_833,,
83400,City_83400,Idaho,County_834,,
83405,City_83405,Idaho,County_834,,
83410,City_83410,Idaho,County_834,,
83415,City_83415,Idaho,County_834,,
83420,City_83420,Idaho,County_834,,
83425,City_83425,Idaho,County_834,,
83430,City_83430,Idaho,County_834,,
83435,City_83435,Idaho,County_834,,
83440,City_83440,Idaho,County_834,,
83445,City_83445,Idaho,County_834,,
83450,City_83450,Idaho,County_834,,
83455,City_83455,Idaho,County_834,,
83460,City_83460,Idaho,County_834,,
83465,City_83465,Idaho,County_834,,
83470,City_83470,Idaho,County_834,,
83475,City_83475,Idaho,County_834,,
83480,City_83480,Idaho,County_834,,
83485,City_83485,Idaho,County_834,,
83490,City_83490,Idaho,County_834,,
83495,City_83495,Idaho,County_834,,
83500,City_83500,Idaho,County_835,,
83505,City_83505,Idaho,County_835,,
83510,City_83510,Idaho,County_835,,
83515,City_83515,Idaho,County_835,,
83520,City_83520,Idaho,County_835,,
83525,City_83525,Idaho,County_835,,
83530,City_83530,Idaho,County_835,,
83535,City_83535,Idaho,County_835,,
83540,City_83540,Idaho,County_835,,
83545,City_83545,Idaho,County_835,,
83550,City_83550,Idaho,County_835,,
83555,City_83555,Idaho,County_835,,
83560,City_83560,Idaho,County_835,,
83565,City_83565,Idaho,County_835,,
83570,City_83570,Idaho,County_835,,
83575,City_83575,Idaho,County_835,,
83580,City_83580,Idaho,County_835,,
83585,City_83585,Idaho,County_835,,
83590,City_83590,Idaho,County_835,,
83595,City_83595,Idaho,County_835,,
83600,City_83600,Idaho,County_836,,
83605,City_83605,Idaho,County_836,,
83610,City_83610,Idaho,County_836,,
83615,City_83615,Idaho,County_836,,
83620,City_83620,Idaho,County_836,,
83625,City_83625,Idaho,County_836,,
83630,City_83630,Idaho,County_836,,
83635,City_83635,Idaho,County_836,,
83640,City_83640,Idaho,County_836,,
83645,City_83645,Idaho,County_836,,
83650,City_83650,Idaho,County_836,,
83655,City_83655,Idaho,County_836,,
83660,City_83660,Idaho,County_836,,
83665,City_83665,Idaho,County_836,,
83670,City_83670,Idaho,County_836,,
83675,City_83675,Idaho,County_836,,
83680,City_83680,Idaho,County_836,,
83685,City_83685,Idaho,County_836,,
83690,City_83690,Idaho,County_836,,
83695,City_83695,Idaho,County_836,,
83700,City_83700,Idaho,County_837,,
83705,City_83705,Idaho,County_837,,
83710,City_83710,Idaho,County_837,,
83715,City_83715,Idaho,County_837,,
83720,City_83720,Idaho,County_837,,
83725,City_83725,Idaho,County_837,,
83730,City_83730,Idaho,County_837,,
83735,City_83735,Idaho,County_837,,
83740,City_83740,Idaho,County_837,,
83745,City_83745,Idaho,County_837,,
83750,City_83750,Idaho,County_837,,
83755,City_83755,Idaho,County_837,,
83760,City_83760,Idaho,County_837,,
83765,City_83765,Idaho,County_837,,
83770,City_83770,Idaho,County_837,,
83775,City_83775,Idaho,County_837,,
83780,City_83780,Idaho,County_837,,
83785,City_83785,Idaho,County_837,,
83790,City_83790,Idaho,County_837,,
83795,City_83795,Idaho,County_837,,
83800,City_83800,Idaho,County_838,,
83805,City_83805,Idaho,County_838,,
83810,City_83810,Idaho,County_838,,
83815,City_83815,Idaho,County_838,,
83820,City_83820,Idaho,County_838,,
83825,City_83825,Idaho,County_838,,
83830,City_83830,Idaho,County_838,,
83835,City_83835,Idaho,County_838,,
83840,City_83840,Idaho,County_838,,
83845,City_83845,Idaho,County_838,,
83850,City_83850,Idaho,County_838,,
83855,City_83855,Idaho,County_838,,
83860,City_83860,Idaho,County_838,,
83865,City_83865,Idaho,County_838,,
83870,City_83870,Idaho,County_838,,
83875,City_83875,Idaho,County_838,,
83880,City_83880,Idaho,County_838,,
83885,City_83885,Idaho,County_838,,
83890,City_83890,Idaho,County_838,,
83895,City_83895,Idaho,County_838,,
