zip_code,city,state,county,latitude,longitude
60000,City_60000,Illinois,County_600,,
60005,City_60005,Illinois,County_600,,
60010,City_60010,Illinois,County_600,,
60015,City_60015,Illinois,County_600,,
60020,City_60020,Illinois,County_600,,
60025,City_60025,Illinois,County_600,,
60030,City_60030,Illinois,County_600,,
60035,City_60035,Illinois,County_600,,
60040,City_60040,Illinois,County_600,,
60045,City_60045,Illinois,County_600,,
60050,City_60050,Illinois,County_600,,
60055,City_60055,Illinois,County_600,,
60060,City_60060,Illinois,County_600,,
60065,City_60065,Illinois,County_600,,
60070,City_60070,Illinois,County_600,,
60075,City_60075,Illinois,County_600,,
60080,City_60080,Illinois,County_600,,
60085,City_60085,Illinois,County_600,,
60090,City_60090,Illinois,County_600,,
60095,City_60095,Illinois,County_600,,
60100,City_60100,Illinois,County_601,,
60105,City_60105,Illinois,County_601,,
60110,City_60110,Illinois,County_601,,
60115,City_60115,Illinois,County_601,,
60120,City_60120,Illinois,County_601,,
60125,City_60125,Illinois,County_601,,
60130,City_60130,Illinois,County_601,,
60135,City_60135,Illinois,County_601,,
60140,City_60140,Illinois,County_601,,
60145,City_60145,Illinois,County_601,,
60150,City_60150,Illinois,County_601,,
60155,City_60155,Illinois,County_601,,
60160,City_60160,Illinois,County_601,,
60165,City_60165,Illinois,County_601,,
60170,City_60170,Illinois,County_601,,
60175,City_60175,Illinois,County_601,,
60180,City_60180,Illinois,County_601,,
60185,City_60185,Illinois,County_601,,
60190,City_60190,Illinois,County_601,,
60195,City_60195,Illinois,County_601,,
60200,City_60200,Illinois,County_602,,
60205,City_60205,Illinois,County_602,,
60210,City_60210,Illinois,County_602,,
60215,City_60215,Illinois,County_602,,
60220,City_60220,Illinois,County_602,,
60225,City_60225,Illinois,County_602,,
60230,City_60230,Illinois,County_602,,
60235,City_60235,Illinois,County_602,,
60240,City_60240,Illinois,County_602,,
60245,City_60245,Illinois,County_602,,
60250,City_60250,Illinois,County_602,,
60255,City_60255,Illinois,County_602,,
60260,City_60260,Illinois,County_602,,
60265,City_60265,Illinois,County_602,,
60270,City_60270,Illinois,County_602,,
60275,City_60275,Illinois,County_602,,
60280,City_60280,Illinois,County_602,,
60285,City_60285,Illinois,County_602,,
60290,City_60290,Illinois,County_602,,
60295,City_60295,Illinois,County_602,,
60300,City_60300,Illinois,County_603,,
60305,City_60305,Illinois,County_603,,
60310,City_60310,Illinois,County_603,,
60315,City_60315,Illinois,County_603,,
60320,City_60320,Illinois,County_603,,
60325,City_60325,Illinois,County_603,,
60330,City_60330,Illinois,County_603,,
60335,City_60335,Illinois,County_603,,
60340,City_60340,Illinois,County_603,,
60345,City_60345,Illinois,County_603,,
60350,City_60350,Illinois,County_603,,
60355,City_60355,Illinois,County_603,,
60360,City_60360,Illinois,County_603,,
60365,City_60365,Illinois,County_603,,
60370,City_60370,Illinois,County_603,,
60375,City_60375,Illinois,County_603,,
60380,City_60380,Illinois,County_603,,
60385,City_60385,Illinois,County_603,,
60390,City_60390,Illinois,County_603,,
60395,City_60395,Illinois,County_603,,
60400,City_60400,Illinois,County_604,,
60405,City_60405,Illinois,County_604,,
60410,City_60410,Illinois,County_604,,
60415,City_60415,Illinois,County_604,,
60420,City_60420,Illinois,County_604,,
60425,City_60425,Illinois,County_604,,
60430,City_60430,Illinois,County_604,,
60435,City_60435,Illinois,County_604,,
60440,City_60440,Illinois,County_604,,
60445,City_60445,Illinois,County_604,,
60450,City_60450,Illinois,County_604,,
60455,City_60455,Illinois,County_604,,
60460,City_60460,Illinois,County_604,,
60465,City_60465,Illinois,County_604,,
60470,City_60470,Illinois,County_604,,
60475,City_60475,Illinois,County_604,,
60480,City_60480,Illinois,County_604,,
60485,City_60485,Illinois,County_604,,
60490,City_60490,Illinois,County_604,,
60495,City_60495,Illinois,County_604,,
60500,City_60500,Illinois,County_605,,
60505,City_60505,Illinois,County_605,,
60510,City_60510,Illinois,County_605,,
60515,City_60515,Illinois,County_605,,
60520,City_60520,Illinois,County_605,,
60525,City_60525,Illinois,County_605,,
60530,City_60530,Illinois,County_605,,
60535,City_60535,Illinois,County_605,,
60540,City_60540,Illinois,County_605,,
60545,City_60545,Illinois,County_605,,
60550,City_60550,Illinois,County_605,,
60555,City_60555,Illinois,County_605,,
60560,City_60560,Illinois,County_605,,
60565,City_60565,Illinois,County_605,,
60570,City_60570,Illinois,County_605,,
60575,City_60575,Illinois,County_605,,
60580,City_60580,Illinois,County_605,,
60585,City_60585,Illinois,County_605,,
60590,City_60590,Illinois,County_605,,
60595,City_60595,Illinois,County_605,,
60600,City_60600,Illinois,County_606,,
60605,City_60605,Illinois,County_606,,
60610,City_60610,Illinois,County_606,,
60615,City_60615,Illinois,County_606,,
60620,City_60620,Illinois,County_606,,
60625,City_60625,Illinois,County_606,,
60630,City_60630,Illinois,County_606,,
60635,City_60635,Illinois,County_606,,
60640,City_60640,Illinois,County_606,,
60645,City_60645,Illinois,County_606,,
60650,City_60650,Illinois,County_606,,
60655,City_60655,Illinois,County_606,,
60660,City_60660,Illinois,County_606,,
60665,City_60665,Illinois,County_606,,
60670,City_60670,Illinois,County_606,,
60675,City_60675,Illinois,County_606,,
60680,City_60680,Illinois,County_606,,
60685,City_60685,Illinois,County_606,,
60690,City_60690,Illinois,County_606,,
60695,City_60695,Illinois,County_606,,
60700,City_60700,Illinois,County_607,,
60705,City_60705,Illinois,County_607,,
60710,City_60710,Illinois,County_607,,
60715,City_60715,Illinois,County_607,,
60720,City_60720,Illinois,County_607,,
60725,City_60725,Illinois,County_607,,
60730,City_60730,Illinois,County_607,,
60735,City_60735,Illinois,County_607,,
60740,City_60740,Illinois,County_607,,
60745,City_60745,Illinois,County_607,,
60750,City_60750,Illinois,County_607,,
60755,City_60755,Illinois,County_607,,
60760,City_60760,Illinois,County_607,,
60765,City_60765,Illinois,County_607,,
60770,City_60770,Illinois,County_607,,
60775,City_60775,Illinois,County_607,,
60780,City_60780,Illinois,County_607,,
60785,City_60785,Illinois,County_607,,
60790,City_60790,Illinois,County_607,,
60795,City_60795,Illinois,County_607,,
60800,City_60800,Illinois,County_608,,
60805,City_60805,Illinois,County_608,,
60810,City_60810,Illinois,County_608,,
60815,City_60815,Illinois,County_608,,
60820,City_60820,Illinois,County_608,,
60825,City_60825,Illinois,County_608,,
60830,City_60830,Illinois,County_608,,
60835,City_60835,Illinois,County_608,,
60840,City_60840,Illinois,County_608,,
60845,City_60845,Illinois,County_608,,
60850,City_60850,Illinois,County_608,,
60855,City_60855,Illinois,County_608,,
60860,City_60860,Illinois,County_608,,
60865,City_60865,Illinois,County_608,,
60870,City_60870,Illinois,County_608,,
60875,City_60875,Illinois,County_608,,
60880,City_60880,Illinois,County_608,,
60885,City_60885,Illinois,County_608,,
60890,City_60890,Illinois,County_608,,
60895,City_60895,Illinois,County_608,,
60900,City_60900,Illinois,County_609,,
60905,City_60905,Illinois,County_609,,
60910,City_60910,Illinois,County_609,,
60915,City_60915,Illinois,County_609,,
60920,City_60920,Illinois,County_609,,
60925,City_60925,Illinois,County_609,,
60930,City_60930,Illinois,County_609,,
60935,City_60935,Illinois,County_609,,
60940,City_60940,Illinois,County_609,,
60945,City_60945,Illinois,County_609,,
60950,City_60950,Illinois,County_609,,
60955,City_60955,Illinois,County_609,,
60960,City_60960,Illinois,County_609,,
60965,City_60965,Illinois,County_609,,
60970,City_60970,Illinois,County_609,,
60975,City_60975,Illinois,County_609,,
60980,City_60980,Illinois,County_609,,
60985,City_60985,Illinois,County_609,,
60990,City_60990,Illinois,County_609,,
60995,City_60995,Illinois,County_609,,
61000,City_61000,Illinois,County_610,,
61005,City_61005,Illinois,County_610,,
61010,City_61010,Illinois,County_610,,
61015,City_61015,Illinois,County_610,,
61020,City_61020,Illinois,County_610,,
61025,City_61025,Illinois,County_610,,
61030,City_61030,Illinois,County_610,,
61035,City_61035,Illinois,County_610,,
61040,City_61040,Illinois,County_610,,
61045,City_61045,Illinois,County_610,,
61050,City_61050,Illinois,County_610,,
61055,City_61055,Illinois,County_610,,
61060,City_61060,Illinois,County_610,,
61065,City_61065,Illinois,County_610,,
61070,City_61070,Illinois,County_610,,
61075,City_61075,Illinois,County_610,,
61080,City_61080,Illinois,County_610,,
61085,City_61085,Illinois,County_610,,
61090,City_61090,Illinois,County_610,,
61095,City_61095,Illinois,County_610,,
61100,City_61100,Illinois,County_611,,
61105,City_61105,Illinois,County_611,,
61110,City_61110,Illinois,County_611,,
61115,City_61115,Illinois,County_611,,
61120,City_61120,Illinois,County_611,,
61125,City_61125,Illinois,County_611,,
61130,City_61130,Illinois,County_611,,
61135,City_61135,Illinois,County_611,,
61140,City_61140,Illinois,County_611,,
61145,City_61145,Illinois,County_611,,
61150,City_61150,Illinois,County_611,,
61155,City_61155,Illinois,County_611,,
61160,City_61160,Illinois,County_611,,
61165,City_61165,Illinois,County_611,,
61170,City_61170,Illinois,County_611,,
61175,City_61175,Illinois,County_611,,
61180,City_61180,Illinois,County_611,,
61185,City_61185,Illinois,County_611,,
61190,City_61190,Illinois,County_611,,
61195,City_61195,Illinois,County_611,,
61200,City_61200,Illinois,County_612,,
61205,City_61205,Illinois,County_612,,
61210,City_61210,Illinois,County_612,,
61215,City_61215,Illinois,County_612,,
61220,City_61220,Illinois,County_612,,
61225,City_61225,Illinois,County_612,,
61230,City_61230,Illinois,County_612,,
61235,City_61235,Illinois,County_612,,
61240,City_61240,Illinois,County_612,,
61245,City_61245,Illinois,County_612,,
61250,City_61250,Illinois,County_612,,
61255,City_61255,Illinois,County_612,,
61260,City_61260,Illinois,County_612,,
61265,City_61265,Illinois,County_612,,
61270,City_61270,Illinois,County_612,,
61275,City_61275,Illinois,County_612,,
61280,City_61280,Illinois,County_612,,
61285,City_61285,Illinois,County_612,,
61290,City_61290,Illinois,County_612,,
61295,City_61295,Illinois,County_612,,
61300,City_61300,Illinois,County_613,,
61305,City_61305,Illinois,County_613,,
61310,City_61310,Illinois,County_613,,
61315,City_61315,Illinois,County_613,,
61320,City_61320,Illinois,County_613,,
61325,City_61325,Illinois,County_613,,
61330,City_61330,Illinois,County_613,,
61335,City_61335,Illinois,County_613,,
61340,City_61340,Illinois,County_613,,
61345,City_61345,Illinois,County_613,,
61350,City_61350,Illinois,County_613,,
61355,City_61355,Illinois,County_613,,
61360,City_61360,Illinois,County_613,,
61365,City_61365,Illinois,County_613,,
61370,City_61370,Illinois,County_613,,
61375,City_61375,Illinois,County_613,,
61380,City_61380,Illinois,County_613,,
61385,City_61385,Illinois,County_613,,
61390,City_61390,Illinois,County_613,,
61395,City_61395,Illinois,County_613,,
61400,City_61400,Illinois,County_614,,
61405,City_61405,Illinois,County_614,,
61410,City_61410,Illinois,County_614,,
61415,City_61415,Illinois,County_614,,
61420,City_61420,Illinois,County_614,,
61425,City_61425,Illinois,County_614,,
61430,City_61430,Illinois,County_614,,
61435,City_61435,Illinois,County_614,,
61440,City_61440,Illinois,County_614,,
61445,City_61445,Illinois,County_614,,
61450,City_61450,Illinois,County_614,,
61455,City_61455,Illinois,County_614,,
61460,City_61460,Illinois,County_614,,
61465,City_61465,Illinois,County_614,,
61470,City_61470,Illinois,County_614,,
61475,City_61475,Illinois,County_614,,
61480,City_61480,Illinois,County_614,,
61485,City_61485,Illinois,County_614,,
61490,City_61490,Illinois,County_614,,
61495,City_61495,Illinois,County_614,,
61500,City_61500,Illinois,County_615,,
61505,City_61505,Illinois,County_615,,
61510,City_61510,Illinois,County_615,,
61515,City_61515,Illinois,County_615,,
61520,City_61520,Illinois,County_615,,
61525,City_61525,Illinois,County_615,,
61530,City_61530,Illinois,County_615,,
61535,City_61535,Illinois,County_615,,
61540,City_61540,Illinois,County_615,,
61545,City_61545,Illinois,County_615,,
61550,City_61550,Illinois,County_615,,
61555,City_61555,Illinois,County_615,,
61560,City_61560,Illinois,County_615,,
61565,City_61565,Illinois,County_615,,
61570,City_61570,Illinois,County_615,,
61575,City_61575,Illinois,County_615,,
61580,City_61580,Illinois,County_615,,
61585,City_61585,Illinois,County_615,,
61590,City_61590,Illinois,County_615,,
61595,City_61595,Illinois,County_615,,
61600,City_61600,Illinois,County_616,,
61605,City_61605,Illinois,County_616,,
61610,City_61610,Illinois,County_616,,
61615,City_61615,Illinois,County_616,,
61620,City_61620,Illinois,County_616,,
61625,City_61625,Illinois,County_616,,
61630,City_61630,Illinois,County_616,,
61635,City_61635,Illinois,County_616,,
61640,City_61640,Illinois,County_616,,
61645,City_61645,Illinois,County_616,,
61650,City_61650,Illinois,County_616,,
61655,City_61655,Illinois,County_616,,
61660,City_61660,Illinois,County_616,,
61665,City_61665,Illinois,County_616,,
61670,City_61670,Illinois,County_616,,
61675,City_61675,Illinois,County_616,,
61680,City_61680,Illinois,County_616,,
61685,City_61685,Illinois,County_616,,
61690,City_61690,Illinois,County_616,,
61695,City_61695,Illinois,County_616,,
61700,City_61700,Illinois,County_617,,
61705,City_61705,Illinois,County_617,,
61710,City_61710,Illinois,County_617,,
61715,City_61715,Illinois,County_617,,
61720,City_61720,Illinois,County_617,,
61725,City_61725,Illinois,County_617,,
61730,City_61730,Illinois,County_617,,
61735,City_61735,Illinois,County_617,,
61740,City_61740,Illinois,County_617,,
61745,City_61745,Illinois,County_617,,
61750,City_61750,Illinois,County_617,,
61755,City_61755,Illinois,County_617,,
61760,City_61760,Illinois,County_617,,
61765,City_61765,Illinois,County_617,,
61770,City_61770,Illinois,County_617,,
61775,City_61775,Illinois,County_617,,
61780,City_61780,Illinois,County_617,,
61785,City_61785,Illinois,County_617,,
61790,City_61790,Illinois,County_617,,
61795,City_61795,Illinois,County_617,,
61800,City_61800,Illinois,County_618,,
61805,City_61805,Illinois,County_618,,
61810,City_61810,Illinois,County_618,,
61815,City_61815,Illinois,County_618,,
61820,City_61820,Illinois,County_618,,
61825,City_61825,Illinois,County_618,,
61830,City_61830,Illinois,County_618,,
61835,City_61835,Illinois,County_618,,
61840,City_61840,Illinois,County_618,,
61845,City_61845,Illinois,County_618,,
61850,City_61850,Illinois,County_618,,
61855,City_61855,Illinois,County_618,,
61860,City_61860,Illinois,County_618,,
61865,City_61865,Illinois,County_618,,
61870,City_61870,Illinois,County_618,,
61875,City_61875,Illinois,County_618,,
61880,City_61880,Illinois,County_618,,
61885,City_61885,Illinois,County_618,,
61890,City_61890,Illinois,County_618,,
61895,City_61895,Illinois,County_618,,
61900,City_61900,Illinois,County_619,,
61905,City_61905,Illinois,County_619,,
61910,City_61910,Illinois,County_619,,
61915,City_61915,Illinois,County_619,,
61920,City_61920,Illinois,County_619,,
61925,City_61925,Illinois,County_619,,
61930,City_61930,Illinois,County_619,,
61935,City_61935,Illinois,County_619,,
61940,City_61940,Illinois,County_619,,
61945,City_61945,Illinois,County_619,,
61950,City_61950,Illinois,County_619,,
61955,City_61955,Illinois,County_619,,
61960,City_61960,Illinois,County_619,,
61965,City_61965,Illinois,County_619,,
61970,City_61970,Illinois,County_619,,
61975,City_61975,Illinois,County_619,,
61980,City_61980,Illinois,County_619,,
61985,City_61985,Illinois,County_619,,
61990,City_61990,Illinois,County_619,,
61995,City_61995,Illinois,County_619,,
62000,City_62000,Illinois,County_620,,
62005,City_62005,Illinois,County_620,,
62010,City_62010,Illinois,County_620,,
62015,City_62015,Illinois,County_620,,
62020,City_62020,Illinois,County_620,,
62025,City_62025,Illinois,County_620,,
62030,City_62030,Illinois,County_620,,
62035,City_62035,Illinois,County_620,,
62040,City_62040,Illinois,County_620,,
62045,City_62045,Illinois,County_620,,
62050,City_62050,Illinois,County_620,,
62055,City_62055,Illinois,County_620,,
62060,City_62060,Illinois,County_620,,
62065,City_62065,Illinois,County_620,,
62070,City_62070,Illinois,County_620,,
62075,City_62075,Illinois,County_620,,
62080,City_62080,Illinois,County_620,,
62085,City_62085,Illinois,County_620,,
62090,City_62090,Illinois,County_620,,
62095,City_62095,Illinois,County_620,,
62100,City_62100,Illinois,County_621,,
62105,City_62105,Illinois,County_621,,
62110,City_62110,Illinois,County_621,,
62115,City_62115,Illinois,County_621,,
62120,City_62120,Illinois,County_621,,
62125,City_62125,Illinois,County_621,,
62130,City_62130,Illinois,County_621,,
62135,City_62135,Illinois,County_621,,
62140,City_62140,Illinois,County_621,,
62145,City_62145,Illinois,County_621,,
62150,City_62150,Illinois,County_621,,
62155,City_62155,Illinois,County_621,,
62160,City_62160,Illinois,County_621,,
62165,City_62165,Illinois,County_621,,
62170,City_62170,Illinois,County_621,,
62175,City_62175,Illinois,County_621,,
62180,City_62180,Illinois,County_621,,
62185,City_62185,Illinois,County_621,,
62190,City_62190,Illinois,County_621,,
62195,City_62195,Illinois,County_621,,
62200,City_62200,Illinois,County_622,,
62205,City_62205,Illinois,County_622,,
62210,City_62210,Illinois,County_622,,
62215,City_62215,Illinois,County_622,,
62220,City_62220,Illinois,County_622,,
62225,City_62225,Illinois,County_622,,
62230,City_62230,Illinois,County_622,,
62235,City_62235,Illinois,County_622,,
62240,City_62240,Illinois,County_622,,
62245,City_62245,Illinois,County_622,,
62250,City_62250,Illinois,County_622,,
62255,City_62255,Illinois,County_622,,
62260,City_62260,Illinois,County_622,,
62265,City_62265,Illinois,County_622,,
62270,City_62270,Illinois,County_622,,
62275,City_62275,Illinois,County_622,,
62280,City_62280,Illinois,County_622,,
62285,City_62285,Illinois,County_622,,
62290,City_62290,Illinois,County_622,,
62295,City_62295,Illinois,County_622,,
62300,City_62300,Illinois,County_623,,
62305,City_62305,Illinois,County_623,,
62310,City_62310,Illinois,County_623,,
62315,City_62315,Illinois,County_623,,
62320,City_62320,Illinois,County_623,,
62325,City_62325,Illinois,County_623,,
62330,City_62330,Illinois,County_623,,
62335,City_62335,Illinois,County_623,,
