zip_code,city,state,county,latitude,longitude
46000,City_46000,Indiana,County_460,,
46005,City_46005,Indiana,County_460,,
46010,City_46010,Indiana,County_460,,
46015,City_46015,Indiana,County_460,,
46020,City_46020,Indiana,County_460,,
46025,City_46025,Indiana,County_460,,
46030,City_46030,Indiana,County_460,,
46035,City_46035,Indiana,County_460,,
46040,City_46040,Indiana,County_460,,
46045,City_46045,Indiana,County_460,,
46050,City_46050,Indiana,County_460,,
46055,City_46055,Indiana,County_460,,
46060,City_46060,Indiana,County_460,,
46065,City_46065,Indiana,County_460,,
46070,City_46070,Indiana,County_460,,
46075,City_46075,Indiana,County_460,,
46080,City_46080,Indiana,County_460,,
46085,City_46085,Indiana,County_460,,
46090,City_46090,Indiana,County_460,,
46095,City_46095,Indiana,County_460,,
46100,City_46100,Indiana,County_461,,
46105,City_46105,Indiana,County_461,,
46110,City_46110,Indiana,County_461,,
46115,City_46115,Indiana,County_461,,
46120,City_46120,Indiana,County_461,,
46125,City_46125,Indiana,County_461,,
46130,City_46130,Indiana,County_461,,
46135,City_46135,Indiana,County_461,,
46140,City_46140,Indiana,County_461,,
46145,City_46145,Indiana,County_461,,
46150,City_46150,Indiana,County_461,,
46155,City_46155,Indiana,County_461,,
46160,City_46160,Indiana,County_461,,
46165,City_46165,Indiana,County_461,,
46170,City_46170,Indiana,County_461,,
46175,City_46175,Indiana,County_461,,
46180,City_46180,Indiana,County_461,,
46185,City_46185,Indiana,County_461,,
46190,City_46190,Indiana,County_461,,
46195,City_46195,Indiana,County_461,,
46200,City_46200,Indiana,County_462,,
46205,City_46205,Indiana,County_462,,
46210,City_46210,Indiana,County_462,,
46215,City_46215,Indiana,County_462,,
46220,City_46220,Indiana,County_462,,
46225,City_46225,Indiana,County_462,,
46230,City_46230,Indiana,County_462,,
46235,City_46235,Indiana,County_462,,
46240,City_46240,Indiana,County_462,,
46245,City_46245,Indiana,County_462,,
46250,City_46250,Indiana,County_462,,
46255,City_46255,Indiana,County_462,,
46260,City_46260,Indiana,County_462,,
46265,City_46265,Indiana,County_462,,
46270,City_46270,Indiana,County_462,,
46275,City_46275,Indiana,County_462,,
46280,City_46280,Indiana,County_462,,
46285,City_46285,Indiana,County_462,,
46290,City_46290,Indiana,County_462,,
46295,City_46295,Indiana,County_462,,
46300,City_46300,Indiana,County_463,,
46305,City_46305,Indiana,County_463,,
46310,City_46310,Indiana,County_463,,
46315,City_46315,Indiana,County_463,,
46320,City_46320,Indiana,County_463,,
46325,City_46325,Indiana,County_463,,
46330,City_46330,Indiana,County_463,,
46335,City_46335,Indiana,County_463,,
46340,City_46340,Indiana,County_463,,
46345,City_46345,Indiana,County_463,,
46350,City_46350,Indiana,County_463,,
46355,City_46355,Indiana,County_463,,
46360,City_46360,Indiana,County_463,,
46365,City_46365,Indiana,County_463,,
46370,City_46370,Indiana,County_463,,
46375,City_46375,Indiana,County_463,,
46380,City_46380,Indiana,County_463,,
46385,City_46385,Indiana,County_463,,
46390,City_46390,Indiana,County_463,,
46395,City_46395,Indiana,County_463,,
46400,City_46400,Indiana,County_464,,
46405,City_46405,Indiana,County_464,,
46410,City_46410,Indiana,County_464,,
46415,City_46415,Indiana,County_464,,
46420,City_46420,Indiana,County_464,,
46425,City_46425,Indiana,County_464,,
46430,City_46430,Indiana,County_464,,
46435,City_46435,Indiana,County_464,,
46440,City_46440,Indiana,County_464,,
46445,City_46445,Indiana,County_464,,
46450,City_46450,Indiana,County_464,,
46455,City_46455,Indiana,County_464,,
46460,City_46460,Indiana,County_464,,
46465,City_46465,Indiana,County_464,,
46470,City_46470,Indiana,County_464,,
46475,City_46475,Indiana,County_464,,
46480,City_46480,Indiana,County_464,,
46485,City_46485,Indiana,County_464,,
46490,City_46490,Indiana,County_464,,
46495,City_46495,Indiana,County_464,,
46500,City_46500,Indiana,County_465,,
46505,City_46505,Indiana,County_465,,
46510,City_46510,Indiana,County_465,,
46515,City_46515,Indiana,County_465,,
46520,City_46520,Indiana,County_465,,
46525,City_46525,Indiana,County_465,,
46530,City_46530,Indiana,County_465,,
46535,City_46535,Indiana,County_465,,
46540,City_46540,Indiana,County_465,,
46545,City_46545,Indiana,County_465,,
46550,City_46550,Indiana,County_465,,
46555,City_46555,Indiana,County_465,,
46560,City_46560,Indiana,County_465,,
46565,City_46565,Indiana,County_465,,
46570,City_46570,Indiana,County_465,,
46575,City_46575,Indiana,County_465,,
46580,City_46580,Indiana,County_465,,
46585,City_46585,Indiana,County_465,,
46590,City_46590,Indiana,County_465,,
46595,City_46595,Indiana,County_465,,
46600,City_46600,Indiana,County_466,,
46605,City_46605,Indiana,County_466,,
46610,City_46610,Indiana,County_466,,
46615,City_46615,Indiana,County_466,,
46620,City_46620,Indiana,County_466,,
46625,City_46625,Indiana,County_466,,
46630,City_46630,Indiana,County_466,,
46635,City_46635,Indiana,County_466,,
46640,City_46640,Indiana,County_466,,
46645,City_46645,Indiana,County_466,,
46650,City_46650,Indiana,County_466,,
46655,City_46655,Indiana,County_466,,
46660,City_46660,Indiana,County_466,,
46665,City_46665,Indiana,County_466,,
46670,City_46670,Indiana,County_466,,
46675,City_46675,Indiana,County_466,,
46680,City_46680,Indiana,County_466,,
46685,City_46685,Indiana,County_466,,
46690,City_46690,Indiana,County_466,,
46695,City_46695,Indiana,County_466,,
46700,City_46700,Indiana,County_467,,
46705,City_46705,Indiana,County_467,,
46710,City_46710,Indiana,County_467,,
46715,City_46715,Indiana,County_467,,
46720,City_46720,Indiana,County_467,,
46725,City_46725,Indiana,County_467,,
46730,City_46730,Indiana,County_467,,
46735,City_46735,Indiana,County_467,,
46740,City_46740,Indiana,County_467,,
46745,City_46745,Indiana,County_467,,
46750,City_46750,Indiana,County_467,,
46755,City_46755,Indiana,County_467,,
46760,City_46760,Indiana,County_467,,
46765,City_46765,Indiana,County_467,,
46770,City_46770,Indiana,County_467,,
46775,City_46775,Indiana,County_467,,
46780,City_46780,Indiana,County_467,,
46785,City_46785,Indiana,County_467,,
46790,City_46790,Indiana,County_467,,
46795,City_46795,Indiana,County_467,,
46800,City_46800,Indiana,County_468,,
46805,City_46805,Indiana,County_468,,
46810,City_46810,Indiana,County_468,,
46815,City_46815,Indiana,County_468,,
46820,City_46820,Indiana,County_468,,
46825,City_46825,Indiana,County_468,,
46830,City_46830,Indiana,County_468,,
46835,City_46835,Indiana,County_468,,
46840,City_46840,Indiana,County_468,,
46845,City_46845,Indiana,County_468,,
46850,City_46850,Indiana,County_468,,
46855,City_46855,Indiana,County_468,,
46860,City_46860,Indiana,County_468,,
46865,City_46865,Indiana,County_468,,
46870,City_46870,Indiana,County_468,,
46875,City_46875,Indiana,County_468,,
46880,City_46880,Indiana,County_468,,
46885,City_46885,Indiana,County_468,,
46890,City_46890,Indiana,County_468,,
46895,City_46895,Indiana,County_468,,
46900,City_46900,Indiana,County_469,,
46905,City_46905,Indiana,County_469,,
46910,City_46910,Indiana,County_469,,
46915,City_46915,Indiana,County_469,,
46920,City_46920,Indiana,County_469,,
46925,City_46925,Indiana,County_469,,
46930,City_46930,Indiana,County_469,,
46935,City_46935,Indiana,County_469,,
46940,City_46940,Indiana,County_469,,
46945,City_46945,Indiana,County_469,,
46950,City_46950,Indiana,County_469,,
46955,City_46955,Indiana,County_469,,
46960,City_46960,Indiana,County_469,,
46965,City_46965,Indiana,County_469,,
46970,City_46970,Indiana,County_469,,
46975,City_46975,Indiana,County_469,,
46980,City_46980,Indiana,County_469,,
46985,City_46985,Indiana,County_469,,
46990,City_46990,Indiana,County_469,,
46995,City_46995,Indiana,County_469,,
47000,City_47000,Indiana,County_470,,
47005,City_47005,Indiana,County_470,,
47010,City_47010,Indiana,County_470,,
47015,City_47015,Indiana,County_470,,
47020,City_47020,Indiana,County_470,,
47025,City_47025,Indiana,County_470,,
47030,City_47030,Indiana,County_470,,
47035,City_47035,Indiana,County_470,,
47040,City_47040,Indiana,County_470,,
47045,City_47045,Indiana,County_470,,
47050,City_47050,Indiana,County_470,,
47055,City_47055,Indiana,County_470,,
47060,City_47060,Indiana,County_470,,
47065,City_47065,Indiana,County_470,,
47070,City_47070,Indiana,County_470,,
47075,City_47075,Indiana,County_470,,
47080,City_47080,Indiana,County_470,,
47085,City_47085,Indiana,County_470,,
