zip_code,city,state,county,latitude,longitude
50000,City_50000,Iowa,County_500,,
50005,City_50005,Iowa,County_500,,
50010,City_50010,Iowa,County_500,,
50015,City_50015,Iowa,County_500,,
50020,City_50020,Iowa,County_500,,
50025,City_50025,Iowa,County_500,,
50030,City_50030,Iowa,County_500,,
50035,City_50035,Iowa,County_500,,
50040,City_50040,Iowa,County_500,,
50045,City_50045,Iowa,County_500,,
50050,City_50050,Iowa,County_500,,
50055,City_50055,Iowa,County_500,,
50060,City_50060,Iowa,County_500,,
50065,City_50065,Iowa,County_500,,
50070,City_50070,Iowa,County_500,,
50075,City_50075,Iowa,County_500,,
50080,City_50080,Iowa,County_500,,
50085,City_50085,Iowa,County_500,,
50090,City_50090,Iowa,County_500,,
50095,City_50095,Iowa,County_500,,
50100,City_50100,Iowa,County_501,,
50105,City_50105,Iowa,County_501,,
50110,City_50110,Iowa,County_501,,
50115,City_50115,Iowa,County_501,,
50120,City_50120,Iowa,County_501,,
50125,City_50125,Iowa,County_501,,
50130,City_50130,Iowa,County_501,,
50135,City_50135,Iowa,County_501,,
50140,City_50140,Iowa,County_501,,
50145,City_50145,Iowa,County_501,,
50150,City_50150,Iowa,County_501,,
50155,City_50155,Iowa,County_501,,
50160,City_50160,Iowa,County_501,,
50165,City_50165,Iowa,County_501,,
50170,City_50170,Iowa,County_501,,
50175,City_50175,Iowa,County_501,,
50180,City_50180,Iowa,County_501,,
50185,City_50185,Iowa,County_501,,
50190,City_50190,Iowa,County_501,,
50195,City_50195,Iowa,County_501,,
50200,City_50200,Iowa,County_502,,
50205,City_50205,Iowa,County_502,,
50210,City_50210,Iowa,County_502,,
50215,City_50215,Iowa,County_502,,
50220,City_50220,Iowa,County_502,,
50225,City_50225,Iowa,County_502,,
50230,City_50230,Iowa,County_502,,
50235,City_50235,Iowa,County_502,,
50240,City_50240,Iowa,County_502,,
50245,City_50245,Iowa,County_502,,
50250,City_50250,Iowa,County_502,,
50255,City_50255,Iowa,County_502,,
50260,City_50260,Iowa,County_502,,
50265,City_50265,Iowa,County_502,,
50270,City_50270,Iowa,County_502,,
50275,City_50275,Iowa,County_502,,
50280,City_50280,Iowa,County_502,,
50285,City_50285,Iowa,County_502,,
50290,City_50290,Iowa,County_502,,
50295,City_50295,Iowa,County_502,,
50300,City_50300,Iowa,County_503,,
50305,City_50305,Iowa,County_503,,
50310,City_50310,Iowa,County_503,,
50315,City_50315,Iowa,County_503,,
50320,City_50320,Iowa,County_503,,
50325,City_50325,Iowa,County_503,,
50330,City_50330,Iowa,County_503,,
50335,City_50335,Iowa,County_503,,
50340,City_50340,Iowa,County_503,,
50345,City_50345,Iowa,County_503,,
50350,City_50350,Iowa,County_503,,
50355,City_50355,Iowa,County_503,,
50360,City_50360,Iowa,County_503,,
50365,City_50365,Iowa,County_503,,
50370,City_50370,Iowa,County_503,,
50375,City_50375,Iowa,County_503,,
50380,City_50380,Iowa,County_503,,
50385,City_50385,Iowa,County_503,,
50390,City_50390,Iowa,County_503,,
50395,City_50395,Iowa,County_503,,
50400,City_50400,Iowa,County_504,,
50405,City_50405,Iowa,County_504,,
50410,City_50410,Iowa,County_504,,
50415,City_50415,Iowa,County_504,,
50420,City_50420,Iowa,County_504,,
50425,City_50425,Iowa,County_504,,
50430,City_50430,Iowa,County_504,,
50435,City_50435,Iowa,County_504,,
50440,City_50440,Iowa,County_504,,
50445,City_50445,Iowa,County_504,,
50450,City_50450,Iowa,County_504,,
50455,City_50455,Iowa,County_504,,
50460,City_50460,Iowa,County_504,,
50465,City_50465,Iowa,County_504,,
50470,City_50470,Iowa,County_504,,
50475,City_50475,Iowa,County_504,,
50480,City_50480,Iowa,County_504,,
50485,City_50485,Iowa,County_504,,
50490,City_50490,Iowa,County_504,,
50495,City_50495,Iowa,County_504,,
50500,City_50500,Iowa,County_505,,
50505,City_50505,Iowa,County_505,,
50510,City_50510,Iowa,County_505,,
50515,City_50515,Iowa,County_505,,
50520,City_50520,Iowa,County_505,,
50525,City_50525,Iowa,County_505,,
50530,City_50530,Iowa,County_505,,
50535,City_50535,Iowa,County_505,,
50540,City_50540,Iowa,County_505,,
50545,City_50545,Iowa,County_505,,
50550,City_50550,Iowa,County_505,,
50555,City_50555,Iowa,County_505,,
50560,City_50560,Iowa,County_505,,
50565,City_50565,Iowa,County_505,,
50570,City_50570,Iowa,County_505,,
50575,City_50575,Iowa,County_505,,
50580,City_50580,Iowa,County_505,,
50585,City_50585,Iowa,County_505,,
50590,City_50590,Iowa,County_505,,
50595,City_50595,Iowa,County_505,,
50600,City_50600,Iowa,County_506,,
50605,City_50605,Iowa,County_506,,
50610,City_50610,Iowa,County_506,,
50615,City_50615,Iowa,County_506,,
50620,City_50620,Iowa,County_506,,
50625,City_50625,Iowa,County_506,,
50630,City_50630,Iowa,County_506,,
50635,City_50635,Iowa,County_506,,
50640,City_50640,Iowa,County_506,,
50645,City_50645,Iowa,County_506,,
50650,City_50650,Iowa,County_506,,
50655,City_50655,Iowa,County_506,,
50660,City_50660,Iowa,County_506,,
50665,City_50665,Iowa,County_506,,
50670,City_50670,Iowa,County_506,,
50675,City_50675,Iowa,County_506,,
50680,City_50680,Iowa,County_506,,
50685,City_50685,Iowa,County_506,,
50690,City_50690,Iowa,County_506,,
50695,City_50695,Iowa,County_506,,
50700,City_50700,Iowa,County_507,,
50705,City_50705,Iowa,County_507,,
50710,City_50710,Iowa,County_507,,
50715,City_50715,Iowa,County_507,,
50720,City_50720,Iowa,County_507,,
50725,City_50725,Iowa,County_507,,
50730,City_50730,Iowa,County_507,,
50735,City_50735,Iowa,County_507,,
50740,City_50740,Iowa,County_507,,
50745,City_50745,Iowa,County_507,,
50750,City_50750,Iowa,County_507,,
50755,City_50755,Iowa,County_507,,
50760,City_50760,Iowa,County_507,,
50765,City_50765,Iowa,County_507,,
50770,City_50770,Iowa,County_507,,
50775,City_50775,Iowa,County_507,,
50780,City_50780,Iowa,County_507,,
50785,City_50785,Iowa,County_507,,
50790,City_50790,Iowa,County_507,,
50795,City_50795,Iowa,County_507,,
50800,City_50800,Iowa,County_508,,
50805,City_50805,Iowa,County_508,,
50810,City_50810,Iowa,County_508,,
50815,City_50815,Iowa,County_508,,
50820,City_50820,Iowa,County_508,,
50825,City_50825,Iowa,County_508,,
50830,City_50830,Iowa,County_508,,
50835,City_50835,Iowa,County_508,,
50840,City_50840,Iowa,County_508,,
50845,City_50845,Iowa,County_508,,
50850,City_50850,Iowa,County_508,,
50855,City_50855,Iowa,County_508,,
50860,City_50860,Iowa,County_508,,
50865,City_50865,Iowa,County_508,,
50870,City_50870,Iowa,County_508,,
50875,City_50875,Iowa,County_508,,
50880,City_50880,Iowa,County_508,,
50885,City_50885,Iowa,County_508,,
50890,City_50890,Iowa,County_508,,
50895,City_50895,Iowa,County_508,,
50900,City_50900,Iowa,County_509,,
50905,City_50905,Iowa,County_509,,
50910,City_50910,Iowa,County_509,,
50915,City_50915,Iowa,County_509,,
50920,City_50920,Iowa,County_509,,
50925,City_50925,Iowa,County_509,,
50930,City_50930,Iowa,County_509,,
50935,City_50935,Iowa,County_509,,
50940,City_50940,Iowa,County_509,,
50945,City_50945,Iowa,County_509,,
50950,City_50950,Iowa,County_509,,
50955,City_50955,Iowa,County_509,,
50960,City_50960,Iowa,County_509,,
50965,City_50965,Iowa,County_509,,
50970,City_50970,Iowa,County_509,,
50975,City_50975,Iowa,County_509,,
50980,City_50980,Iowa,County_509,,
50985,City_50985,Iowa,County_509,,
50990,City_50990,Iowa,County_509,,
50995,City_50995,Iowa,County_509,,
51000,City_51000,Iowa,County_510,,
51005,City_51005,Iowa,County_510,,
51010,City_51010,Iowa,County_510,,
51015,City_51015,Iowa,County_510,,
51020,City_51020,Iowa,County_510,,
51025,City_51025,Iowa,County_510,,
51030,City_51030,Iowa,County_510,,
51035,City_51035,Iowa,County_510,,
51040,City_51040,Iowa,County_510,,
51045,City_51045,Iowa,County_510,,
51050,City_51050,Iowa,County_510,,
51055,City_51055,Iowa,County_510,,
51060,City_51060,Iowa,County_510,,
51065,City_51065,Iowa,County_510,,
51070,City_51070,Iowa,County_510,,
51075,City_51075,Iowa,County_510,,
51080,City_51080,Iowa,County_510,,
51085,City_51085,Iowa,County_510,,
51090,City_51090,Iowa,County_510,,
51095,City_51095,Iowa,County_510,,
51100,City_51100,Iowa,County_511,,
51105,City_51105,Iowa,County_511,,
51110,City_51110,Iowa,County_511,,
51115,City_51115,Iowa,County_511,,
51120,City_51120,Iowa,County_511,,
51125,City_51125,Iowa,County_511,,
51130,City_51130,Iowa,County_511,,
51135,City_51135,Iowa,County_511,,
51140,City_51140,Iowa,County_511,,
51145,City_51145,Iowa,County_511,,
51150,City_51150,Iowa,County_511,,
51155,City_51155,Iowa,County_511,,
51160,City_51160,Iowa,County_511,,
51165,City_51165,Iowa,County_511,,
51170,City_51170,Iowa,County_511,,
51175,City_51175,Iowa,County_511,,
51180,City_51180,Iowa,County_511,,
51185,City_51185,Iowa,County_511,,
51190,City_51190,Iowa,County_511,,
51195,City_51195,Iowa,County_511,,
51200,City_51200,Iowa,County_512,,
51205,City_51205,Iowa,County_512,,
51210,City_51210,Iowa,County_512,,
51215,City_51215,Iowa,County_512,,
51220,City_51220,Iowa,County_512,,
51225,City_51225,Iowa,County_512,,
51230,City_51230,Iowa,County_512,,
51235,City_51235,Iowa,County_512,,
51240,City_51240,Iowa,County_512,,
51245,City_51245,Iowa,County_512,,
51250,City_51250,Iowa,County_512,,
51255,City_51255,Iowa,County_512,,
51260,City_51260,Iowa,County_512,,
51265,City_51265,Iowa,County_512,,
51270,City_51270,Iowa,County_512,,
51275,City_51275,Iowa,County_512,,
51280,City_51280,Iowa,County_512,,
51285,City_51285,Iowa,County_512,,
51290,City_51290,Iowa,County_512,,
51295,City_51295,Iowa,County_512,,
51300,City_51300,Iowa,County_513,,
51305,City_51305,Iowa,County_513,,
51310,City_51310,Iowa,County_513,,
51315,City_51315,Iowa,County_513,,
51320,City_51320,Iowa,County_513,,
51325,City_51325,Iowa,County_513,,
51330,City_51330,Iowa,County_513,,
51335,City_51335,Iowa,County_513,,
51340,City_51340,Iowa,County_513,,
51345,City_51345,Iowa,County_513,,
51350,City_51350,Iowa,County_513,,
51355,City_51355,Iowa,County_513,,
51360,City_51360,Iowa,County_513,,
51365,City_51365,Iowa,County_513,,
51370,City_51370,Iowa,County_513,,
51375,City_51375,Iowa,County_513,,
51380,City_51380,Iowa,County_513,,
51385,City_51385,Iowa,County_513,,
51390,City_51390,Iowa,County_513,,
51395,City_51395,Iowa,County_513,,
51400,City_51400,Iowa,County_514,,
51405,City_51405,Iowa,County_514,,
51410,City_51410,Iowa,County_514,,
51415,City_51415,Iowa,County_514,,
51420,City_51420,Iowa,County_514,,
51425,City_51425,Iowa,County_514,,
51430,City_51430,Iowa,County_514,,
51435,City_51435,Iowa,County_514,,
51440,City_51440,Iowa,County_514,,
51445,City_51445,Iowa,County_514,,
51450,City_51450,Iowa,County_514,,
51455,City_51455,Iowa,County_514,,
51460,City_51460,Iowa,County_514,,
51465,City_51465,Iowa,County_514,,
51470,City_51470,Iowa,County_514,,
51475,City_51475,Iowa,County_514,,
51480,City_51480,Iowa,County_514,,
51485,City_51485,Iowa,County_514,,
51490,City_51490,Iowa,County_514,,
51495,City_51495,Iowa,County_514,,
51500,City_51500,Iowa,County_515,,
51505,City_51505,Iowa,County_515,,
51510,City_51510,Iowa,County_515,,
51515,City_51515,Iowa,County_515,,
51520,City_51520,Iowa,County_515,,
51525,City_51525,Iowa,County_515,,
51530,City_51530,Iowa,County_515,,
51535,City_51535,Iowa,County_515,,
51540,City_51540,Iowa,County_515,,
51545,City_51545,Iowa,County_515,,
51550,City_51550,Iowa,County_515,,
51555,City_51555,Iowa,County_515,,
51560,City_51560,Iowa,County_515,,
51565,City_51565,Iowa,County_515,,
51570,City_51570,Iowa,County_515,,
51575,City_51575,Iowa,County_515,,
51580,City_51580,Iowa,County_515,,
51585,City_51585,Iowa,County_515,,
51590,City_51590,Iowa,County_515,,
51595,City_51595,Iowa,County_515,,
51600,City_51600,Iowa,County_516,,
51605,City_51605,Iowa,County_516,,
51610,City_51610,Iowa,County_516,,
51615,City_51615,Iowa,County_516,,
51620,City_51620,Iowa,County_516,,
51625,City_51625,Iowa,County_516,,
51630,City_51630,Iowa,County_516,,
51635,City_51635,Iowa,County_516,,
51640,City_51640,Iowa,County_516,,
51645,City_51645,Iowa,County_516,,
51650,City_51650,Iowa,County_516,,
51655,City_51655,Iowa,County_516,,
51660,City_51660,Iowa,County_516,,
51665,City_51665,Iowa,County_516,,
51670,City_51670,Iowa,County_516,,
51675,City_51675,Iowa,County_516,,
51680,City_51680,Iowa,County_516,,
51685,City_51685,Iowa,County_516,,
51690,City_51690,Iowa,County_516,,
51695,City_51695,Iowa,County_516,,
51700,City_51700,Iowa,County_517,,
51705,City_51705,Iowa,County_517,,
51710,City_51710,Iowa,County_517,,
51715,City_51715,Iowa,County_517,,
51720,City_51720,Iowa,County_517,,
51725,City_51725,Iowa,County_517,,
51730,City_51730,Iowa,County_517,,
51735,City_51735,Iowa,County_517,,
51740,City_51740,Iowa,County_517,,
51745,City_51745,Iowa,County_517,,
51750,City_51750,Iowa,County_517,,
51755,City_51755,Iowa,County_517,,
51760,City_51760,Iowa,County_517,,
51765,City_51765,Iowa,County_517,,
51770,City_51770,Iowa,County_517,,
51775,City_51775,Iowa,County_517,,
51780,City_51780,Iowa,County_517,,
51785,City_51785,Iowa,County_517,,
51790,City_51790,Iowa,County_517,,
51795,City_51795,Iowa,County_517,,
51800,City_51800,Iowa,County_518,,
51805,City_51805,Iowa,County_518,,
51810,City_51810,Iowa,County_518,,
51815,City_51815,Iowa,County_518,,
51820,City_51820,Iowa,County_518,,
51825,City_51825,Iowa,County_518,,
51830,City_51830,Iowa,County_518,,
51835,City_51835,Iowa,County_518,,
51840,City_51840,Iowa,County_518,,
51845,City_51845,Iowa,County_518,,
51850,City_51850,Iowa,County_518,,
51855,City_51855,Iowa,County_518,,
51860,City_51860,Iowa,County_518,,
51865,City_51865,Iowa,County_518,,
51870,City_51870,Iowa,County_518,,
51875,City_51875,Iowa,County_518,,
51880,City_51880,Iowa,County_518,,
51885,City_51885,Iowa,County_518,,
51890,City_51890,Iowa,County_518,,
51895,City_51895,Iowa,County_518,,
51900,City_51900,Iowa,County_519,,
51905,City_51905,Iowa,County_519,,
51910,City_51910,Iowa,County_519,,
51915,City_51915,Iowa,County_519,,
51920,City_51920,Iowa,County_519,,
51925,City_51925,Iowa,County_519,,
51930,City_51930,Iowa,County_519,,
