zip_code,city,state,county,latitude,longitude
66000,City_66000,Kansas,County_660,,
66005,City_66005,Kansas,County_660,,
66010,City_66010,Kansas,County_660,,
66015,City_66015,Kansas,County_660,,
66020,City_66020,Kansas,County_660,,
66025,City_66025,Kansas,County_660,,
66030,City_66030,Kansas,County_660,,
66035,City_66035,Kansas,County_660,,
66040,City_66040,Kansas,County_660,,
66045,City_66045,Kansas,County_660,,
66050,City_66050,Kansas,County_660,,
66055,City_66055,Kansas,County_660,,
66060,City_66060,Kansas,County_660,,
66065,City_66065,Kansas,County_660,,
66070,City_66070,Kansas,County_660,,
66075,City_66075,Kansas,County_660,,
66080,City_66080,Kansas,County_660,,
66085,City_66085,Kansas,County_660,,
66090,City_66090,Kansas,County_660,,
66095,City_66095,Kansas,County_660,,
66100,City_66100,Kansas,County_661,,
66105,City_66105,Kansas,County_661,,
66110,City_66110,Kansas,County_661,,
66115,City_66115,Kansas,County_661,,
66120,City_66120,Kansas,County_661,,
66125,City_66125,Kansas,County_661,,
66130,City_66130,Kansas,County_661,,
66135,City_66135,Kansas,County_661,,
66140,City_66140,Kansas,County_661,,
66145,City_66145,Kansas,County_661,,
66150,City_66150,Kansas,County_661,,
66155,City_66155,Kansas,County_661,,
66160,City_66160,Kansas,County_661,,
66165,City_66165,Kansas,County_661,,
66170,City_66170,Kansas,County_661,,
66175,City_66175,Kansas,County_661,,
66180,City_66180,Kansas,County_661,,
66185,City_66185,Kansas,County_661,,
66190,City_66190,Kansas,County_661,,
66195,City_66195,Kansas,County_661,,
66200,City_66200,Kansas,County_662,,
66205,City_66205,Kansas,County_662,,
66210,City_66210,Kansas,County_662,,
66215,City_66215,Kansas,County_662,,
66220,City_66220,Kansas,County_662,,
66225,City_66225,Kansas,County_662,,
66230,City_66230,Kansas,County_662,,
66235,City_66235,Kansas,County_662,,
66240,City_66240,Kansas,County_662,,
66245,City_66245,Kansas,County_662,,
66250,City_66250,Kansas,County_662,,
66255,City_66255,Kansas,County_662,,
66260,City_66260,Kansas,County_662,,
66265,City_66265,Kansas,County_662,,
66270,City_66270,Kansas,County_662,,
66275,City_66275,Kansas,County_662,,
66280,City_66280,Kansas,County_662,,
66285,City_66285,Kansas,County_662,,
66290,City_66290,Kansas,County_662,,
66295,City_66295,Kansas,County_662,,
66300,City_66300,Kansas,County_663,,
66305,City_66305,Kansas,County_663,,
66310,City_66310,Kansas,County_663,,
66315,City_66315,Kansas,County_663,,
66320,City_66320,Kansas,County_663,,
66325,City_66325,Kansas,County_663,,
66330,City_66330,Kansas,County_663,,
66335,City_66335,Kansas,County_663,,
66340,City_66340,Kansas,County_663,,
66345,City_66345,Kansas,County_663,,
66350,City_66350,Kansas,County_663,,
66355,City_66355,Kansas,County_663,,
66360,City_66360,Kansas,County_663,,
66365,City_66365,Kansas,County_663,,
