zip_code,city,state,county,latitude,longitude
40000,City_40000,Kentucky,County_400,,
40005,City_40005,Kentucky,County_400,,
40010,City_40010,Kentucky,County_400,,
40015,City_40015,Kentucky,County_400,,
40020,City_40020,Kentucky,County_400,,
40025,City_40025,Kentucky,County_400,,
40030,City_40030,Kentucky,County_400,,
40035,City_40035,Kentucky,County_400,,
40040,City_40040,Kentucky,County_400,,
40045,City_40045,Kentucky,County_400,,
40050,City_40050,Kentucky,County_400,,
40055,City_40055,Kentucky,County_400,,
40060,City_40060,Kentucky,County_400,,
40065,City_40065,Kentucky,County_400,,
40070,City_40070,Kentucky,County_400,,
40075,City_40075,Kentucky,County_400,,
40080,City_40080,Kentucky,County_400,,
40085,City_40085,Kentucky,County_400,,
40090,City_40090,Kentucky,County_400,,
40095,City_40095,Kentucky,County_400,,
40100,City_40100,Kentucky,County_401,,
40105,City_40105,Kentucky,County_401,,
40110,City_40110,Kentucky,County_401,,
40115,City_40115,Kentucky,County_401,,
40120,City_40120,Kentucky,County_401,,
40125,City_40125,Kentucky,County_401,,
40130,City_40130,Kentucky,County_401,,
40135,City_40135,Kentucky,County_401,,
40140,City_40140,Kentucky,County_401,,
40145,City_40145,Kentucky,County_401,,
40150,City_40150,Kentucky,County_401,,
40155,City_40155,Kentucky,County_401,,
40160,City_40160,Kentucky,County_401,,
40165,City_40165,Kentucky,County_401,,
40170,City_40170,Kentucky,County_401,,
40175,City_40175,Kentucky,County_401,,
40180,City_40180,Kentucky,County_401,,
40185,City_40185,Kentucky,County_401,,
40190,City_40190,Kentucky,County_401,,
40195,City_40195,Kentucky,County_401,,
40200,City_40200,Kentucky,County_402,,
40205,City_40205,Kentucky,County_402,,
40210,City_40210,Kentucky,County_402,,
40215,City_40215,Kentucky,County_402,,
40220,City_40220,Kentucky,County_402,,
40225,City_40225,Kentucky,County_402,,
40230,City_40230,Kentucky,County_402,,
40235,City_40235,Kentucky,County_402,,
40240,City_40240,Kentucky,County_402,,
40245,City_40245,Kentucky,County_402,,
40250,City_40250,Kentucky,County_402,,
40255,City_40255,Kentucky,County_402,,
40260,City_40260,Kentucky,County_402,,
40265,City_40265,Kentucky,County_402,,
40270,City_40270,Kentucky,County_402,,
40275,City_40275,Kentucky,County_402,,
40280,City_40280,Kentucky,County_402,,
40285,City_40285,Kentucky,County_402,,
40290,City_40290,Kentucky,County_402,,
40295,City_40295,Kentucky,County_402,,
40300,City_40300,Kentucky,County_403,,
40305,City_40305,Kentucky,County_403,,
40310,City_40310,Kentucky,County_403,,
40315,City_40315,Kentucky,County_403,,
40320,City_40320,Kentucky,County_403,,
40325,City_40325,Kentucky,County_403,,
40330,City_40330,Kentucky,County_403,,
40335,City_40335,Kentucky,County_403,,
40340,City_40340,Kentucky,County_403,,
40345,City_40345,Kentucky,County_403,,
40350,City_40350,Kentucky,County_403,,
40355,City_40355,Kentucky,County_403,,
40360,City_40360,Kentucky,County_403,,
40365,City_40365,Kentucky,County_403,,
40370,City_40370,Kentucky,County_403,,
40375,City_40375,Kentucky,County_403,,
40380,City_40380,Kentucky,County_403,,
40385,City_40385,Kentucky,County_403,,
40390,City_40390,Kentucky,County_403,,
40395,City_40395,Kentucky,County_403,,
40400,City_40400,Kentucky,County_404,,
40405,City_40405,Kentucky,County_404,,
40410,City_40410,Kentucky,County_404,,
