zip_code,city,state,county,latitude,longitude
70000,City_70000,Louisiana,County_700,,
70005,City_70005,Louisiana,County_700,,
70010,City_70010,Louisiana,County_700,,
70015,City_70015,Louisiana,County_700,,
70020,City_70020,Louisiana,County_700,,
70025,City_70025,Louisiana,County_700,,
70030,City_70030,Louisiana,County_700,,
70035,City_70035,Louisiana,County_700,,
70040,City_70040,Louisiana,County_700,,
70045,City_70045,Louisiana,County_700,,
70050,City_70050,Louisiana,County_700,,
70055,City_70055,Louisiana,County_700,,
70060,City_70060,Louisiana,County_700,,
70065,City_70065,Louisiana,County_700,,
70070,City_70070,Louisiana,County_700,,
70075,City_70075,Louisiana,County_700,,
70080,City_70080,Louisiana,County_700,,
70085,City_70085,Louisiana,County_700,,
70090,City_70090,Louisiana,County_700,,
70095,City_70095,Louisiana,County_700,,
70100,City_70100,Louisiana,County_701,,
70105,City_70105,Louisiana,County_701,,
70110,City_70110,Louisiana,County_701,,
70115,City_70115,Louisiana,County_701,,
70120,City_70120,Louisiana,County_701,,
70125,City_70125,Louisiana,County_701,,
70130,City_70130,Louisiana,County_701,,
70135,City_70135,Louisiana,County_701,,
70140,City_70140,Louisiana,County_701,,
70145,City_70145,Louisiana,County_701,,
70150,City_70150,Louisiana,County_701,,
70155,City_70155,Louisiana,County_701,,
70160,City_70160,Louisiana,County_701,,
70165,City_70165,Louisiana,County_701,,
70170,City_70170,Louisiana,County_701,,
70175,City_70175,Louisiana,County_701,,
70180,City_70180,Louisiana,County_701,,
70185,City_70185,Louisiana,County_701,,
70190,City_70190,Louisiana,County_701,,
70195,City_70195,Louisiana,County_701,,
70200,City_70200,Louisiana,County_702,,
70205,City_70205,Louisiana,County_702,,
70210,City_70210,Louisiana,County_702,,
70215,City_70215,Louisiana,County_702,,
70220,City_70220,Louisiana,County_702,,
70225,City_70225,Louisiana,County_702,,
70230,City_70230,Louisiana,County_702,,
70235,City_70235,Louisiana,County_702,,
70240,City_70240,Louisiana,County_702,,
70245,City_70245,Louisiana,County_702,,
70250,City_70250,Louisiana,County_702,,
70255,City_70255,Louisiana,County_702,,
70260,City_70260,Louisiana,County_702,,
70265,City_70265,Louisiana,County_702,,
70270,City_70270,Louisiana,County_702,,
70275,City_70275,Louisiana,County_702,,
70280,City_70280,Louisiana,County_702,,
70285,City_70285,Louisiana,County_702,,
70290,City_70290,Louisiana,County_702,,
70295,City_70295,Louisiana,County_702,,
70300,City_70300,Louisiana,County_703,,
70305,City_70305,Louisiana,County_703,,
70310,City_70310,Louisiana,County_703,,
70315,City_70315,Louisiana,County_703,,
70320,City_70320,Louisiana,County_703,,
70325,City_70325,Louisiana,County_703,,
70330,City_70330,Louisiana,County_703,,
70335,City_70335,Louisiana,County_703,,
70340,City_70340,Louisiana,County_703,,
70345,City_70345,Louisiana,County_703,,
70350,City_70350,Louisiana,County_703,,
70355,City_70355,Louisiana,County_703,,
70360,City_70360,Louisiana,County_703,,
70365,City_70365,Louisiana,County_703,,
70370,City_70370,Louisiana,County_703,,
70375,City_70375,Louisiana,County_703,,
70380,City_70380,Louisiana,County_703,,
70385,City_70385,Louisiana,County_703,,
70390,City_70390,Louisiana,County_703,,
70395,City_70395,Louisiana,County_703,,
70400,City_70400,Louisiana,County_704,,
70405,City_70405,Louisiana,County_704,,
70410,City_70410,Louisiana,County_704,,
70415,City_70415,Louisiana,County_704,,
70420,City_70420,Louisiana,County_704,,
