zip_code,city,state,county,latitude,longitude
03900,City_03900,Maine,County_039,,
03905,City_03905,Maine,County_039,,
03910,City_03910,Maine,County_039,,
03915,City_03915,Maine,County_039,,
03920,City_03920,Maine,County_039,,
03925,City_03925,Maine,County_039,,
03930,City_03930,Maine,County_039,,
03935,City_03935,Maine,County_039,,
03940,City_03940,Maine,County_039,,
03945,City_03945,Maine,County_039,,
03950,City_03950,Maine,County_039,,
03955,City_03955,Maine,County_039,,
03960,City_03960,Maine,County_039,,
03965,City_03965,Maine,County_039,,
03970,City_03970,Maine,County_039,,
03975,City_03975,Maine,County_039,,
03980,City_03980,Maine,County_039,,
03985,City_03985,Maine,County_039,,
03990,City_03990,Maine,County_039,,
03995,City_03995,Maine,County_039,,
04000,City_04000,Maine,County_040,,
04005,City_04005,Maine,County_040,,
04010,City_04010,Maine,County_040,,
04015,City_04015,Maine,County_040,,
04020,City_04020,Maine,County_040,,
04025,City_04025,Maine,County_040,,
04030,City_04030,Maine,County_040,,
04035,City_04035,Maine,County_040,,
04040,City_04040,Maine,County_040,,
04045,City_04045,Maine,County_040,,
04050,City_04050,Maine,County_040,,
04055,City_04055,Maine,County_040,,
04060,City_04060,Maine,County_040,,
04065,City_04065,Maine,County_040,,
04070,City_04070,Maine,County_040,,
04075,City_04075,Maine,County_040,,
04080,City_04080,Maine,County_040,,
04085,City_04085,Maine,County_040,,
04090,City_04090,Maine,County_040,,
04095,City_04095,Maine,County_040,,
04100,City_04100,Maine,County_041,,
04105,City_04105,Maine,County_041,,
04110,City_04110,Maine,County_041,,
04115,City_04115,Maine,County_041,,
04120,City_04120,Maine,County_041,,
04125,City_04125,Maine,County_041,,
04130,City_04130,Maine,County_041,,
04135,City_04135,Maine,County_041,,
04140,City_04140,Maine,County_041,,
04145,City_04145,Maine,County_041,,
04150,City_04150,Maine,County_041,,
04155,City_04155,Maine,County_041,,
04160,City_04160,Maine,County_041,,
04165,City_04165,Maine,County_041,,
04170,City_04170,Maine,County_041,,
04175,City_04175,Maine,County_041,,
04180,City_04180,Maine,County_041,,
04185,City_04185,Maine,County_041,,
04190,City_04190,Maine,County_041,,
04195,City_04195,Maine,County_041,,
04200,City_04200,Maine,County_042,,
04205,City_04205,Maine,County_042,,
04210,City_04210,Maine,County_042,,
04215,City_04215,Maine,County_042,,
04220,City_04220,Maine,County_042,,
04225,City_04225,Maine,County_042,,
04230,City_04230,Maine,County_042,,
04235,City_04235,Maine,County_042,,
04240,City_04240,Maine,County_042,,
04245,City_04245,Maine,County_042,,
04250,City_04250,Maine,County_042,,
04255,City_04255,Maine,County_042,,
04260,City_04260,Maine,County_042,,
04265,City_04265,Maine,County_042,,
04270,City_04270,Maine,County_042,,
04275,City_04275,Maine,County_042,,
04280,City_04280,Maine,County_042,,
04285,City_04285,Maine,County_042,,
04290,City_04290,Maine,County_042,,
04295,City_04295,Maine,County_042,,
04300,City_04300,Maine,County_043,,
04305,City_04305,Maine,County_043,,
04310,City_04310,Maine,County_043,,
04315,City_04315,Maine,County_043,,
04320,City_04320,Maine,County_043,,
04325,City_04325,Maine,County_043,,
04330,City_04330,Maine,County_043,,
04335,City_04335,Maine,County_043,,
04340,City_04340,Maine,County_043,,
04345,City_04345,Maine,County_043,,
04350,City_04350,Maine,County_043,,
04355,City_04355,Maine,County_043,,
04360,City_04360,Maine,County_043,,
04365,City_04365,Maine,County_043,,
04370,City_04370,Maine,County_043,,
04375,City_04375,Maine,County_043,,
04380,City_04380,Maine,County_043,,
04385,City_04385,Maine,County_043,,
04390,City_04390,Maine,County_043,,
04395,City_04395,Maine,County_043,,
04400,City_04400,Maine,County_044,,
04405,City_04405,Maine,County_044,,
04410,City_04410,Maine,County_044,,
04415,City_04415,Maine,County_044,,
04420,City_04420,Maine,County_044,,
04425,City_04425,Maine,County_044,,
04430,City_04430,Maine,County_044,,
04435,City_04435,Maine,County_044,,
04440,City_04440,Maine,County_044,,
04445,City_04445,Maine,County_044,,
04450,City_04450,Maine,County_044,,
04455,City_04455,Maine,County_044,,
04460,City_04460,Maine,County_044,,
04465,City_04465,Maine,County_044,,
04470,City_04470,Maine,County_044,,
04475,City_04475,Maine,County_044,,
04480,City_04480,Maine,County_044,,
04485,City_04485,Maine,County_044,,
04490,City_04490,Maine,County_044,,
04495,City_04495,Maine,County_044,,
04500,City_04500,Maine,County_045,,
04505,City_04505,Maine,County_045,,
04510,City_04510,Maine,County_045,,
04515,City_04515,Maine,County_045,,
04520,City_04520,Maine,County_045,,
04525,City_04525,Maine,County_045,,
04530,City_04530,Maine,County_045,,
04535,City_04535,Maine,County_045,,
04540,City_04540,Maine,County_045,,
04545,City_04545,Maine,County_045,,
04550,City_04550,Maine,County_045,,
04555,City_04555,Maine,County_045,,
04560,City_04560,Maine,County_045,,
04565,City_04565,Maine,County_045,,
04570,City_04570,Maine,County_045,,
04575,City_04575,Maine,County_045,,
04580,City_04580,Maine,County_045,,
04585,City_04585,Maine,County_045,,
04590,City_04590,Maine,County_045,,
04595,City_04595,Maine,County_045,,
04600,City_04600,Maine,County_046,,
04605,City_04605,Maine,County_046,,
04610,City_04610,Maine,County_046,,
04615,City_04615,Maine,County_046,,
04620,City_04620,Maine,County_046,,
04625,City_04625,Maine,County_046,,
04630,City_04630,Maine,County_046,,
04635,City_04635,Maine,County_046,,
04640,City_04640,Maine,County_046,,
04645,City_04645,Maine,County_046,,
04650,City_04650,Maine,County_046,,
04655,City_04655,Maine,County_046,,
04660,City_04660,Maine,County_046,,
04665,City_04665,Maine,County_046,,
04670,City_04670,Maine,County_046,,
04675,City_04675,Maine,County_046,,
04680,City_04680,Maine,County_046,,
04685,City_04685,Maine,County_046,,
04690,City_04690,Maine,County_046,,
04695,City_04695,Maine,County_046,,
04700,City_04700,Maine,County_047,,
04705,City_04705,Maine,County_047,,
04710,City_04710,Maine,County_047,,
04715,City_04715,Maine,County_047,,
04720,City_04720,Maine,County_047,,
04725,City_04725,Maine,County_047,,
04730,City_04730,Maine,County_047,,
04735,City_04735,Maine,County_047,,
04740,City_04740,Maine,County_047,,
04745,City_04745,Maine,County_047,,
04750,City_04750,Maine,County_047,,
04755,City_04755,Maine,County_047,,
04760,City_04760,Maine,County_047,,
04765,City_04765,Maine,County_047,,
04770,City_04770,Maine,County_047,,
04775,City_04775,Maine,County_047,,
04780,City_04780,Maine,County_047,,
04785,City_04785,Maine,County_047,,
04790,City_04790,Maine,County_047,,
04795,City_04795,Maine,County_047,,
04800,City_04800,Maine,County_048,,
04805,City_04805,Maine,County_048,,
04810,City_04810,Maine,County_048,,
04815,City_04815,Maine,County_048,,
04820,City_04820,Maine,County_048,,
04825,City_04825,Maine,County_048,,
04830,City_04830,Maine,County_048,,
04835,City_04835,Maine,County_048,,
04840,City_04840,Maine,County_048,,
04845,City_04845,Maine,County_048,,
04850,City_04850,Maine,County_048,,
04855,City_04855,Maine,County_048,,
04860,City_04860,Maine,County_048,,
04865,City_04865,Maine,County_048,,
04870,City_04870,Maine,County_048,,
04875,City_04875,Maine,County_048,,
04880,City_04880,Maine,County_048,,
04885,City_04885,Maine,County_048,,
04890,City_04890,Maine,County_048,,
04895,City_04895,Maine,County_048,,
04900,City_04900,Maine,County_049,,
04905,City_04905,Maine,County_049,,
04910,City_04910,Maine,County_049,,
04915,City_04915,Maine,County_049,,
04920,City_04920,Maine,County_049,,
04925,City_04925,Maine,County_049,,
04930,City_04930,Maine,County_049,,
04935,City_04935,Maine,County_049,,
04940,City_04940,Maine,County_049,,
04945,City_04945,Maine,County_049,,
04950,City_04950,Maine,County_049,,
04955,City_04955,Maine,County_049,,
04960,City_04960,Maine,County_049,,
04965,City_04965,Maine,County_049,,
04970,City_04970,Maine,County_049,,
04975,City_04975,Maine,County_049,,
04980,City_04980,Maine,County_049,,
04985,City_04985,Maine,County_049,,
04990,City_04990,Maine,County_049,,
04995,City_04995,Maine,County_049,,
