zip_code,city,state,county,latitude,longitude
20600,City_20600,Maryland,County_206,,
20605,City_20605,Maryland,County_206,,
20610,City_20610,Maryland,County_206,,
20615,City_20615,Maryland,County_206,,
20620,City_20620,Maryland,County_206,,
20625,City_20625,Maryland,County_206,,
20630,City_20630,Maryland,County_206,,
20635,City_20635,Maryland,County_206,,
20640,City_20640,Maryland,County_206,,
20645,City_20645,Maryland,County_206,,
20650,City_20650,Maryland,County_206,,
20655,City_20655,Maryland,County_206,,
20660,City_20660,Maryland,County_206,,
20665,City_20665,Maryland,County_206,,
20670,City_20670,Maryland,County_206,,
20675,City_20675,Maryland,County_206,,
20680,City_20680,Maryland,County_206,,
20685,City_20685,Maryland,County_206,,
20690,City_20690,Maryland,County_206,,
20695,City_20695,Maryland,County_206,,
20700,City_20700,Maryland,County_207,,
20705,City_20705,Maryland,County_207,,
20710,City_20710,Maryland,County_207,,
20715,City_20715,Maryland,County_207,,
20720,City_20720,Maryland,County_207,,
20725,City_20725,Maryland,County_207,,
20730,City_20730,Maryland,County_207,,
20735,City_20735,Maryland,County_207,,
20740,City_20740,Maryland,County_207,,
20745,City_20745,Maryland,County_207,,
20750,City_20750,Maryland,County_207,,
20755,City_20755,Maryland,County_207,,
20760,City_20760,Maryland,County_207,,
20765,City_20765,Maryland,County_207,,
20770,City_20770,Maryland,County_207,,
20775,City_20775,Maryland,County_207,,
20780,City_20780,Maryland,County_207,,
20785,City_20785,Maryland,County_207,,
20790,City_20790,Maryland,County_207,,
20795,City_20795,Maryland,County_207,,
20800,City_20800,Maryland,County_208,,
20805,City_20805,Maryland,County_208,,
20810,City_20810,Maryland,County_208,,
20815,City_20815,Maryland,County_208,,
20820,City_20820,Maryland,County_208,,
20825,City_20825,Maryland,County_208,,
20830,City_20830,Maryland,County_208,,
20835,City_20835,Maryland,County_208,,
20840,City_20840,Maryland,County_208,,
20845,City_20845,Maryland,County_208,,
20850,City_20850,Maryland,County_208,,
20855,City_20855,Maryland,County_208,,
20860,City_20860,Maryland,County_208,,
20865,City_20865,Maryland,County_208,,
20870,City_20870,Maryland,County_208,,
20875,City_20875,Maryland,County_208,,
20880,City_20880,Maryland,County_208,,
20885,City_20885,Maryland,County_208,,
20890,City_20890,Maryland,County_208,,
20895,City_20895,Maryland,County_208,,
20900,City_20900,Maryland,County_209,,
20905,City_20905,Maryland,County_209,,
20910,City_20910,Maryland,County_209,,
20915,City_20915,Maryland,County_209,,
20920,City_20920,Maryland,County_209,,
20925,City_20925,Maryland,County_209,,
20930,City_20930,Maryland,County_209,,
20935,City_20935,Maryland,County_209,,
20940,City_20940,Maryland,County_209,,
20945,City_20945,Maryland,County_209,,
20950,City_20950,Maryland,County_209,,
20955,City_20955,Maryland,County_209,,
20960,City_20960,Maryland,County_209,,
20965,City_20965,Maryland,County_209,,
20970,City_20970,Maryland,County_209,,
20975,City_20975,Maryland,County_209,,
20980,City_20980,Maryland,County_209,,
20985,City_20985,Maryland,County_209,,
20990,City_20990,Maryland,County_209,,
20995,City_20995,Maryland,County_209,,
21000,City_21000,Maryland,County_210,,
21005,City_21005,Maryland,County_210,,
21010,City_21010,Maryland,County_210,,
21015,City_21015,Maryland,County_210,,
21020,City_21020,Maryland,County_210,,
21025,City_21025,Maryland,County_210,,
21030,City_21030,Maryland,County_210,,
21035,City_21035,Maryland,County_210,,
21040,City_21040,Maryland,County_210,,
21045,City_21045,Maryland,County_210,,
21050,City_21050,Maryland,County_210,,
21055,City_21055,Maryland,County_210,,
21060,City_21060,Maryland,County_210,,
21065,City_21065,Maryland,County_210,,
21070,City_21070,Maryland,County_210,,
21075,City_21075,Maryland,County_210,,
21080,City_21080,Maryland,County_210,,
21085,City_21085,Maryland,County_210,,
21090,City_21090,Maryland,County_210,,
21095,City_21095,Maryland,County_210,,
21100,City_21100,Maryland,County_211,,
21105,City_21105,Maryland,County_211,,
21110,City_21110,Maryland,County_211,,
21115,City_21115,Maryland,County_211,,
21120,City_21120,Maryland,County_211,,
21125,City_21125,Maryland,County_211,,
21130,City_21130,Maryland,County_211,,
21135,City_21135,Maryland,County_211,,
21140,City_21140,Maryland,County_211,,
21145,City_21145,Maryland,County_211,,
21150,City_21150,Maryland,County_211,,
21155,City_21155,Maryland,County_211,,
21160,City_21160,Maryland,County_211,,
21165,City_21165,Maryland,County_211,,
21170,City_21170,Maryland,County_211,,
21175,City_21175,Maryland,County_211,,
21180,City_21180,Maryland,County_211,,
21185,City_21185,Maryland,County_211,,
21190,City_21190,Maryland,County_211,,
21195,City_21195,Maryland,County_211,,
21200,City_21200,Maryland,County_212,,
21205,City_21205,Maryland,County_212,,
21210,City_21210,Maryland,County_212,,
21215,City_21215,Maryland,County_212,,
21220,City_21220,Maryland,County_212,,
21225,City_21225,Maryland,County_212,,
21230,City_21230,Maryland,County_212,,
21235,City_21235,Maryland,County_212,,
21240,City_21240,Maryland,County_212,,
21245,City_21245,Maryland,County_212,,
21250,City_21250,Maryland,County_212,,
21255,City_21255,Maryland,County_212,,
21260,City_21260,Maryland,County_212,,
21265,City_21265,Maryland,County_212,,
21270,City_21270,Maryland,County_212,,
21275,City_21275,Maryland,County_212,,
21280,City_21280,Maryland,County_212,,
21285,City_21285,Maryland,County_212,,
21290,City_21290,Maryland,County_212,,
21295,City_21295,Maryland,County_212,,
21300,City_21300,Maryland,County_213,,
21305,City_21305,Maryland,County_213,,
