zip_code,city,state,county,latitude,longitude
01000,City_01000,Massachusetts,County_010,,
01005,City_01005,Massachusetts,County_010,,
01010,City_01010,Massachusetts,County_010,,
01015,City_01015,Massachusetts,County_010,,
01020,City_01020,Massachusetts,County_010,,
01025,City_01025,Massachusetts,County_010,,
01030,City_01030,Massachusetts,County_010,,
01035,City_01035,Massachusetts,County_010,,
01040,City_01040,Massachusetts,County_010,,
01045,City_01045,Massachusetts,County_010,,
01050,City_01050,Massachusetts,County_010,,
01055,City_01055,Massachusetts,County_010,,
01060,City_01060,Massachusetts,County_010,,
01065,City_01065,Massachusetts,County_010,,
01070,City_01070,Massachusetts,County_010,,
01075,City_01075,Massachusetts,County_010,,
01080,City_01080,Massachusetts,County_010,,
01085,City_01085,Massachusetts,County_010,,
01090,City_01090,Massachusetts,County_010,,
01095,City_01095,Massachusetts,County_010,,
01100,City_01100,Massachusetts,County_011,,
01105,City_01105,Massachusetts,County_011,,
01110,City_01110,Massachusetts,County_011,,
01115,City_01115,Massachusetts,County_011,,
01120,City_01120,Massachusetts,County_011,,
01125,City_01125,Massachusetts,County_011,,
01130,City_01130,Massachusetts,County_011,,
01135,City_01135,Massachusetts,County_011,,
01140,City_01140,Massachusetts,County_011,,
01145,City_01145,Massachusetts,County_011,,
01150,City_01150,Massachusetts,County_011,,
01155,City_01155,Massachusetts,County_011,,
01160,City_01160,Massachusetts,County_011,,
01165,City_01165,Massachusetts,County_011,,
01170,City_01170,Massachusetts,County_011,,
01175,City_01175,Massachusetts,County_011,,
01180,City_01180,Massachusetts,County_011,,
01185,City_01185,Massachusetts,County_011,,
01190,City_01190,Massachusetts,County_011,,
01195,City_01195,Massachusetts,County_011,,
01200,City_01200,Massachusetts,County_012,,
01205,City_01205,Massachusetts,County_012,,
01210,City_01210,Massachusetts,County_012,,
01215,City_01215,Massachusetts,County_012,,
01220,City_01220,Massachusetts,County_012,,
01225,City_01225,Massachusetts,County_012,,
01230,City_01230,Massachusetts,County_012,,
01235,City_01235,Massachusetts,County_012,,
01240,City_01240,Massachusetts,County_012,,
01245,City_01245,Massachusetts,County_012,,
01250,City_01250,Massachusetts,County_012,,
01255,City_01255,Massachusetts,County_012,,
01260,City_01260,Massachusetts,County_012,,
01265,City_01265,Massachusetts,County_012,,
01270,City_01270,Massachusetts,County_012,,
01275,City_01275,Massachusetts,County_012,,
01280,City_01280,Massachusetts,County_012,,
01285,City_01285,Massachusetts,County_012,,
01290,City_01290,Massachusetts,County_012,,
01295,City_01295,Massachusetts,County_012,,
01300,City_01300,Massachusetts,County_013,,
01305,City_01305,Massachusetts,County_013,,
01310,City_01310,Massachusetts,County_013,,
01315,City_01315,Massachusetts,County_013,,
01320,City_01320,Massachusetts,County_013,,
01325,City_01325,Massachusetts,County_013,,
01330,City_01330,Massachusetts,County_013,,
01335,City_01335,Massachusetts,County_013,,
01340,City_01340,Massachusetts,County_013,,
01345,City_01345,Massachusetts,County_013,,
01350,City_01350,Massachusetts,County_013,,
01355,City_01355,Massachusetts,County_013,,
01360,City_01360,Massachusetts,County_013,,
01365,City_01365,Massachusetts,County_013,,
01370,City_01370,Massachusetts,County_013,,
01375,City_01375,Massachusetts,County_013,,
01380,City_01380,Massachusetts,County_013,,
01385,City_01385,Massachusetts,County_013,,
01390,City_01390,Massachusetts,County_013,,
01395,City_01395,Massachusetts,County_013,,
01400,City_01400,Massachusetts,County_014,,
01405,City_01405,Massachusetts,County_014,,
01410,City_01410,Massachusetts,County_014,,
01415,City_01415,Massachusetts,County_014,,
01420,City_01420,Massachusetts,County_014,,
01425,City_01425,Massachusetts,County_014,,
