zip_code,city,state,county,latitude,longitude
48000,City_48000,Michigan,County_480,,
48005,City_48005,Michigan,County_480,,
48010,City_48010,Michigan,County_480,,
48015,City_48015,Michigan,County_480,,
48020,City_48020,Michigan,County_480,,
48025,City_48025,Michigan,County_480,,
48030,City_48030,Michigan,County_480,,
48035,City_48035,Michigan,County_480,,
48040,City_48040,Michigan,County_480,,
48045,City_48045,Michigan,County_480,,
48050,City_48050,Michigan,County_480,,
48055,City_48055,Michigan,County_480,,
48060,City_48060,Michigan,County_480,,
48065,City_48065,Michigan,County_480,,
48070,City_48070,Michigan,County_480,,
48075,City_48075,Michigan,County_480,,
48080,City_48080,Michigan,County_480,,
48085,City_48085,Michigan,County_480,,
48090,City_48090,Michigan,County_480,,
48095,City_48095,Michigan,County_480,,
48100,City_48100,Michigan,County_481,,
48105,City_48105,Michigan,County_481,,
48110,City_48110,Michigan,County_481,,
48115,City_48115,Michigan,County_481,,
48120,City_48120,Michigan,County_481,,
48125,City_48125,Michigan,County_481,,
48130,City_48130,Michigan,County_481,,
48135,City_48135,Michigan,County_481,,
48140,City_48140,Michigan,County_481,,
48145,City_48145,Michigan,County_481,,
48150,City_48150,Michigan,County_481,,
48155,City_48155,Michigan,County_481,,
48160,City_48160,Michigan,County_481,,
48165,City_48165,Michigan,County_481,,
48170,City_48170,Michigan,County_481,,
48175,City_48175,Michigan,County_481,,
48180,City_48180,Michigan,County_481,,
48185,City_48185,Michigan,County_481,,
48190,City_48190,Michigan,County_481,,
48195,City_48195,Michigan,County_481,,
48200,City_48200,Michigan,County_482,,
48205,City_48205,Michigan,County_482,,
48210,City_48210,Michigan,County_482,,
48215,City_48215,Michigan,County_482,,
48220,City_48220,Michigan,County_482,,
48225,City_48225,Michigan,County_482,,
48230,City_48230,Michigan,County_482,,
48235,City_48235,Michigan,County_482,,
48240,City_48240,Michigan,County_482,,
48245,City_48245,Michigan,County_482,,
48250,City_48250,Michigan,County_482,,
48255,City_48255,Michigan,County_482,,
48260,City_48260,Michigan,County_482,,
48265,City_48265,Michigan,County_482,,
48270,City_48270,Michigan,County_482,,
48275,City_48275,Michigan,County_482,,
48280,City_48280,Michigan,County_482,,
48285,City_48285,Michigan,County_482,,
48290,City_48290,Michigan,County_482,,
48295,City_48295,Michigan,County_482,,
48300,City_48300,Michigan,County_483,,
48305,City_48305,Michigan,County_483,,
48310,City_48310,Michigan,County_483,,
48315,City_48315,Michigan,County_483,,
48320,City_48320,Michigan,County_483,,
48325,City_48325,Michigan,County_483,,
48330,City_48330,Michigan,County_483,,
48335,City_48335,Michigan,County_483,,
48340,City_48340,Michigan,County_483,,
48345,City_48345,Michigan,County_483,,
48350,City_48350,Michigan,County_483,,
48355,City_48355,Michigan,County_483,,
48360,City_48360,Michigan,County_483,,
48365,City_48365,Michigan,County_483,,
48370,City_48370,Michigan,County_483,,
48375,City_48375,Michigan,County_483,,
48380,City_48380,Michigan,County_483,,
48385,City_48385,Michigan,County_483,,
48390,City_48390,Michigan,County_483,,
48395,City_48395,Michigan,County_483,,
48400,City_48400,Michigan,County_484,,
48405,City_48405,Michigan,County_484,,
48410,City_48410,Michigan,County_484,,
48415,City_48415,Michigan,County_484,,
48420,City_48420,Michigan,County_484,,
48425,City_48425,Michigan,County_484,,
48430,City_48430,Michigan,County_484,,
48435,City_48435,Michigan,County_484,,
48440,City_48440,Michigan,County_484,,
48445,City_48445,Michigan,County_484,,
48450,City_48450,Michigan,County_484,,
48455,City_48455,Michigan,County_484,,
48460,City_48460,Michigan,County_484,,
48465,City_48465,Michigan,County_484,,
48470,City_48470,Michigan,County_484,,
48475,City_48475,Michigan,County_484,,
48480,City_48480,Michigan,County_484,,
48485,City_48485,Michigan,County_484,,
48490,City_48490,Michigan,County_484,,
48495,City_48495,Michigan,County_484,,
48500,City_48500,Michigan,County_485,,
48505,City_48505,Michigan,County_485,,
48510,City_48510,Michigan,County_485,,
48515,City_48515,Michigan,County_485,,
48520,City_48520,Michigan,County_485,,
48525,City_48525,Michigan,County_485,,
48530,City_48530,Michigan,County_485,,
48535,City_48535,Michigan,County_485,,
48540,City_48540,Michigan,County_485,,
48545,City_48545,Michigan,County_485,,
48550,City_48550,Michigan,County_485,,
48555,City_48555,Michigan,County_485,,
48560,City_48560,Michigan,County_485,,
48565,City_48565,Michigan,County_485,,
48570,City_48570,Michigan,County_485,,
48575,City_48575,Michigan,County_485,,
48580,City_48580,Michigan,County_485,,
48585,City_48585,Michigan,County_485,,
48590,City_48590,Michigan,County_485,,
48595,City_48595,Michigan,County_485,,
48600,City_48600,Michigan,County_486,,
48605,City_48605,Michigan,County_486,,
48610,City_48610,Michigan,County_486,,
48615,City_48615,Michigan,County_486,,
48620,City_48620,Michigan,County_486,,
48625,City_48625,Michigan,County_486,,
48630,City_48630,Michigan,County_486,,
48635,City_48635,Michigan,County_486,,
48640,City_48640,Michigan,County_486,,
48645,City_48645,Michigan,County_486,,
48650,City_48650,Michigan,County_486,,
48655,City_48655,Michigan,County_486,,
48660,City_48660,Michigan,County_486,,
48665,City_48665,Michigan,County_486,,
48670,City_48670,Michigan,County_486,,
48675,City_48675,Michigan,County_486,,
48680,City_48680,Michigan,County_486,,
48685,City_48685,Michigan,County_486,,
48690,City_48690,Michigan,County_486,,
48695,City_48695,Michigan,County_486,,
48700,City_48700,Michigan,County_487,,
48705,City_48705,Michigan,County_487,,
48710,City_48710,Michigan,County_487,,
48715,City_48715,Michigan,County_487,,
48720,City_48720,Michigan,County_487,,
48725,City_48725,Michigan,County_487,,
48730,City_48730,Michigan,County_487,,
48735,City_48735,Michigan,County_487,,
48740,City_48740,Michigan,County_487,,
48745,City_48745,Michigan,County_487,,
48750,City_48750,Michigan,County_487,,
48755,City_48755,Michigan,County_487,,
48760,City_48760,Michigan,County_487,,
48765,City_48765,Michigan,County_487,,
48770,City_48770,Michigan,County_487,,
48775,City_48775,Michigan,County_487,,
48780,City_48780,Michigan,County_487,,
48785,City_48785,Michigan,County_487,,
48790,City_48790,Michigan,County_487,,
48795,City_48795,Michigan,County_487,,
48800,City_48800,Michigan,County_488,,
48805,City_48805,Michigan,County_488,,
48810,City_48810,Michigan,County_488,,
48815,City_48815,Michigan,County_488,,
48820,City_48820,Michigan,County_488,,
48825,City_48825,Michigan,County_488,,
48830,City_48830,Michigan,County_488,,
48835,City_48835,Michigan,County_488,,
48840,City_48840,Michigan,County_488,,
48845,City_48845,Michigan,County_488,,
48850,City_48850,Michigan,County_488,,
48855,City_48855,Michigan,County_488,,
48860,City_48860,Michigan,County_488,,
48865,City_48865,Michigan,County_488,,
48870,City_48870,Michigan,County_488,,
48875,City_48875,Michigan,County_488,,
48880,City_48880,Michigan,County_488,,
48885,City_48885,Michigan,County_488,,
48890,City_48890,Michigan,County_488,,
48895,City_48895,Michigan,County_488,,
48900,City_48900,Michigan,County_489,,
48905,City_48905,Michigan,County_489,,
48910,City_48910,Michigan,County_489,,
48915,City_48915,Michigan,County_489,,
48920,City_48920,Michigan,County_489,,
48925,City_48925,Michigan,County_489,,
48930,City_48930,Michigan,County_489,,
48935,City_48935,Michigan,County_489,,
48940,City_48940,Michigan,County_489,,
48945,City_48945,Michigan,County_489,,
48950,City_48950,Michigan,County_489,,
48955,City_48955,Michigan,County_489,,
48960,City_48960,Michigan,County_489,,
48965,City_48965,Michigan,County_489,,
48970,City_48970,Michigan,County_489,,
48975,City_48975,Michigan,County_489,,
48980,City_48980,Michigan,County_489,,
48985,City_48985,Michigan,County_489,,
48990,City_48990,Michigan,County_489,,
48995,City_48995,Michigan,County_489,,
49000,City_49000,Michigan,County_490,,
49005,City_49005,Michigan,County_490,,
49010,City_49010,Michigan,County_490,,
49015,City_49015,Michigan,County_490,,
49020,City_49020,Michigan,County_490,,
49025,City_49025,Michigan,County_490,,
49030,City_49030,Michigan,County_490,,
49035,City_49035,Michigan,County_490,,
49040,City_49040,Michigan,County_490,,
49045,City_49045,Michigan,County_490,,
49050,City_49050,Michigan,County_490,,
49055,City_49055,Michigan,County_490,,
49060,City_49060,Michigan,County_490,,
49065,City_49065,Michigan,County_490,,
49070,City_49070,Michigan,County_490,,
49075,City_49075,Michigan,County_490,,
49080,City_49080,Michigan,County_490,,
49085,City_49085,Michigan,County_490,,
49090,City_49090,Michigan,County_490,,
49095,City_49095,Michigan,County_490,,
49100,City_49100,Michigan,County_491,,
49105,City_49105,Michigan,County_491,,
49110,City_49110,Michigan,County_491,,
49115,City_49115,Michigan,County_491,,
49120,City_49120,Michigan,County_491,,
49125,City_49125,Michigan,County_491,,
49130,City_49130,Michigan,County_491,,
49135,City_49135,Michigan,County_491,,
49140,City_49140,Michigan,County_491,,
49145,City_49145,Michigan,County_491,,
49150,City_49150,Michigan,County_491,,
49155,City_49155,Michigan,County_491,,
49160,City_49160,Michigan,County_491,,
49165,City_49165,Michigan,County_491,,
49170,City_49170,Michigan,County_491,,
49175,City_49175,Michigan,County_491,,
49180,City_49180,Michigan,County_491,,
49185,City_49185,Michigan,County_491,,
49190,City_49190,Michigan,County_491,,
49195,City_49195,Michigan,County_491,,
49200,City_49200,Michigan,County_492,,
49205,City_49205,Michigan,County_492,,
49210,City_49210,Michigan,County_492,,
49215,City_49215,Michigan,County_492,,
49220,City_49220,Michigan,County_492,,
49225,City_49225,Michigan,County_492,,
49230,City_49230,Michigan,County_492,,
49235,City_49235,Michigan,County_492,,
49240,City_49240,Michigan,County_492,,
49245,City_49245,Michigan,County_492,,
49250,City_49250,Michigan,County_492,,
49255,City_49255,Michigan,County_492,,
49260,City_49260,Michigan,County_492,,
49265,City_49265,Michigan,County_492,,
49270,City_49270,Michigan,County_492,,
49275,City_49275,Michigan,County_492,,
49280,City_49280,Michigan,County_492,,
49285,City_49285,Michigan,County_492,,
49290,City_49290,Michigan,County_492,,
49295,City_49295,Michigan,County_492,,
49300,City_49300,Michigan,County_493,,
49305,City_49305,Michigan,County_493,,
49310,City_49310,Michigan,County_493,,
49315,City_49315,Michigan,County_493,,
49320,City_49320,Michigan,County_493,,
49325,City_49325,Michigan,County_493,,
49330,City_49330,Michigan,County_493,,
49335,City_49335,Michigan,County_493,,
49340,City_49340,Michigan,County_493,,
49345,City_49345,Michigan,County_493,,
49350,City_49350,Michigan,County_493,,
49355,City_49355,Michigan,County_493,,
49360,City_49360,Michigan,County_493,,
49365,City_49365,Michigan,County_493,,
49370,City_49370,Michigan,County_493,,
49375,City_49375,Michigan,County_493,,
49380,City_49380,Michigan,County_493,,
49385,City_49385,Michigan,County_493,,
49390,City_49390,Michigan,County_493,,
49395,City_49395,Michigan,County_493,,
49400,City_49400,Michigan,County_494,,
49405,City_49405,Michigan,County_494,,
49410,City_49410,Michigan,County_494,,
49415,City_49415,Michigan,County_494,,
49420,City_49420,Michigan,County_494,,
49425,City_49425,Michigan,County_494,,
49430,City_49430,Michigan,County_494,,
49435,City_49435,Michigan,County_494,,
49440,City_49440,Michigan,County_494,,
49445,City_49445,Michigan,County_494,,
49450,City_49450,Michigan,County_494,,
49455,City_49455,Michigan,County_494,,
49460,City_49460,Michigan,County_494,,
49465,City_49465,Michigan,County_494,,
49470,City_49470,Michigan,County_494,,
49475,City_49475,Michigan,County_494,,
49480,City_49480,Michigan,County_494,,
49485,City_49485,Michigan,County_494,,
49490,City_49490,Michigan,County_494,,
49495,City_49495,Michigan,County_494,,
49500,City_49500,Michigan,County_495,,
49505,City_49505,Michigan,County_495,,
49510,City_49510,Michigan,County_495,,
49515,City_49515,Michigan,County_495,,
49520,City_49520,Michigan,County_495,,
49525,City_49525,Michigan,County_495,,
49530,City_49530,Michigan,County_495,,
49535,City_49535,Michigan,County_495,,
49540,City_49540,Michigan,County_495,,
49545,City_49545,Michigan,County_495,,
49550,City_49550,Michigan,County_495,,
49555,City_49555,Michigan,County_495,,
49560,City_49560,Michigan,County_495,,
49565,City_49565,Michigan,County_495,,
49570,City_49570,Michigan,County_495,,
49575,City_49575,Michigan,County_495,,
49580,City_49580,Michigan,County_495,,
49585,City_49585,Michigan,County_495,,
49590,City_49590,Michigan,County_495,,
49595,City_49595,Michigan,County_495,,
49600,City_49600,Michigan,County_496,,
49605,City_49605,Michigan,County_496,,
49610,City_49610,Michigan,County_496,,
49615,City_49615,Michigan,County_496,,
49620,City_49620,Michigan,County_496,,
49625,City_49625,Michigan,County_496,,
49630,City_49630,Michigan,County_496,,
49635,City_49635,Michigan,County_496,,
49640,City_49640,Michigan,County_496,,
49645,City_49645,Michigan,County_496,,
49650,City_49650,Michigan,County_496,,
49655,City_49655,Michigan,County_496,,
49660,City_49660,Michigan,County_496,,
49665,City_49665,Michigan,County_496,,
49670,City_49670,Michigan,County_496,,
49675,City_49675,Michigan,County_496,,
49680,City_49680,Michigan,County_496,,
49685,City_49685,Michigan,County_496,,
49690,City_49690,Michigan,County_496,,
49695,City_49695,Michigan,County_496,,
49700,City_49700,Michigan,County_497,,
49705,City_49705,Michigan,County_497,,
49710,City_49710,Michigan,County_497,,
49715,City_49715,Michigan,County_497,,
49720,City_49720,Michigan,County_497,,
49725,City_49725,Michigan,County_497,,
49730,City_49730,Michigan,County_497,,
49735,City_49735,Michigan,County_497,,
49740,City_49740,Michigan,County_497,,
49745,City_49745,Michigan,County_497,,
49750,City_49750,Michigan,County_497,,
49755,City_49755,Michigan,County_497,,
49760,City_49760,Michigan,County_497,,
49765,City_49765,Michigan,County_497,,
49770,City_49770,Michigan,County_497,,
49775,City_49775,Michigan,County_497,,
49780,City_49780,Michigan,County_497,,
49785,City_49785,Michigan,County_497,,
49790,City_49790,Michigan,County_497,,
49795,City_49795,Michigan,County_497,,
49800,City_49800,Michigan,County_498,,
49805,City_49805,Michigan,County_498,,
49810,City_49810,Michigan,County_498,,
49815,City_49815,Michigan,County_498,,
49820,City_49820,Michigan,County_498,,
49825,City_49825,Michigan,County_498,,
49830,City_49830,Michigan,County_498,,
49835,City_49835,Michigan,County_498,,
49840,City_49840,Michigan,County_498,,
49845,City_49845,Michigan,County_498,,
49850,City_49850,Michigan,County_498,,
49855,City_49855,Michigan,County_498,,
49860,City_49860,Michigan,County_498,,
49865,City_49865,Michigan,County_498,,
49870,City_49870,Michigan,County_498,,
