zip_code,city,state,county,latitude,longitude
55000,City_55000,Minnesota,County_550,,
55005,City_55005,Minnesota,County_550,,
55010,City_55010,Minnesota,County_550,,
55015,City_55015,Minnesota,County_550,,
55020,City_55020,Minnesota,County_550,,
55025,City_55025,Minnesota,County_550,,
55030,City_55030,Minnesota,County_550,,
55035,City_55035,Minnesota,County_550,,
55040,City_55040,Minnesota,County_550,,
55045,City_55045,Minnesota,County_550,,
55050,City_55050,Minnesota,County_550,,
55055,City_55055,Minnesota,County_550,,
55060,City_55060,Minnesota,County_550,,
55065,City_55065,Minnesota,County_550,,
55070,City_55070,Minnesota,County_550,,
55075,City_55075,Minnesota,County_550,,
55080,City_55080,Minnesota,County_550,,
55085,City_55085,Minnesota,County_550,,
55090,City_55090,Minnesota,County_550,,
55095,City_55095,Minnesota,County_550,,
55100,City_55100,Minnesota,County_551,,
55105,City_55105,Minnesota,County_551,,
55110,City_55110,Minnesota,County_551,,
55115,City_55115,Minnesota,County_551,,
55120,City_55120,Minnesota,County_551,,
55125,City_55125,Minnesota,County_551,,
55130,City_55130,Minnesota,County_551,,
55135,City_55135,Minnesota,County_551,,
55140,City_55140,Minnesota,County_551,,
55145,City_55145,Minnesota,County_551,,
55150,City_55150,Minnesota,County_551,,
55155,City_55155,Minnesota,County_551,,
55160,City_55160,Minnesota,County_551,,
55165,City_55165,Minnesota,County_551,,
55170,City_55170,Minnesota,County_551,,
55175,City_55175,Minnesota,County_551,,
55180,City_55180,Minnesota,County_551,,
55185,City_55185,Minnesota,County_551,,
55190,City_55190,Minnesota,County_551,,
55195,City_55195,Minnesota,County_551,,
55200,City_55200,Minnesota,County_552,,
55205,City_55205,Minnesota,County_552,,
55210,City_55210,Minnesota,County_552,,
55215,City_55215,Minnesota,County_552,,
55220,City_55220,Minnesota,County_552,,
55225,City_55225,Minnesota,County_552,,
55230,City_55230,Minnesota,County_552,,
55235,City_55235,Minnesota,County_552,,
55240,City_55240,Minnesota,County_552,,
55245,City_55245,Minnesota,County_552,,
55250,City_55250,Minnesota,County_552,,
55255,City_55255,Minnesota,County_552,,
55260,City_55260,Minnesota,County_552,,
55265,City_55265,Minnesota,County_552,,
55270,City_55270,Minnesota,County_552,,
55275,City_55275,Minnesota,County_552,,
55280,City_55280,Minnesota,County_552,,
55285,City_55285,Minnesota,County_552,,
55290,City_55290,Minnesota,County_552,,
55295,City_55295,Minnesota,County_552,,
55300,City_55300,Minnesota,County_553,,
55305,City_55305,Minnesota,County_553,,
55310,City_55310,Minnesota,County_553,,
55315,City_55315,Minnesota,County_553,,
55320,City_55320,Minnesota,County_553,,
55325,City_55325,Minnesota,County_553,,
55330,City_55330,Minnesota,County_553,,
55335,City_55335,Minnesota,County_553,,
55340,City_55340,Minnesota,County_553,,
55345,City_55345,Minnesota,County_553,,
55350,City_55350,Minnesota,County_553,,
55355,City_55355,Minnesota,County_553,,
55360,City_55360,Minnesota,County_553,,
55365,City_55365,Minnesota,County_553,,
