zip_code,city,state,county,latitude,longitude
38600,City_38600,Mississippi,County_386,,
38605,City_38605,Mississippi,County_386,,
38610,City_38610,Mississippi,County_386,,
38615,City_38615,Mississippi,County_386,,
38620,City_38620,Mississippi,County_386,,
38625,City_38625,Mississippi,County_386,,
38630,City_38630,Mississippi,County_386,,
38635,City_38635,Mississippi,County_386,,
38640,City_38640,Mississippi,County_386,,
38645,City_38645,Mississippi,County_386,,
38650,City_38650,Mississippi,County_386,,
38655,City_38655,Mississippi,County_386,,
38660,City_38660,Mississippi,County_386,,
38665,City_38665,Mississippi,County_386,,
38670,City_38670,Mississippi,County_386,,
38675,City_38675,Mississippi,County_386,,
38680,City_38680,Mississippi,County_386,,
38685,City_38685,Mississippi,County_386,,
38690,City_38690,Mississippi,County_386,,
38695,City_38695,Mississippi,County_386,,
38700,City_38700,Mississippi,County_387,,
38705,City_38705,Mississippi,County_387,,
38710,City_38710,Mississippi,County_387,,
38715,City_38715,Mississippi,County_387,,
38720,City_38720,Mississippi,County_387,,
38725,City_38725,Mississippi,County_387,,
38730,City_38730,Mississippi,County_387,,
38735,City_38735,Mississippi,County_387,,
38740,City_38740,Mississippi,County_387,,
38745,City_38745,Mississippi,County_387,,
38750,City_38750,Mississippi,County_387,,
38755,City_38755,Mississippi,County_387,,
38760,City_38760,Mississippi,County_387,,
38765,City_38765,Mississippi,County_387,,
38770,City_38770,Mississippi,County_387,,
38775,City_38775,Mississippi,County_387,,
38780,City_38780,Mississippi,County_387,,
38785,City_38785,Mississippi,County_387,,
38790,City_38790,Mississippi,County_387,,
38795,City_38795,Mississippi,County_387,,
38800,City_38800,Mississippi,County_388,,
38805,City_38805,Mississippi,County_388,,
38810,City_38810,Mississippi,County_388,,
38815,City_38815,Mississippi,County_388,,
38820,City_38820,Mississippi,County_388,,
38825,City_38825,Mississippi,County_388,,
38830,City_38830,Mississippi,County_388,,
38835,City_38835,Mississippi,County_388,,
38840,City_38840,Mississippi,County_388,,
38845,City_38845,Mississippi,County_388,,
38850,City_38850,Mississippi,County_388,,
38855,City_38855,Mississippi,County_388,,
38860,City_38860,Mississippi,County_388,,
38865,City_38865,Mississippi,County_388,,
38870,City_38870,Mississippi,County_388,,
38875,City_38875,Mississippi,County_388,,
38880,City_38880,Mississippi,County_388,,
38885,City_38885,Mississippi,County_388,,
38890,City_38890,Mississippi,County_388,,
38895,City_38895,Mississippi,County_388,,
38900,City_38900,Mississippi,County_389,,
38905,City_38905,Mississippi,County_389,,
38910,City_38910,Mississippi,County_389,,
38915,City_38915,Mississippi,County_389,,
38920,City_38920,Mississippi,County_389,,
38925,City_38925,Mississippi,County_389,,
38930,City_38930,Mississippi,County_389,,
38935,City_38935,Mississippi,County_389,,
38940,City_38940,Mississippi,County_389,,
38945,City_38945,Mississippi,County_389,,
38950,City_38950,Mississippi,County_389,,
38955,City_38955,Mississippi,County_389,,
38960,City_38960,Mississippi,County_389,,
38965,City_38965,Mississippi,County_389,,
38970,City_38970,Mississippi,County_389,,
38975,City_38975,Mississippi,County_389,,
38980,City_38980,Mississippi,County_389,,
38985,City_38985,Mississippi,County_389,,
38990,City_38990,Mississippi,County_389,,
38995,City_38995,Mississippi,County_389,,
