zip_code,city,state,county,latitude,longitude
63000,City_63000,Missouri,County_630,,
63005,City_63005,Missouri,County_630,,
63010,City_63010,Missouri,County_630,,
63015,City_63015,Missouri,County_630,,
63020,City_63020,Missouri,County_630,,
63025,City_63025,Missouri,County_630,,
63030,City_63030,Missouri,County_630,,
63035,City_63035,Missouri,County_630,,
63040,City_63040,Missouri,County_630,,
63045,City_63045,Missouri,County_630,,
63050,City_63050,Missouri,County_630,,
63055,City_63055,Missouri,County_630,,
63060,City_63060,Missouri,County_630,,
63065,City_63065,Missouri,County_630,,
63070,City_63070,Missouri,County_630,,
63075,City_63075,Missouri,County_630,,
63080,City_63080,Missouri,County_630,,
63085,City_63085,Missouri,County_630,,
63090,City_63090,Missouri,County_630,,
63095,City_63095,Missouri,County_630,,
63100,City_63100,Missouri,County_631,,
63105,City_63105,Missouri,County_631,,
63110,City_63110,Missouri,County_631,,
63115,City_63115,Missouri,County_631,,
63120,City_63120,Missouri,County_631,,
63125,City_63125,Missouri,County_631,,
63130,City_63130,Missouri,County_631,,
63135,City_63135,Missouri,County_631,,
63140,City_63140,Missouri,County_631,,
63145,City_63145,Missouri,County_631,,
63150,City_63150,Missouri,County_631,,
63155,City_63155,Missouri,County_631,,
63160,City_63160,Missouri,County_631,,
63165,City_63165,Missouri,County_631,,
63170,City_63170,Missouri,County_631,,
63175,City_63175,Missouri,County_631,,
63180,City_63180,Missouri,County_631,,
63185,City_63185,Missouri,County_631,,
63190,City_63190,Missouri,County_631,,
63195,City_63195,Missouri,County_631,,
63200,City_63200,Missouri,County_632,,
63205,City_63205,Missouri,County_632,,
63210,City_63210,Missouri,County_632,,
63215,City_63215,Missouri,County_632,,
63220,City_63220,Missouri,County_632,,
63225,City_63225,Missouri,County_632,,
63230,City_63230,Missouri,County_632,,
63235,City_63235,Missouri,County_632,,
63240,City_63240,Missouri,County_632,,
63245,City_63245,Missouri,County_632,,
63250,City_63250,Missouri,County_632,,
63255,City_63255,Missouri,County_632,,
63260,City_63260,Missouri,County_632,,
63265,City_63265,Missouri,County_632,,
63270,City_63270,Missouri,County_632,,
63275,City_63275,Missouri,County_632,,
63280,City_63280,Missouri,County_632,,
63285,City_63285,Missouri,County_632,,
63290,City_63290,Missouri,County_632,,
63295,City_63295,Missouri,County_632,,
63300,City_63300,Missouri,County_633,,
63305,City_63305,Missouri,County_633,,
63310,City_63310,Missouri,County_633,,
63315,City_63315,Missouri,County_633,,
63320,City_63320,Missouri,County_633,,
63325,City_63325,Missouri,County_633,,
63330,City_63330,Missouri,County_633,,
63335,City_63335,Missouri,County_633,,
63340,City_63340,Missouri,County_633,,
63345,City_63345,Missouri,County_633,,
63350,City_63350,Missouri,County_633,,
63355,City_63355,Missouri,County_633,,
63360,City_63360,Missouri,County_633,,
63365,City_63365,Missouri,County_633,,
63370,City_63370,Missouri,County_633,,
63375,City_63375,Missouri,County_633,,
63380,City_63380,Missouri,County_633,,
63385,City_63385,Missouri,County_633,,
63390,City_63390,Missouri,County_633,,
63395,City_63395,Missouri,County_633,,
63400,City_63400,Missouri,County_634,,
63405,City_63405,Missouri,County_634,,
63410,City_63410,Missouri,County_634,,
63415,City_63415,Missouri,County_634,,
63420,City_63420,Missouri,County_634,,
63425,City_63425,Missouri,County_634,,
63430,City_63430,Missouri,County_634,,
63435,City_63435,Missouri,County_634,,
63440,City_63440,Missouri,County_634,,
63445,City_63445,Missouri,County_634,,
63450,City_63450,Missouri,County_634,,
63455,City_63455,Missouri,County_634,,
63460,City_63460,Missouri,County_634,,
63465,City_63465,Missouri,County_634,,
63470,City_63470,Missouri,County_634,,
63475,City_63475,Missouri,County_634,,
63480,City_63480,Missouri,County_634,,
63485,City_63485,Missouri,County_634,,
63490,City_63490,Missouri,County_634,,
63495,City_63495,Missouri,County_634,,
63500,City_63500,Missouri,County_635,,
63505,City_63505,Missouri,County_635,,
63510,City_63510,Missouri,County_635,,
63515,City_63515,Missouri,County_635,,
63520,City_63520,Missouri,County_635,,
63525,City_63525,Missouri,County_635,,
63530,City_63530,Missouri,County_635,,
63535,City_63535,Missouri,County_635,,
63540,City_63540,Missouri,County_635,,
63545,City_63545,Missouri,County_635,,
63550,City_63550,Missouri,County_635,,
63555,City_63555,Missouri,County_635,,
63560,City_63560,Missouri,County_635,,
63565,City_63565,Missouri,County_635,,
63570,City_63570,Missouri,County_635,,
63575,City_63575,Missouri,County_635,,
63580,City_63580,Missouri,County_635,,
63585,City_63585,Missouri,County_635,,
63590,City_63590,Missouri,County_635,,
63595,City_63595,Missouri,County_635,,
63600,City_63600,Missouri,County_636,,
