zip_code,city,state,county,latitude,longitude
59000,City_59000,Montana,County_590,,
59005,City_59005,Montana,County_590,,
59010,City_59010,Montana,County_590,,
59015,City_59015,Montana,County_590,,
59020,City_59020,Montana,County_590,,
59025,City_59025,Montana,County_590,,
59030,City_59030,Montana,County_590,,
59035,City_59035,Montana,County_590,,
59040,City_59040,Montana,County_590,,
59045,City_59045,Montana,County_590,,
59050,City_59050,Montana,County_590,,
59055,City_59055,Montana,County_590,,
59060,City_59060,Montana,County_590,,
59065,City_59065,Montana,County_590,,
59070,City_59070,Montana,County_590,,
59075,City_59075,Montana,County_590,,
59080,City_59080,Montana,County_590,,
59085,City_59085,Montana,County_590,,
59090,City_59090,Montana,County_590,,
59095,City_59095,Montana,County_590,,
59100,City_59100,Montana,County_591,,
59105,City_59105,Montana,County_591,,
59110,City_59110,Montana,County_591,,
59115,City_59115,Montana,County_591,,
59120,City_59120,Montana,County_591,,
59125,City_59125,Montana,County_591,,
59130,City_59130,Montana,County_591,,
59135,City_59135,Montana,County_591,,
59140,City_59140,Montana,County_591,,
59145,City_59145,Montana,County_591,,
59150,City_59150,Montana,County_591,,
59155,City_59155,Montana,County_591,,
59160,City_59160,Montana,County_591,,
59165,City_59165,Montana,County_591,,
59170,City_59170,Montana,County_591,,
59175,City_59175,Montana,County_591,,
59180,City_59180,Montana,County_591,,
59185,City_59185,Montana,County_591,,
59190,City_59190,Montana,County_591,,
59195,City_59195,Montana,County_591,,
59200,City_59200,Montana,County_592,,
59205,City_59205,Montana,County_592,,
59210,City_59210,Montana,County_592,,
59215,City_59215,Montana,County_592,,
59220,City_59220,Montana,County_592,,
59225,City_59225,Montana,County_592,,
59230,City_59230,Montana,County_592,,
59235,City_59235,Montana,County_592,,
59240,City_59240,Montana,County_592,,
59245,City_59245,Montana,County_592,,
59250,City_59250,Montana,County_592,,
59255,City_59255,Montana,County_592,,
59260,City_59260,Montana,County_592,,
59265,City_59265,Montana,County_592,,
59270,City_59270,Montana,County_592,,
59275,City_59275,Montana,County_592,,
59280,City_59280,Montana,County_592,,
59285,City_59285,Montana,County_592,,
59290,City_59290,Montana,County_592,,
59295,City_59295,Montana,County_592,,
59300,City_59300,Montana,County_593,,
59305,City_59305,Montana,County_593,,
59310,City_59310,Montana,County_593,,
59315,City_59315,Montana,County_593,,
59320,City_59320,Montana,County_593,,
59325,City_59325,Montana,County_593,,
59330,City_59330,Montana,County_593,,
59335,City_59335,Montana,County_593,,
59340,City_59340,Montana,County_593,,
59345,City_59345,Montana,County_593,,
59350,City_59350,Montana,County_593,,
59355,City_59355,Montana,County_593,,
59360,City_59360,Montana,County_593,,
59365,City_59365,Montana,County_593,,
59370,City_59370,Montana,County_593,,
59375,City_59375,Montana,County_593,,
59380,City_59380,Montana,County_593,,
59385,City_59385,Montana,County_593,,
59390,City_59390,Montana,County_593,,
59395,City_59395,Montana,County_593,,
59400,City_59400,Montana,County_594,,
59405,City_59405,Montana,County_594,,
