zip_code,city,state,county,latitude,longitude
68000,City_68000,Nebraska,County_680,,
68005,City_68005,Nebraska,County_680,,
68010,City_68010,Nebraska,County_680,,
68015,City_68015,Nebraska,County_680,,
68020,City_68020,Nebraska,County_680,,
68025,City_68025,Nebraska,County_680,,
68030,City_68030,Nebraska,County_680,,
68035,City_68035,Nebraska,County_680,,
68040,City_68040,Nebraska,County_680,,
68045,City_68045,Nebraska,County_680,,
68050,City_68050,Nebraska,County_680,,
68055,City_68055,Nebraska,County_680,,
68060,City_68060,Nebraska,County_680,,
68065,City_68065,Nebraska,County_680,,
68070,City_68070,Nebraska,County_680,,
68075,City_68075,Nebraska,County_680,,
68080,City_68080,Nebraska,County_680,,
68085,City_68085,Nebraska,County_680,,
68090,City_68090,Nebraska,County_680,,
68095,City_68095,Nebraska,County_680,,
68100,City_68100,Nebraska,County_681,,
68105,City_68105,Nebraska,County_681,,
68110,City_68110,Nebraska,County_681,,
68115,City_68115,Nebraska,County_681,,
68120,City_68120,Nebraska,County_681,,
68125,City_68125,Nebraska,County_681,,
68130,City_68130,Nebraska,County_681,,
68135,City_68135,Nebraska,County_681,,
68140,City_68140,Nebraska,County_681,,
68145,City_68145,Nebraska,County_681,,
68150,City_68150,Nebraska,County_681,,
68155,City_68155,Nebraska,County_681,,
68160,City_68160,Nebraska,County_681,,
68165,City_68165,Nebraska,County_681,,
68170,City_68170,Nebraska,County_681,,
68175,City_68175,Nebraska,County_681,,
68180,City_68180,Nebraska,County_681,,
68185,City_68185,Nebraska,County_681,,
68190,City_68190,Nebraska,County_681,,
68195,City_68195,Nebraska,County_681,,
68200,City_68200,Nebraska,County_682,,
68205,City_68205,Nebraska,County_682,,
68210,City_68210,Nebraska,County_682,,
68215,City_68215,Nebraska,County_682,,
68220,City_68220,Nebraska,County_682,,
68225,City_68225,Nebraska,County_682,,
68230,City_68230,Nebraska,County_682,,
68235,City_68235,Nebraska,County_682,,
68240,City_68240,Nebraska,County_682,,
68245,City_68245,Nebraska,County_682,,
68250,City_68250,Nebraska,County_682,,
68255,City_68255,Nebraska,County_682,,
68260,City_68260,Nebraska,County_682,,
68265,City_68265,Nebraska,County_682,,
68270,City_68270,Nebraska,County_682,,
68275,City_68275,Nebraska,County_682,,
68280,City_68280,Nebraska,County_682,,
68285,City_68285,Nebraska,County_682,,
68290,City_68290,Nebraska,County_682,,
68295,City_68295,Nebraska,County_682,,
68300,City_68300,Nebraska,County_683,,
68305,City_68305,Nebraska,County_683,,
68310,City_68310,Nebraska,County_683,,
68315,City_68315,Nebraska,County_683,,
68320,City_68320,Nebraska,County_683,,
68325,City_68325,Nebraska,County_683,,
68330,City_68330,Nebraska,County_683,,
68335,City_68335,Nebraska,County_683,,
68340,City_68340,Nebraska,County_683,,
68345,City_68345,Nebraska,County_683,,
68350,City_68350,Nebraska,County_683,,
68355,City_68355,Nebraska,County_683,,
68360,City_68360,Nebraska,County_683,,
68365,City_68365,Nebraska,County_683,,
68370,City_68370,Nebraska,County_683,,
68375,City_68375,Nebraska,County_683,,
68380,City_68380,Nebraska,County_683,,
68385,City_68385,Nebraska,County_683,,
68390,City_68390,Nebraska,County_683,,
68395,City_68395,Nebraska,County_683,,
68400,City_68400,Nebraska,County_684,,
68405,City_68405,Nebraska,County_684,,
68410,City_68410,Nebraska,County_684,,
68415,City_68415,Nebraska,County_684,,
68420,City_68420,Nebraska,County_684,,
68425,City_68425,Nebraska,County_684,,
68430,City_68430,Nebraska,County_684,,
68435,City_68435,Nebraska,County_684,,
68440,City_68440,Nebraska,County_684,,
68445,City_68445,Nebraska,County_684,,
68450,City_68450,Nebraska,County_684,,
68455,City_68455,Nebraska,County_684,,
68460,City_68460,Nebraska,County_684,,
68465,City_68465,Nebraska,County_684,,
68470,City_68470,Nebraska,County_684,,
68475,City_68475,Nebraska,County_684,,
68480,City_68480,Nebraska,County_684,,
68485,City_68485,Nebraska,County_684,,
68490,City_68490,Nebraska,County_684,,
68495,City_68495,Nebraska,County_684,,
68500,City_68500,Nebraska,County_685,,
68505,City_68505,Nebraska,County_685,,
68510,City_68510,Nebraska,County_685,,
68515,City_68515,Nebraska,County_685,,
68520,City_68520,Nebraska,County_685,,
68525,City_68525,Nebraska,County_685,,
68530,City_68530,Nebraska,County_685,,
68535,City_68535,Nebraska,County_685,,
68540,City_68540,Nebraska,County_685,,
68545,City_68545,Nebraska,County_685,,
68550,City_68550,Nebraska,County_685,,
