zip_code,city,state,county,latitude,longitude
88900,City_88900,Nevada,County_889,,
88905,City_88905,Nevada,County_889,,
88910,City_88910,Nevada,County_889,,
88915,City_88915,Nevada,County_889,,
88920,City_88920,Nevada,County_889,,
88925,City_88925,Nevada,County_889,,
88930,City_88930,Nevada,County_889,,
88935,City_88935,Nevada,County_889,,
88940,City_88940,Nevada,County_889,,
88945,City_88945,Nevada,County_889,,
88950,City_88950,Nevada,County_889,,
88955,City_88955,Nevada,County_889,,
88960,City_88960,Nevada,County_889,,
88965,City_88965,Nevada,County_889,,
88970,City_88970,Nevada,County_889,,
88975,City_88975,Nevada,County_889,,
88980,City_88980,Nevada,County_889,,
88985,City_88985,Nevada,County_889,,
88990,City_88990,Nevada,County_889,,
88995,City_88995,Nevada,County_889,,
89000,City_89000,Nevada,County_890,,
89005,City_89005,Nevada,County_890,,
89010,City_89010,Nevada,County_890,,
89015,City_89015,Nevada,County_890,,
89020,City_89020,Nevada,County_890,,
89025,City_89025,Nevada,County_890,,
89030,City_89030,Nevada,County_890,,
89035,City_89035,Nevada,County_890,,
89040,City_89040,Nevada,County_890,,
89045,City_89045,Nevada,County_890,,
89050,City_89050,Nevada,County_890,,
89055,City_89055,Nevada,County_890,,
89060,City_89060,Nevada,County_890,,
89065,City_89065,Nevada,County_890,,
89070,City_89070,Nevada,County_890,,
89075,City_89075,Nevada,County_890,,
89080,City_89080,Nevada,County_890,,
89085,City_89085,Nevada,County_890,,
89090,City_89090,Nevada,County_890,,
89095,City_89095,Nevada,County_890,,
89100,City_89100,Nevada,County_891,,
89105,City_89105,Nevada,County_891,,
89110,City_89110,Nevada,County_891,,
89115,City_89115,Nevada,County_891,,
89120,City_89120,Nevada,County_891,,
89125,City_89125,Nevada,County_891,,
89130,City_89130,Nevada,County_891,,
89135,City_89135,Nevada,County_891,,
89140,City_89140,Nevada,County_891,,
89145,City_89145,Nevada,County_891,,
89150,City_89150,Nevada,County_891,,
89155,City_89155,Nevada,County_891,,
89160,City_89160,Nevada,County_891,,
89165,City_89165,Nevada,County_891,,
89170,City_89170,Nevada,County_891,,
89175,City_89175,Nevada,County_891,,
89180,City_89180,Nevada,County_891,,
89185,City_89185,Nevada,County_891,,
89190,City_89190,Nevada,County_891,,
89195,City_89195,Nevada,County_891,,
89200,City_89200,Nevada,County_892,,
89205,City_89205,Nevada,County_892,,
89210,City_89210,Nevada,County_892,,
89215,City_89215,Nevada,County_892,,
89220,City_89220,Nevada,County_892,,
89225,City_89225,Nevada,County_892,,
89230,City_89230,Nevada,County_892,,
89235,City_89235,Nevada,County_892,,
89240,City_89240,Nevada,County_892,,
89245,City_89245,Nevada,County_892,,
89250,City_89250,Nevada,County_892,,
89255,City_89255,Nevada,County_892,,
89260,City_89260,Nevada,County_892,,
89265,City_89265,Nevada,County_892,,
89270,City_89270,Nevada,County_892,,
89275,City_89275,Nevada,County_892,,
89280,City_89280,Nevada,County_892,,
89285,City_89285,Nevada,County_892,,
89290,City_89290,Nevada,County_892,,
89295,City_89295,Nevada,County_892,,
89300,City_89300,Nevada,County_893,,
89305,City_89305,Nevada,County_893,,
89310,City_89310,Nevada,County_893,,
89315,City_89315,Nevada,County_893,,
89320,City_89320,Nevada,County_893,,
89325,City_89325,Nevada,County_893,,
89330,City_89330,Nevada,County_893,,
89335,City_89335,Nevada,County_893,,
89340,City_89340,Nevada,County_893,,
89345,City_89345,Nevada,County_893,,
89350,City_89350,Nevada,County_893,,
89355,City_89355,Nevada,County_893,,
89360,City_89360,Nevada,County_893,,
89365,City_89365,Nevada,County_893,,
89370,City_89370,Nevada,County_893,,
89375,City_89375,Nevada,County_893,,
89380,City_89380,Nevada,County_893,,
89385,City_89385,Nevada,County_893,,
89390,City_89390,Nevada,County_893,,
89395,City_89395,Nevada,County_893,,
89400,City_89400,Nevada,County_894,,
89405,City_89405,Nevada,County_894,,
89410,City_89410,Nevada,County_894,,
89415,City_89415,Nevada,County_894,,
89420,City_89420,Nevada,County_894,,
89425,City_89425,Nevada,County_894,,
89430,City_89430,Nevada,County_894,,
89435,City_89435,Nevada,County_894,,
89440,City_89440,Nevada,County_894,,
89445,City_89445,Nevada,County_894,,
89450,City_89450,Nevada,County_894,,
89455,City_89455,Nevada,County_894,,
89460,City_89460,Nevada,County_894,,
89465,City_89465,Nevada,County_894,,
89470,City_89470,Nevada,County_894,,
89475,City_89475,Nevada,County_894,,
89480,City_89480,Nevada,County_894,,
89485,City_89485,Nevada,County_894,,
89490,City_89490,Nevada,County_894,,
89495,City_89495,Nevada,County_894,,
89500,City_89500,Nevada,County_895,,
89505,City_89505,Nevada,County_895,,
89510,City_89510,Nevada,County_895,,
89515,City_89515,Nevada,County_895,,
89520,City_89520,Nevada,County_895,,
89525,City_89525,Nevada,County_895,,
89530,City_89530,Nevada,County_895,,
89535,City_89535,Nevada,County_895,,
89540,City_89540,Nevada,County_895,,
89545,City_89545,Nevada,County_895,,
89550,City_89550,Nevada,County_895,,
89555,City_89555,Nevada,County_895,,
89560,City_89560,Nevada,County_895,,
89565,City_89565,Nevada,County_895,,
89570,City_89570,Nevada,County_895,,
89575,City_89575,Nevada,County_895,,
89580,City_89580,Nevada,County_895,,
89585,City_89585,Nevada,County_895,,
89590,City_89590,Nevada,County_895,,
89595,City_89595,Nevada,County_895,,
89600,City_89600,Nevada,County_896,,
89605,City_89605,Nevada,County_896,,
89610,City_89610,Nevada,County_896,,
89615,City_89615,Nevada,County_896,,
89620,City_89620,Nevada,County_896,,
89625,City_89625,Nevada,County_896,,
89630,City_89630,Nevada,County_896,,
89635,City_89635,Nevada,County_896,,
89640,City_89640,Nevada,County_896,,
89645,City_89645,Nevada,County_896,,
89650,City_89650,Nevada,County_896,,
89655,City_89655,Nevada,County_896,,
89660,City_89660,Nevada,County_896,,
89665,City_89665,Nevada,County_896,,
89670,City_89670,Nevada,County_896,,
89675,City_89675,Nevada,County_896,,
89680,City_89680,Nevada,County_896,,
89685,City_89685,Nevada,County_896,,
89690,City_89690,Nevada,County_896,,
89695,City_89695,Nevada,County_896,,
89700,City_89700,Nevada,County_897,,
89705,City_89705,Nevada,County_897,,
89710,City_89710,Nevada,County_897,,
89715,City_89715,Nevada,County_897,,
89720,City_89720,Nevada,County_897,,
89725,City_89725,Nevada,County_897,,
89730,City_89730,Nevada,County_897,,
89735,City_89735,Nevada,County_897,,
89740,City_89740,Nevada,County_897,,
89745,City_89745,Nevada,County_897,,
89750,City_89750,Nevada,County_897,,
89755,City_89755,Nevada,County_897,,
89760,City_89760,Nevada,County_897,,
89765,City_89765,Nevada,County_897,,
89770,City_89770,Nevada,County_897,,
89775,City_89775,Nevada,County_897,,
89780,City_89780,Nevada,County_897,,
89785,City_89785,Nevada,County_897,,
89790,City_89790,Nevada,County_897,,
89795,City_89795,Nevada,County_897,,
89800,City_89800,Nevada,County_898,,
89805,City_89805,Nevada,County_898,,
89810,City_89810,Nevada,County_898,,
89815,City_89815,Nevada,County_898,,
89820,City_89820,Nevada,County_898,,
89825,City_89825,Nevada,County_898,,
89830,City_89830,Nevada,County_898,,
89835,City_89835,Nevada,County_898,,
89840,City_89840,Nevada,County_898,,
89845,City_89845,Nevada,County_898,,
89850,City_89850,Nevada,County_898,,
89855,City_89855,Nevada,County_898,,
89860,City_89860,Nevada,County_898,,
89865,City_89865,Nevada,County_898,,
89870,City_89870,Nevada,County_898,,
89875,City_89875,Nevada,County_898,,
89880,City_89880,Nevada,County_898,,
89885,City_89885,Nevada,County_898,,
89890,City_89890,Nevada,County_898,,
89895,City_89895,Nevada,County_898,,
