zip_code,city,state,county,latitude,longitude
03000,City_03000,New Hampshire,County_030,,
03005,City_03005,New Hampshire,County_030,,
03010,City_03010,New Hampshire,County_030,,
03015,City_03015,New Hampshire,County_030,,
03020,City_03020,New Hampshire,County_030,,
03025,City_03025,New Hampshire,County_030,,
03030,City_03030,New Hampshire,County_030,,
03035,City_03035,New Hampshire,County_030,,
03040,City_03040,New Hampshire,County_030,,
03045,City_03045,New Hampshire,County_030,,
03050,City_03050,New Hampshire,County_030,,
03055,City_03055,New Hampshire,County_030,,
03060,City_03060,New Hampshire,County_030,,
03065,City_03065,New Hampshire,County_030,,
03070,City_03070,New Hampshire,County_030,,
03075,City_03075,New Hampshire,County_030,,
03080,City_03080,New Hampshire,County_030,,
03085,City_03085,New Hampshire,County_030,,
03090,City_03090,New Hampshire,County_030,,
03095,City_03095,New Hampshire,County_030,,
03100,City_03100,New Hampshire,County_031,,
03105,City_03105,New Hampshire,County_031,,
03110,City_03110,New Hampshire,County_031,,
03115,City_03115,New Hampshire,County_031,,
03120,City_03120,New Hampshire,County_031,,
03125,City_03125,New Hampshire,County_031,,
03130,City_03130,New Hampshire,County_031,,
03135,City_03135,New Hampshire,County_031,,
03140,City_03140,New Hampshire,County_031,,
03145,City_03145,New Hampshire,County_031,,
03150,City_03150,New Hampshire,County_031,,
03155,City_03155,New Hampshire,County_031,,
03160,City_03160,New Hampshire,County_031,,
03165,City_03165,New Hampshire,County_031,,
03170,City_03170,New Hampshire,County_031,,
03175,City_03175,New Hampshire,County_031,,
03180,City_03180,New Hampshire,County_031,,
03185,City_03185,New Hampshire,County_031,,
03190,City_03190,New Hampshire,County_031,,
03195,City_03195,New Hampshire,County_031,,
03200,City_03200,New Hampshire,County_032,,
03205,City_03205,New Hampshire,County_032,,
03210,City_03210,New Hampshire,County_032,,
03215,City_03215,New Hampshire,County_032,,
03220,City_03220,New Hampshire,County_032,,
03225,City_03225,New Hampshire,County_032,,
03230,City_03230,New Hampshire,County_032,,
03235,City_03235,New Hampshire,County_032,,
03240,City_03240,New Hampshire,County_032,,
03245,City_03245,New Hampshire,County_032,,
03250,City_03250,New Hampshire,County_032,,
03255,City_03255,New Hampshire,County_032,,
03260,City_03260,New Hampshire,County_032,,
03265,City_03265,New Hampshire,County_032,,
03270,City_03270,New Hampshire,County_032,,
03275,City_03275,New Hampshire,County_032,,
03280,City_03280,New Hampshire,County_032,,
03285,City_03285,New Hampshire,County_032,,
03290,City_03290,New Hampshire,County_032,,
03295,City_03295,New Hampshire,County_032,,
03300,City_03300,New Hampshire,County_033,,
03305,City_03305,New Hampshire,County_033,,
03310,City_03310,New Hampshire,County_033,,
03315,City_03315,New Hampshire,County_033,,
03320,City_03320,New Hampshire,County_033,,
03325,City_03325,New Hampshire,County_033,,
03330,City_03330,New Hampshire,County_033,,
03335,City_03335,New Hampshire,County_033,,
03340,City_03340,New Hampshire,County_033,,
03345,City_03345,New Hampshire,County_033,,
03350,City_03350,New Hampshire,County_033,,
03355,City_03355,New Hampshire,County_033,,
03360,City_03360,New Hampshire,County_033,,
03365,City_03365,New Hampshire,County_033,,
03370,City_03370,New Hampshire,County_033,,
03375,City_03375,New Hampshire,County_033,,
03380,City_03380,New Hampshire,County_033,,
03385,City_03385,New Hampshire,County_033,,
03390,City_03390,New Hampshire,County_033,,
03395,City_03395,New Hampshire,County_033,,
03400,City_03400,New Hampshire,County_034,,
03405,City_03405,New Hampshire,County_034,,
03410,City_03410,New Hampshire,County_034,,
03415,City_03415,New Hampshire,County_034,,
03420,City_03420,New Hampshire,County_034,,
03425,City_03425,New Hampshire,County_034,,
03430,City_03430,New Hampshire,County_034,,
03435,City_03435,New Hampshire,County_034,,
03440,City_03440,New Hampshire,County_034,,
03445,City_03445,New Hampshire,County_034,,
03450,City_03450,New Hampshire,County_034,,
03455,City_03455,New Hampshire,County_034,,
03460,City_03460,New Hampshire,County_034,,
03465,City_03465,New Hampshire,County_034,,
03470,City_03470,New Hampshire,County_034,,
03475,City_03475,New Hampshire,County_034,,
03480,City_03480,New Hampshire,County_034,,
