zip_code,city,state,county,latitude,longitude
07000,City_07000,New Jersey,County_070,,
07005,City_07005,New Jersey,County_070,,
07010,City_07010,New Jersey,County_070,,
07015,City_07015,New Jersey,County_070,,
07020,City_07020,New Jersey,County_070,,
07025,City_07025,New Jersey,County_070,,
07030,City_07030,New Jersey,County_070,,
07035,City_07035,New Jersey,County_070,,
07040,City_07040,New Jersey,County_070,,
07045,City_07045,New Jersey,County_070,,
07050,City_07050,New Jersey,County_070,,
07055,City_07055,New Jersey,County_070,,
07060,City_07060,New Jersey,County_070,,
07065,City_07065,New Jersey,County_070,,
07070,City_07070,New Jersey,County_070,,
07075,City_07075,New Jersey,County_070,,
07080,City_07080,New Jersey,County_070,,
07085,City_07085,New Jersey,County_070,,
07090,City_07090,New Jersey,County_070,,
07095,City_07095,New Jersey,County_070,,
07100,City_07100,New Jersey,County_071,,
07105,City_07105,New Jersey,County_071,,
07110,City_07110,New Jersey,County_071,,
07115,City_07115,New Jersey,County_071,,
07120,City_07120,New Jersey,County_071,,
07125,City_07125,New Jersey,County_071,,
07130,City_07130,New Jersey,County_071,,
07135,City_07135,New Jersey,County_071,,
07140,City_07140,New Jersey,County_071,,
07145,City_07145,New Jersey,County_071,,
07150,City_07150,New Jersey,County_071,,
07155,City_07155,New Jersey,County_071,,
07160,City_07160,New Jersey,County_071,,
07165,City_07165,New Jersey,County_071,,
07170,City_07170,New Jersey,County_071,,
07175,City_07175,New Jersey,County_071,,
07180,City_07180,New Jersey,County_071,,
07185,City_07185,New Jersey,County_071,,
07190,City_07190,New Jersey,County_071,,
07195,City_07195,New Jersey,County_071,,
07200,City_07200,New Jersey,County_072,,
07205,City_07205,New Jersey,County_072,,
07210,City_07210,New Jersey,County_072,,
07215,City_07215,New Jersey,County_072,,
07220,City_07220,New Jersey,County_072,,
07225,City_07225,New Jersey,County_072,,
07230,City_07230,New Jersey,County_072,,
07235,City_07235,New Jersey,County_072,,
07240,City_07240,New Jersey,County_072,,
07245,City_07245,New Jersey,County_072,,
07250,City_07250,New Jersey,County_072,,
07255,City_07255,New Jersey,County_072,,
07260,City_07260,New Jersey,County_072,,
07265,City_07265,New Jersey,County_072,,
07270,City_07270,New Jersey,County_072,,
07275,City_07275,New Jersey,County_072,,
07280,City_07280,New Jersey,County_072,,
07285,City_07285,New Jersey,County_072,,
07290,City_07290,New Jersey,County_072,,
07295,City_07295,New Jersey,County_072,,
07300,City_07300,New Jersey,County_073,,
07305,City_07305,New Jersey,County_073,,
07310,City_07310,New Jersey,County_073,,
07315,City_07315,New Jersey,County_073,,
07320,City_07320,New Jersey,County_073,,
07325,City_07325,New Jersey,County_073,,
07330,City_07330,New Jersey,County_073,,
07335,City_07335,New Jersey,County_073,,
07340,City_07340,New Jersey,County_073,,
07345,City_07345,New Jersey,County_073,,
07350,City_07350,New Jersey,County_073,,
07355,City_07355,New Jersey,County_073,,
07360,City_07360,New Jersey,County_073,,
07365,City_07365,New Jersey,County_073,,
07370,City_07370,New Jersey,County_073,,
07375,City_07375,New Jersey,County_073,,
07380,City_07380,New Jersey,County_073,,
07385,City_07385,New Jersey,County_073,,
