zip_code,city,state,county,latitude,longitude
87000,City_87000,New Mexico,County_870,,
87005,City_87005,New Mexico,County_870,,
87010,City_87010,New Mexico,County_870,,
87015,City_87015,New Mexico,County_870,,
87020,City_87020,New Mexico,County_870,,
87025,City_87025,New Mexico,County_870,,
87030,City_87030,New Mexico,County_870,,
87035,City_87035,New Mexico,County_870,,
87040,City_87040,New Mexico,County_870,,
87045,City_87045,New Mexico,County_870,,
87050,City_87050,New Mexico,County_870,,
87055,City_87055,New Mexico,County_870,,
87060,City_87060,New Mexico,County_870,,
87065,City_87065,New Mexico,County_870,,
87070,City_87070,New Mexico,County_870,,
87075,City_87075,New Mexico,County_870,,
87080,City_87080,New Mexico,County_870,,
87085,City_87085,New Mexico,County_870,,
87090,City_87090,New Mexico,County_870,,
87095,City_87095,New Mexico,County_870,,
87100,City_87100,New Mexico,County_871,,
87105,City_87105,New Mexico,County_871,,
87110,City_87110,New Mexico,County_871,,
87115,City_87115,New Mexico,County_871,,
87120,City_87120,New Mexico,County_871,,
87125,City_87125,New Mexico,County_871,,
87130,City_87130,New Mexico,County_871,,
87135,City_87135,New Mexico,County_871,,
87140,City_87140,New Mexico,County_871,,
87145,City_87145,New Mexico,County_871,,
87150,City_87150,New Mexico,County_871,,
87155,City_87155,New Mexico,County_871,,
87160,City_87160,New Mexico,County_871,,
87165,City_87165,New Mexico,County_871,,
87170,City_87170,New Mexico,County_871,,
87175,City_87175,New Mexico,County_871,,
87180,City_87180,New Mexico,County_871,,
87185,City_87185,New Mexico,County_871,,
87190,City_87190,New Mexico,County_871,,
87195,City_87195,New Mexico,County_871,,
87200,City_87200,New Mexico,County_872,,
87205,City_87205,New Mexico,County_872,,
87210,City_87210,New Mexico,County_872,,
87215,City_87215,New Mexico,County_872,,
87220,City_87220,New Mexico,County_872,,
87225,City_87225,New Mexico,County_872,,
87230,City_87230,New Mexico,County_872,,
87235,City_87235,New Mexico,County_872,,
87240,City_87240,New Mexico,County_872,,
87245,City_87245,New Mexico,County_872,,
87250,City_87250,New Mexico,County_872,,
87255,City_87255,New Mexico,County_872,,
87260,City_87260,New Mexico,County_872,,
87265,City_87265,New Mexico,County_872,,
87270,City_87270,New Mexico,County_872,,
87275,City_87275,New Mexico,County_872,,
87280,City_87280,New Mexico,County_872,,
87285,City_87285,New Mexico,County_872,,
87290,City_87290,New Mexico,County_872,,
87295,City_87295,New Mexico,County_872,,
87300,City_87300,New Mexico,County_873,,
87305,City_87305,New Mexico,County_873,,
87310,City_87310,New Mexico,County_873,,
87315,City_87315,New Mexico,County_873,,
87320,City_87320,New Mexico,County_873,,
87325,City_87325,New Mexico,County_873,,
87330,City_87330,New Mexico,County_873,,
87335,City_87335,New Mexico,County_873,,
87340,City_87340,New Mexico,County_873,,
87345,City_87345,New Mexico,County_873,,
87350,City_87350,New Mexico,County_873,,
87355,City_87355,New Mexico,County_873,,
87360,City_87360,New Mexico,County_873,,
87365,City_87365,New Mexico,County_873,,
87370,City_87370,New Mexico,County_873,,
87375,City_87375,New Mexico,County_873,,
87380,City_87380,New Mexico,County_873,,
87385,City_87385,New Mexico,County_873,,
87390,City_87390,New Mexico,County_873,,
87395,City_87395,New Mexico,County_873,,
87400,City_87400,New Mexico,County_874,,
87405,City_87405,New Mexico,County_874,,
87410,City_87410,New Mexico,County_874,,
87415,City_87415,New Mexico,County_874,,
87420,City_87420,New Mexico,County_874,,
87425,City_87425,New Mexico,County_874,,
87430,City_87430,New Mexico,County_874,,
87435,City_87435,New Mexico,County_874,,
87440,City_87440,New Mexico,County_874,,
87445,City_87445,New Mexico,County_874,,
