zip_code,city,state,county,latitude,longitude
10000,City_10000,New York,County_100,,
10005,City_10005,New York,County_100,,
10010,City_10010,New York,County_100,,
10015,City_10015,New York,County_100,,
10020,City_10020,New York,County_100,,
10025,City_10025,New York,County_100,,
10030,City_10030,New York,County_100,,
10035,City_10035,New York,County_100,,
10040,City_10040,New York,County_100,,
10045,City_10045,New York,County_100,,
10050,City_10050,New York,County_100,,
10055,City_10055,New York,County_100,,
10060,City_10060,New York,County_100,,
10065,City_10065,New York,County_100,,
10070,City_10070,New York,County_100,,
10075,City_10075,New York,County_100,,
10080,City_10080,New York,County_100,,
10085,City_10085,New York,County_100,,
10090,City_10090,New York,County_100,,
10095,City_10095,New York,County_100,,
10100,City_10100,New York,County_101,,
10105,City_10105,New York,County_101,,
10110,City_10110,New York,County_101,,
10115,City_10115,New York,County_101,,
10120,City_10120,New York,County_101,,
10125,City_10125,New York,County_101,,
10130,City_10130,New York,County_101,,
10135,City_10135,New York,County_101,,
10140,City_10140,New York,County_101,,
10145,City_10145,New York,County_101,,
10150,City_10150,New York,County_101,,
10155,City_10155,New York,County_101,,
10160,City_10160,New York,County_101,,
10165,City_10165,New York,County_101,,
10170,City_10170,New York,County_101,,
10175,City_10175,New York,County_101,,
10180,City_10180,New York,County_101,,
10185,City_10185,New York,County_101,,
10190,City_10190,New York,County_101,,
10195,City_10195,New York,County_101,,
10200,City_10200,New York,County_102,,
10205,City_10205,New York,County_102,,
10210,City_10210,New York,County_102,,
10215,City_10215,New York,County_102,,
10220,City_10220,New York,County_102,,
10225,City_10225,New York,County_102,,
10230,City_10230,New York,County_102,,
10235,City_10235,New York,County_102,,
10240,City_10240,New York,County_102,,
10245,City_10245,New York,County_102,,
10250,City_10250,New York,County_102,,
10255,City_10255,New York,County_102,,
10260,City_10260,New York,County_102,,
10265,City_10265,New York,County_102,,
10270,City_10270,New York,County_102,,
10275,City_10275,New York,County_102,,
10280,City_10280,New York,County_102,,
10285,City_10285,New York,County_102,,
10290,City_10290,New York,County_102,,
10295,City_10295,New York,County_102,,
10300,City_10300,New York,County_103,,
10305,City_10305,New York,County_103,,
10310,City_10310,New York,County_103,,
10315,City_10315,New York,County_103,,
10320,City_10320,New York,County_103,,
10325,City_10325,New York,County_103,,
10330,City_10330,New York,County_103,,
10335,City_10335,New York,County_103,,
10340,City_10340,New York,County_103,,
10345,City_10345,New York,County_103,,
10350,City_10350,New York,County_103,,
10355,City_10355,New York,County_103,,
10360,City_10360,New York,County_103,,
10365,City_10365,New York,County_103,,
10370,City_10370,New York,County_103,,
10375,City_10375,New York,County_103,,
10380,City_10380,New York,County_103,,
10385,City_10385,New York,County_103,,
10390,City_10390,New York,County_103,,
10395,City_10395,New York,County_103,,
10400,City_10400,New York,County_104,,
10405,City_10405,New York,County_104,,
10410,City_10410,New York,County_104,,
10415,City_10415,New York,County_104,,
10420,City_10420,New York,County_104,,
10425,City_10425,New York,County_104,,
10430,City_10430,New York,County_104,,
10435,City_10435,New York,County_104,,
10440,City_10440,New York,County_104,,
10445,City_10445,New York,County_104,,
10450,City_10450,New York,County_104,,
10455,City_10455,New York,County_104,,
10460,City_10460,New York,County_104,,
10465,City_10465,New York,County_104,,
10470,City_10470,New York,County_104,,
10475,City_10475,New York,County_104,,
10480,City_10480,New York,County_104,,
10485,City_10485,New York,County_104,,
10490,City_10490,New York,County_104,,
10495,City_10495,New York,County_104,,
10500,City_10500,New York,County_105,,
10505,City_10505,New York,County_105,,
10510,City_10510,New York,County_105,,
10515,City_10515,New York,County_105,,
10520,City_10520,New York,County_105,,
10525,City_10525,New York,County_105,,
10530,City_10530,New York,County_105,,
10535,City_10535,New York,County_105,,
10540,City_10540,New York,County_105,,
10545,City_10545,New York,County_105,,
10550,City_10550,New York,County_105,,
10555,City_10555,New York,County_105,,
10560,City_10560,New York,County_105,,
10565,City_10565,New York,County_105,,
10570,City_10570,New York,County_105,,
10575,City_10575,New York,County_105,,
10580,City_10580,New York,County_105,,
10585,City_10585,New York,County_105,,
10590,City_10590,New York,County_105,,
