zip_code,city,state,county,latitude,longitude
27000,City_27000,North Carolina,County_270,,
27005,City_27005,North Carolina,County_270,,
27010,City_27010,North Carolina,County_270,,
27015,City_27015,North Carolina,County_270,,
27020,City_27020,North Carolina,County_270,,
27025,City_27025,North Carolina,County_270,,
27030,City_27030,North Carolina,County_270,,
27035,City_27035,North Carolina,County_270,,
27040,City_27040,North Carolina,County_270,,
27045,City_27045,North Carolina,County_270,,
27050,City_27050,North Carolina,County_270,,
27055,City_27055,North Carolina,County_270,,
27060,City_27060,North Carolina,County_270,,
27065,City_27065,North Carolina,County_270,,
27070,City_27070,North Carolina,County_270,,
27075,City_27075,North Carolina,County_270,,
27080,City_27080,North Carolina,County_270,,
27085,City_27085,North Carolina,County_270,,
27090,City_27090,North Carolina,County_270,,
27095,City_27095,North Carolina,County_270,,
27100,City_27100,North Carolina,County_271,,
27105,City_27105,North Carolina,County_271,,
27110,City_27110,North Carolina,County_271,,
27115,City_27115,North Carolina,County_271,,
27120,City_27120,North Carolina,County_271,,
27125,City_27125,North Carolina,County_271,,
27130,City_27130,North Carolina,County_271,,
27135,City_27135,North Carolina,County_271,,
27140,City_27140,North Carolina,County_271,,
27145,City_27145,North Carolina,County_271,,
27150,City_27150,North Carolina,County_271,,
27155,City_27155,North Carolina,County_271,,
27160,City_27160,North Carolina,County_271,,
27165,City_27165,North Carolina,County_271,,
27170,City_27170,North Carolina,County_271,,
27175,City_27175,North Carolina,County_271,,
27180,City_27180,North Carolina,County_271,,
27185,City_27185,North Carolina,County_271,,
27190,City_27190,North Carolina,County_271,,
27195,City_27195,North Carolina,County_271,,
27200,City_27200,North Carolina,County_272,,
27205,City_27205,North Carolina,County_272,,
27210,City_27210,North Carolina,County_272,,
27215,City_27215,North Carolina,County_272,,
27220,City_27220,North Carolina,County_272,,
27225,City_27225,North Carolina,County_272,,
27230,City_27230,North Carolina,County_272,,
27235,City_27235,North Carolina,County_272,,
27240,City_27240,North Carolina,County_272,,
27245,City_27245,North Carolina,County_272,,
27250,City_27250,North Carolina,County_272,,
27255,City_27255,North Carolina,County_272,,
27260,City_27260,North Carolina,County_272,,
27265,City_27265,North Carolina,County_272,,
27270,City_27270,North Carolina,County_272,,
27275,City_27275,North Carolina,County_272,,
27280,City_27280,North Carolina,County_272,,
27285,City_27285,North Carolina,County_272,,
27290,City_27290,North Carolina,County_272,,
27295,City_27295,North Carolina,County_272,,
27300,City_27300,North Carolina,County_273,,
27305,City_27305,North Carolina,County_273,,
27310,City_27310,North Carolina,County_273,,
27315,City_27315,North Carolina,County_273,,
27320,City_27320,North Carolina,County_273,,
