zip_code,city,state,county,latitude,longitude
58000,City_58000,North Dakota,County_580,,
58005,City_58005,North Dakota,County_580,,
58010,City_58010,North Dakota,County_580,,
58015,City_58015,North Dakota,County_580,,
58020,City_58020,North Dakota,County_580,,
58025,City_58025,North Dakota,County_580,,
58030,City_58030,North Dakota,County_580,,
58035,City_58035,North Dakota,County_580,,
58040,City_58040,North Dakota,County_580,,
58045,City_58045,North Dakota,County_580,,
58050,City_58050,North Dakota,County_580,,
58055,City_58055,North Dakota,County_580,,
58060,City_58060,North Dakota,County_580,,
58065,City_58065,North Dakota,County_580,,
58070,City_58070,North Dakota,County_580,,
58075,City_58075,North Dakota,County_580,,
58080,City_58080,North Dakota,County_580,,
58085,City_58085,North Dakota,County_580,,
58090,City_58090,North Dakota,County_580,,
58095,City_58095,North Dakota,County_580,,
58100,City_58100,North Dakota,County_581,,
58105,City_58105,North Dakota,County_581,,
58110,City_58110,North Dakota,County_581,,
58115,City_58115,North Dakota,County_581,,
58120,City_58120,North Dakota,County_581,,
58125,City_58125,North Dakota,County_581,,
58130,City_58130,North Dakota,County_581,,
58135,City_58135,North Dakota,County_581,,
58140,City_58140,North Dakota,County_581,,
58145,City_58145,North Dakota,County_581,,
58150,City_58150,North Dakota,County_581,,
58155,City_58155,North Dakota,County_581,,
58160,City_58160,North Dakota,County_581,,
58165,City_58165,North Dakota,County_581,,
58170,City_58170,North Dakota,County_581,,
58175,City_58175,North Dakota,County_581,,
58180,City_58180,North Dakota,County_581,,
58185,City_58185,North Dakota,County_581,,
58190,City_58190,North Dakota,County_581,,
58195,City_58195,North Dakota,County_581,,
58200,City_58200,North Dakota,County_582,,
58205,City_58205,North Dakota,County_582,,
58210,City_58210,North Dakota,County_582,,
58215,City_58215,North Dakota,County_582,,
58220,City_58220,North Dakota,County_582,,
58225,City_58225,North Dakota,County_582,,
58230,City_58230,North Dakota,County_582,,
58235,City_58235,North Dakota,County_582,,
58240,City_58240,North Dakota,County_582,,
58245,City_58245,North Dakota,County_582,,
58250,City_58250,North Dakota,County_582,,
58255,City_58255,North Dakota,County_582,,
58260,City_58260,North Dakota,County_582,,
58265,City_58265,North Dakota,County_582,,
58270,City_58270,North Dakota,County_582,,
58275,City_58275,North Dakota,County_582,,
58280,City_58280,North Dakota,County_582,,
58285,City_58285,North Dakota,County_582,,
58290,City_58290,North Dakota,County_582,,
58295,City_58295,North Dakota,County_582,,
58300,City_58300,North Dakota,County_583,,
58305,City_58305,North Dakota,County_583,,
