zip_code,city,state,county,latitude,longitude
43000,City_43000,Ohio,County_430,,
43005,City_43005,Ohio,County_430,,
43010,City_43010,Ohio,County_430,,
43015,City_43015,Ohio,County_430,,
43020,City_43020,Ohio,County_430,,
43025,City_43025,Ohio,County_430,,
43030,City_43030,Ohio,County_430,,
43035,City_43035,Ohio,County_430,,
43040,City_43040,Ohio,County_430,,
43045,City_43045,Ohio,County_430,,
43050,City_43050,Ohio,County_430,,
43055,City_43055,Ohio,County_430,,
43060,City_43060,Ohio,County_430,,
43065,City_43065,Ohio,County_430,,
43070,City_43070,Ohio,County_430,,
43075,City_43075,Ohio,County_430,,
43080,City_43080,Ohio,County_430,,
43085,City_43085,Ohio,County_430,,
43090,City_43090,Ohio,County_430,,
43095,City_43095,Ohio,County_430,,
43100,City_43100,Ohio,County_431,,
43105,City_43105,Ohio,County_431,,
43110,City_43110,Ohio,County_431,,
43115,City_43115,Ohio,County_431,,
43120,City_43120,Ohio,County_431,,
43125,City_43125,Ohio,County_431,,
43130,City_43130,Ohio,County_431,,
43135,City_43135,Ohio,County_431,,
43140,City_43140,Ohio,County_431,,
43145,City_43145,Ohio,County_431,,
43150,City_43150,Ohio,County_431,,
43155,City_43155,Ohio,County_431,,
43160,City_43160,Ohio,County_431,,
43165,City_43165,Ohio,County_431,,
43170,City_43170,Ohio,County_431,,
43175,City_43175,Ohio,County_431,,
43180,City_43180,Ohio,County_431,,
43185,City_43185,Ohio,County_431,,
43190,City_43190,Ohio,County_431,,
43195,City_43195,Ohio,County_431,,
43200,City_43200,Ohio,County_432,,
43205,City_43205,Ohio,County_432,,
43210,City_43210,Ohio,County_432,,
43215,City_43215,Ohio,County_432,,
43220,City_43220,Ohio,County_432,,
43225,City_43225,Ohio,County_432,,
43230,City_43230,Ohio,County_432,,
43235,City_43235,Ohio,County_432,,
43240,City_43240,Ohio,County_432,,
43245,City_43245,Ohio,County_432,,
43250,City_43250,Ohio,County_432,,
43255,City_43255,Ohio,County_432,,
43260,City_43260,Ohio,County_432,,
43265,City_43265,Ohio,County_432,,
43270,City_43270,Ohio,County_432,,
43275,City_43275,Ohio,County_432,,
43280,City_43280,Ohio,County_432,,
43285,City_43285,Ohio,County_432,,
43290,City_43290,Ohio,County_432,,
43295,City_43295,Ohio,County_432,,
43300,City_43300,Ohio,County_433,,
43305,City_43305,Ohio,County_433,,
43310,City_43310,Ohio,County_433,,
43315,City_43315,Ohio,County_433,,
43320,City_43320,Ohio,County_433,,
43325,City_43325,Ohio,County_433,,
43330,City_43330,Ohio,County_433,,
43335,City_43335,Ohio,County_433,,
43340,City_43340,Ohio,County_433,,
43345,City_43345,Ohio,County_433,,
43350,City_43350,Ohio,County_433,,
43355,City_43355,Ohio,County_433,,
43360,City_43360,Ohio,County_433,,
43365,City_43365,Ohio,County_433,,
43370,City_43370,Ohio,County_433,,
43375,City_43375,Ohio,County_433,,
43380,City_43380,Ohio,County_433,,
43385,City_43385,Ohio,County_433,,
43390,City_43390,Ohio,County_433,,
43395,City_43395,Ohio,County_433,,
43400,City_43400,Ohio,County_434,,
43405,City_43405,Ohio,County_434,,
43410,City_43410,Ohio,County_434,,
43415,City_43415,Ohio,County_434,,
43420,City_43420,Ohio,County_434,,
43425,City_43425,Ohio,County_434,,
43430,City_43430,Ohio,County_434,,
43435,City_43435,Ohio,County_434,,
43440,City_43440,Ohio,County_434,,
43445,City_43445,Ohio,County_434,,
43450,City_43450,Ohio,County_434,,
43455,City_43455,Ohio,County_434,,
43460,City_43460,Ohio,County_434,,
43465,City_43465,Ohio,County_434,,
43470,City_43470,Ohio,County_434,,
43475,City_43475,Ohio,County_434,,
43480,City_43480,Ohio,County_434,,
43485,City_43485,Ohio,County_434,,
43490,City_43490,Ohio,County_434,,
43495,City_43495,Ohio,County_434,,
43500,City_43500,Ohio,County_435,,
43505,City_43505,Ohio,County_435,,
43510,City_43510,Ohio,County_435,,
43515,City_43515,Ohio,County_435,,
43520,City_43520,Ohio,County_435,,
43525,City_43525,Ohio,County_435,,
43530,City_43530,Ohio,County_435,,
43535,City_43535,Ohio,County_435,,
43540,City_43540,Ohio,County_435,,
43545,City_43545,Ohio,County_435,,
43550,City_43550,Ohio,County_435,,
43555,City_43555,Ohio,County_435,,
43560,City_43560,Ohio,County_435,,
43565,City_43565,Ohio,County_435,,
43570,City_43570,Ohio,County_435,,
43575,City_43575,Ohio,County_435,,
43580,City_43580,Ohio,County_435,,
43585,City_43585,Ohio,County_435,,
43590,City_43590,Ohio,County_435,,
43595,City_43595,Ohio,County_435,,
43600,City_43600,Ohio,County_436,,
43605,City_43605,Ohio,County_436,,
43610,City_43610,Ohio,County_436,,
43615,City_43615,Ohio,County_436,,
43620,City_43620,Ohio,County_436,,
43625,City_43625,Ohio,County_436,,
43630,City_43630,Ohio,County_436,,
43635,City_43635,Ohio,County_436,,
43640,City_43640,Ohio,County_436,,
43645,City_43645,Ohio,County_436,,
43650,City_43650,Ohio,County_436,,
43655,City_43655,Ohio,County_436,,
43660,City_43660,Ohio,County_436,,
43665,City_43665,Ohio,County_436,,
43670,City_43670,Ohio,County_436,,
43675,City_43675,Ohio,County_436,,
43680,City_43680,Ohio,County_436,,
43685,City_43685,Ohio,County_436,,
43690,City_43690,Ohio,County_436,,
43695,City_43695,Ohio,County_436,,
43700,City_43700,Ohio,County_437,,
43705,City_43705,Ohio,County_437,,
43710,City_43710,Ohio,County_437,,
43715,City_43715,Ohio,County_437,,
43720,City_43720,Ohio,County_437,,
43725,City_43725,Ohio,County_437,,
43730,City_43730,Ohio,County_437,,
43735,City_43735,Ohio,County_437,,
43740,City_43740,Ohio,County_437,,
43745,City_43745,Ohio,County_437,,
43750,City_43750,Ohio,County_437,,
43755,City_43755,Ohio,County_437,,
43760,City_43760,Ohio,County_437,,
43765,City_43765,Ohio,County_437,,
43770,City_43770,Ohio,County_437,,
43775,City_43775,Ohio,County_437,,
43780,City_43780,Ohio,County_437,,
43785,City_43785,Ohio,County_437,,
43790,City_43790,Ohio,County_437,,
43795,City_43795,Ohio,County_437,,
43800,City_43800,Ohio,County_438,,
43805,City_43805,Ohio,County_438,,
43810,City_43810,Ohio,County_438,,
43815,City_43815,Ohio,County_438,,
43820,City_43820,Ohio,County_438,,
43825,City_43825,Ohio,County_438,,
43830,City_43830,Ohio,County_438,,
43835,City_43835,Ohio,County_438,,
43840,City_43840,Ohio,County_438,,
43845,City_43845,Ohio,County_438,,
43850,City_43850,Ohio,County_438,,
43855,City_43855,Ohio,County_438,,
43860,City_43860,Ohio,County_438,,
43865,City_43865,Ohio,County_438,,
43870,City_43870,Ohio,County_438,,
43875,City_43875,Ohio,County_438,,
43880,City_43880,Ohio,County_438,,
43885,City_43885,Ohio,County_438,,
43890,City_43890,Ohio,County_438,,
43895,City_43895,Ohio,County_438,,
43900,City_43900,Ohio,County_439,,
43905,City_43905,Ohio,County_439,,
43910,City_43910,Ohio,County_439,,
43915,City_43915,Ohio,County_439,,
43920,City_43920,Ohio,County_439,,
43925,City_43925,Ohio,County_439,,
43930,City_43930,Ohio,County_439,,
43935,City_43935,Ohio,County_439,,
43940,City_43940,Ohio,County_439,,
43945,City_43945,Ohio,County_439,,
43950,City_43950,Ohio,County_439,,
43955,City_43955,Ohio,County_439,,
43960,City_43960,Ohio,County_439,,
43965,City_43965,Ohio,County_439,,
43970,City_43970,Ohio,County_439,,
43975,City_43975,Ohio,County_439,,
43980,City_43980,Ohio,County_439,,
43985,City_43985,Ohio,County_439,,
43990,City_43990,Ohio,County_439,,
43995,City_43995,Ohio,County_439,,
44000,City_44000,Ohio,County_440,,
44005,City_44005,Ohio,County_440,,
44010,City_44010,Ohio,County_440,,
44015,City_44015,Ohio,County_440,,
44020,City_44020,Ohio,County_440,,
44025,City_44025,Ohio,County_440,,
44030,City_44030,Ohio,County_440,,
44035,City_44035,Ohio,County_440,,
44040,City_44040,Ohio,County_440,,
44045,City_44045,Ohio,County_440,,
44050,City_44050,Ohio,County_440,,
44055,City_44055,Ohio,County_440,,
44060,City_44060,Ohio,County_440,,
44065,City_44065,Ohio,County_440,,
44070,City_44070,Ohio,County_440,,
44075,City_44075,Ohio,County_440,,
44080,City_44080,Ohio,County_440,,
44085,City_44085,Ohio,County_440,,
44090,City_44090,Ohio,County_440,,
44095,City_44095,Ohio,County_440,,
44100,City_44100,Ohio,County_441,,
44105,City_44105,Ohio,County_441,,
44110,City_44110,Ohio,County_441,,
44115,City_44115,Ohio,County_441,,
44120,City_44120,Ohio,County_441,,
44125,City_44125,Ohio,County_441,,
44130,City_44130,Ohio,County_441,,
44135,City_44135,Ohio,County_441,,
44140,City_44140,Ohio,County_441,,
44145,City_44145,Ohio,County_441,,
44150,City_44150,Ohio,County_441,,
44155,City_44155,Ohio,County_441,,
44160,City_44160,Ohio,County_441,,
44165,City_44165,Ohio,County_441,,
44170,City_44170,Ohio,County_441,,
44175,City_44175,Ohio,County_441,,
44180,City_44180,Ohio,County_441,,
44185,City_44185,Ohio,County_441,,
44190,City_44190,Ohio,County_441,,
44195,City_44195,Ohio,County_441,,
44200,City_44200,Ohio,County_442,,
44205,City_44205,Ohio,County_442,,
44210,City_44210,Ohio,County_442,,
44215,City_44215,Ohio,County_442,,
44220,City_44220,Ohio,County_442,,
44225,City_44225,Ohio,County_442,,
44230,City_44230,Ohio,County_442,,
44235,City_44235,Ohio,County_442,,
44240,City_44240,Ohio,County_442,,
44245,City_44245,Ohio,County_442,,
44250,City_44250,Ohio,County_442,,
44255,City_44255,Ohio,County_442,,
44260,City_44260,Ohio,County_442,,
44265,City_44265,Ohio,County_442,,
44270,City_44270,Ohio,County_442,,
44275,City_44275,Ohio,County_442,,
44280,City_44280,Ohio,County_442,,
44285,City_44285,Ohio,County_442,,
44290,City_44290,Ohio,County_442,,
44295,City_44295,Ohio,County_442,,
44300,City_44300,Ohio,County_443,,
44305,City_44305,Ohio,County_443,,
44310,City_44310,Ohio,County_443,,
44315,City_44315,Ohio,County_443,,
44320,City_44320,Ohio,County_443,,
44325,City_44325,Ohio,County_443,,
44330,City_44330,Ohio,County_443,,
44335,City_44335,Ohio,County_443,,
44340,City_44340,Ohio,County_443,,
44345,City_44345,Ohio,County_443,,
44350,City_44350,Ohio,County_443,,
44355,City_44355,Ohio,County_443,,
44360,City_44360,Ohio,County_443,,
44365,City_44365,Ohio,County_443,,
44370,City_44370,Ohio,County_443,,
44375,City_44375,Ohio,County_443,,
44380,City_44380,Ohio,County_443,,
44385,City_44385,Ohio,County_443,,
44390,City_44390,Ohio,County_443,,
44395,City_44395,Ohio,County_443,,
44400,City_44400,Ohio,County_444,,
44405,City_44405,Ohio,County_444,,
44410,City_44410,Ohio,County_444,,
44415,City_44415,Ohio,County_444,,
44420,City_44420,Ohio,County_444,,
44425,City_44425,Ohio,County_444,,
44430,City_44430,Ohio,County_444,,
44435,City_44435,Ohio,County_444,,
44440,City_44440,Ohio,County_444,,
44445,City_44445,Ohio,County_444,,
44450,City_44450,Ohio,County_444,,
44455,City_44455,Ohio,County_444,,
44460,City_44460,Ohio,County_444,,
44465,City_44465,Ohio,County_444,,
44470,City_44470,Ohio,County_444,,
44475,City_44475,Ohio,County_444,,
44480,City_44480,Ohio,County_444,,
44485,City_44485,Ohio,County_444,,
44490,City_44490,Ohio,County_444,,
44495,City_44495,Ohio,County_444,,
44500,City_44500,Ohio,County_445,,
44505,City_44505,Ohio,County_445,,
44510,City_44510,Ohio,County_445,,
44515,City_44515,Ohio,County_445,,
44520,City_44520,Ohio,County_445,,
44525,City_44525,Ohio,County_445,,
44530,City_44530,Ohio,County_445,,
44535,City_44535,Ohio,County_445,,
44540,City_44540,Ohio,County_445,,
44545,City_44545,Ohio,County_445,,
44550,City_44550,Ohio,County_445,,
44555,City_44555,Ohio,County_445,,
44560,City_44560,Ohio,County_445,,
44565,City_44565,Ohio,County_445,,
44570,City_44570,Ohio,County_445,,
44575,City_44575,Ohio,County_445,,
44580,City_44580,Ohio,County_445,,
44585,City_44585,Ohio,County_445,,
44590,City_44590,Ohio,County_445,,
44595,City_44595,Ohio,County_445,,
44600,City_44600,Ohio,County_446,,
