zip_code,city,state,county,latitude,longitude
73000,City_73000,Oklahoma,County_730,,
73005,City_73005,Oklahoma,County_730,,
73010,City_73010,Oklahoma,County_730,,
73015,City_73015,Oklahoma,County_730,,
73020,City_73020,Oklahoma,County_730,,
73025,City_73025,Oklahoma,County_730,,
73030,City_73030,Oklahoma,County_730,,
73035,City_73035,Oklahoma,County_730,,
73040,City_73040,Oklahoma,County_730,,
73045,City_73045,Oklahoma,County_730,,
73050,City_73050,Oklahoma,County_730,,
73055,City_73055,Oklahoma,County_730,,
73060,City_73060,Oklahoma,County_730,,
73065,City_73065,Oklahoma,County_730,,
73070,City_73070,Oklahoma,County_730,,
73075,City_73075,Oklahoma,County_730,,
73080,City_73080,Oklahoma,County_730,,
73085,City_73085,Oklahoma,County_730,,
73090,City_73090,Oklahoma,County_730,,
73095,City_73095,Oklahoma,County_730,,
73100,City_73100,Oklahoma,County_731,,
73105,City_73105,Oklahoma,County_731,,
73110,City_73110,Oklahoma,County_731,,
73115,City_73115,Oklahoma,County_731,,
73120,City_73120,Oklahoma,County_731,,
73125,City_73125,Oklahoma,County_731,,
73130,City_73130,Oklahoma,County_731,,
73135,City_73135,Oklahoma,County_731,,
73140,City_73140,Oklahoma,County_731,,
73145,City_73145,Oklahoma,County_731,,
73150,City_73150,Oklahoma,County_731,,
73155,City_73155,Oklahoma,County_731,,
73160,City_73160,Oklahoma,County_731,,
73165,City_73165,Oklahoma,County_731,,
73170,City_73170,Oklahoma,County_731,,
73175,City_73175,Oklahoma,County_731,,
73180,City_73180,Oklahoma,County_731,,
73185,City_73185,Oklahoma,County_731,,
73190,City_73190,Oklahoma,County_731,,
73195,City_73195,Oklahoma,County_731,,
73200,City_73200,Oklahoma,County_732,,
73205,City_73205,Oklahoma,County_732,,
73210,City_73210,Oklahoma,County_732,,
73215,City_73215,Oklahoma,County_732,,
73220,City_73220,Oklahoma,County_732,,
73225,City_73225,Oklahoma,County_732,,
73230,City_73230,Oklahoma,County_732,,
73235,City_73235,Oklahoma,County_732,,
73240,City_73240,Oklahoma,County_732,,
73245,City_73245,Oklahoma,County_732,,
73250,City_73250,Oklahoma,County_732,,
73255,City_73255,Oklahoma,County_732,,
73260,City_73260,Oklahoma,County_732,,
73265,City_73265,Oklahoma,County_732,,
73270,City_73270,Oklahoma,County_732,,
73275,City_73275,Oklahoma,County_732,,
73280,City_73280,Oklahoma,County_732,,
73285,City_73285,Oklahoma,County_732,,
73290,City_73290,Oklahoma,County_732,,
73295,City_73295,Oklahoma,County_732,,
73300,City_73300,Oklahoma,County_733,,
73305,City_73305,Oklahoma,County_733,,
73310,City_73310,Oklahoma,County_733,,
73315,City_73315,Oklahoma,County_733,,
73320,City_73320,Oklahoma,County_733,,
73325,City_73325,Oklahoma,County_733,,
73330,City_73330,Oklahoma,County_733,,
73335,City_73335,Oklahoma,County_733,,
73340,City_73340,Oklahoma,County_733,,
73345,City_73345,Oklahoma,County_733,,
73350,City_73350,Oklahoma,County_733,,
73355,City_73355,Oklahoma,County_733,,
73360,City_73360,Oklahoma,County_733,,
73365,City_73365,Oklahoma,County_733,,
73370,City_73370,Oklahoma,County_733,,
73375,City_73375,Oklahoma,County_733,,
73380,City_73380,Oklahoma,County_733,,
73385,City_73385,Oklahoma,County_733,,
73390,City_73390,Oklahoma,County_733,,
73395,City_73395,Oklahoma,County_733,,
73400,City_73400,Oklahoma,County_734,,
73405,City_73405,Oklahoma,County_734,,
73410,City_73410,Oklahoma,County_734,,
73415,City_73415,Oklahoma,County_734,,
73420,City_73420,Oklahoma,County_734,,
73425,City_73425,Oklahoma,County_734,,
73430,City_73430,Oklahoma,County_734,,
73435,City_73435,Oklahoma,County_734,,
73440,City_73440,Oklahoma,County_734,,
73445,City_73445,Oklahoma,County_734,,
73450,City_73450,Oklahoma,County_734,,
73455,City_73455,Oklahoma,County_734,,
73460,City_73460,Oklahoma,County_734,,
73465,City_73465,Oklahoma,County_734,,
73470,City_73470,Oklahoma,County_734,,
73475,City_73475,Oklahoma,County_734,,
73480,City_73480,Oklahoma,County_734,,
73485,City_73485,Oklahoma,County_734,,
73490,City_73490,Oklahoma,County_734,,
73495,City_73495,Oklahoma,County_734,,
73500,City_73500,Oklahoma,County_735,,
73505,City_73505,Oklahoma,County_735,,
73510,City_73510,Oklahoma,County_735,,
73515,City_73515,Oklahoma,County_735,,
73520,City_73520,Oklahoma,County_735,,
73525,City_73525,Oklahoma,County_735,,
73530,City_73530,Oklahoma,County_735,,
73535,City_73535,Oklahoma,County_735,,
73540,City_73540,Oklahoma,County_735,,
73545,City_73545,Oklahoma,County_735,,
73550,City_73550,Oklahoma,County_735,,
73555,City_73555,Oklahoma,County_735,,
73560,City_73560,Oklahoma,County_735,,
73565,City_73565,Oklahoma,County_735,,
73570,City_73570,Oklahoma,County_735,,
73575,City_73575,Oklahoma,County_735,,
73580,City_73580,Oklahoma,County_735,,
73585,City_73585,Oklahoma,County_735,,
73590,City_73590,Oklahoma,County_735,,
73595,City_73595,Oklahoma,County_735,,
73600,City_73600,Oklahoma,County_736,,
73605,City_73605,Oklahoma,County_736,,
73610,City_73610,Oklahoma,County_736,,
73615,City_73615,Oklahoma,County_736,,
73620,City_73620,Oklahoma,County_736,,
73625,City_73625,Oklahoma,County_736,,
73630,City_73630,Oklahoma,County_736,,
73635,City_73635,Oklahoma,County_736,,
73640,City_73640,Oklahoma,County_736,,
73645,City_73645,Oklahoma,County_736,,
73650,City_73650,Oklahoma,County_736,,
73655,City_73655,Oklahoma,County_736,,
73660,City_73660,Oklahoma,County_736,,
73665,City_73665,Oklahoma,County_736,,
73670,City_73670,Oklahoma,County_736,,
73675,City_73675,Oklahoma,County_736,,
73680,City_73680,Oklahoma,County_736,,
73685,City_73685,Oklahoma,County_736,,
73690,City_73690,Oklahoma,County_736,,
73695,City_73695,Oklahoma,County_736,,
73700,City_73700,Oklahoma,County_737,,
73705,City_73705,Oklahoma,County_737,,
73710,City_73710,Oklahoma,County_737,,
73715,City_73715,Oklahoma,County_737,,
73720,City_73720,Oklahoma,County_737,,
73725,City_73725,Oklahoma,County_737,,
73730,City_73730,Oklahoma,County_737,,
73735,City_73735,Oklahoma,County_737,,
73740,City_73740,Oklahoma,County_737,,
73745,City_73745,Oklahoma,County_737,,
73750,City_73750,Oklahoma,County_737,,
73755,City_73755,Oklahoma,County_737,,
73760,City_73760,Oklahoma,County_737,,
73765,City_73765,Oklahoma,County_737,,
73770,City_73770,Oklahoma,County_737,,
73775,City_73775,Oklahoma,County_737,,
73780,City_73780,Oklahoma,County_737,,
73785,City_73785,Oklahoma,County_737,,
73790,City_73790,Oklahoma,County_737,,
73795,City_73795,Oklahoma,County_737,,
73800,City_73800,Oklahoma,County_738,,
73805,City_73805,Oklahoma,County_738,,
73810,City_73810,Oklahoma,County_738,,
73815,City_73815,Oklahoma,County_738,,
73820,City_73820,Oklahoma,County_738,,
73825,City_73825,Oklahoma,County_738,,
73830,City_73830,Oklahoma,County_738,,
73835,City_73835,Oklahoma,County_738,,
73840,City_73840,Oklahoma,County_738,,
