zip_code,city,state,county,latitude,longitude
97000,City_97000,Oregon,County_970,,
97005,City_97005,Oregon,County_970,,
97010,City_97010,Oregon,County_970,,
97015,City_97015,Oregon,County_970,,
97020,City_97020,Oregon,County_970,,
97025,City_97025,Oregon,County_970,,
97030,City_97030,Oregon,County_970,,
97035,City_97035,Oregon,County_970,,
97040,City_97040,Oregon,County_970,,
97045,City_97045,Oregon,County_970,,
97050,City_97050,Oregon,County_970,,
97055,City_97055,Oregon,County_970,,
97060,City_97060,Oregon,County_970,,
97065,City_97065,Oregon,County_970,,
97070,City_97070,Oregon,County_970,,
97075,City_97075,Oregon,County_970,,
97080,City_97080,Oregon,County_970,,
97085,City_97085,Oregon,County_970,,
97090,City_97090,Oregon,County_970,,
97095,City_97095,Oregon,County_970,,
97100,City_97100,Oregon,County_971,,
97105,City_97105,Oregon,County_971,,
97110,City_97110,Oregon,County_971,,
97115,City_97115,Oregon,County_971,,
97120,City_97120,Oregon,County_971,,
97125,City_97125,Oregon,County_971,,
97130,City_97130,Oregon,County_971,,
97135,City_97135,Oregon,County_971,,
97140,City_97140,Oregon,County_971,,
97145,City_97145,Oregon,County_971,,
97150,City_97150,Oregon,County_971,,
97155,City_97155,Oregon,County_971,,
97160,City_97160,Oregon,County_971,,
97165,City_97165,Oregon,County_971,,
97170,City_97170,Oregon,County_971,,
97175,City_97175,Oregon,County_971,,
97180,City_97180,Oregon,County_971,,
97185,City_97185,Oregon,County_971,,
97190,City_97190,Oregon,County_971,,
97195,City_97195,Oregon,County_971,,
97200,City_97200,Oregon,County_972,,
97205,City_97205,Oregon,County_972,,
97210,City_97210,Oregon,County_972,,
97215,City_97215,Oregon,County_972,,
97220,City_97220,Oregon,County_972,,
97225,City_97225,Oregon,County_972,,
97230,City_97230,Oregon,County_972,,
97235,City_97235,Oregon,County_972,,
97240,City_97240,Oregon,County_972,,
97245,City_97245,Oregon,County_972,,
97250,City_97250,Oregon,County_972,,
97255,City_97255,Oregon,County_972,,
97260,City_97260,Oregon,County_972,,
97265,City_97265,Oregon,County_972,,
97270,City_97270,Oregon,County_972,,
97275,City_97275,Oregon,County_972,,
97280,City_97280,Oregon,County_972,,
97285,City_97285,Oregon,County_972,,
97290,City_97290,Oregon,County_972,,
97295,City_97295,Oregon,County_972,,
97300,City_97300,Oregon,County_973,,
97305,City_97305,Oregon,County_973,,
97310,City_97310,Oregon,County_973,,
97315,City_97315,Oregon,County_973,,
97320,City_97320,Oregon,County_973,,
97325,City_97325,Oregon,County_973,,
97330,City_97330,Oregon,County_973,,
97335,City_97335,Oregon,County_973,,
97340,City_97340,Oregon,County_973,,
97345,City_97345,Oregon,County_973,,
97350,City_97350,Oregon,County_973,,
97355,City_97355,Oregon,County_973,,
97360,City_97360,Oregon,County_973,,
97365,City_97365,Oregon,County_973,,
97370,City_97370,Oregon,County_973,,
97375,City_97375,Oregon,County_973,,
97380,City_97380,Oregon,County_973,,
97385,City_97385,Oregon,County_973,,
97390,City_97390,Oregon,County_973,,
97395,City_97395,Oregon,County_973,,
97400,City_97400,Oregon,County_974,,
97405,City_97405,Oregon,County_974,,
97410,City_97410,Oregon,County_974,,
97415,City_97415,Oregon,County_974,,
97420,City_97420,Oregon,County_974,,
97425,City_97425,Oregon,County_974,,
97430,City_97430,Oregon,County_974,,
97435,City_97435,Oregon,County_974,,
97440,City_97440,Oregon,County_974,,
97445,City_97445,Oregon,County_974,,
97450,City_97450,Oregon,County_974,,
97455,City_97455,Oregon,County_974,,
97460,City_97460,Oregon,County_974,,
97465,City_97465,Oregon,County_974,,
97470,City_97470,Oregon,County_974,,
97475,City_97475,Oregon,County_974,,
97480,City_97480,Oregon,County_974,,
97485,City_97485,Oregon,County_974,,
97490,City_97490,Oregon,County_974,,
97495,City_97495,Oregon,County_974,,
97500,City_97500,Oregon,County_975,,
97505,City_97505,Oregon,County_975,,
97510,City_97510,Oregon,County_975,,
97515,City_97515,Oregon,County_975,,
97520,City_97520,Oregon,County_975,,
