zip_code,city,state,county,latitude,longitude
15000,City_15000,Pennsylvania,County_150,,
15005,City_15005,Pennsylvania,County_150,,
15010,City_15010,Pennsylvania,County_150,,
15015,City_15015,Pennsylvania,County_150,,
15020,City_15020,Pennsylvania,County_150,,
15025,City_15025,Pennsylvania,County_150,,
15030,City_15030,Pennsylvania,County_150,,
15035,City_15035,Pennsylvania,County_150,,
15040,City_15040,Pennsylvania,County_150,,
15045,City_15045,Pennsylvania,County_150,,
15050,City_15050,Pennsylvania,County_150,,
15055,City_15055,Pennsylvania,County_150,,
15060,City_15060,Pennsylvania,County_150,,
15065,City_15065,Pennsylvania,County_150,,
15070,City_15070,Pennsylvania,County_150,,
15075,City_15075,Pennsylvania,County_150,,
15080,City_15080,Pennsylvania,County_150,,
15085,City_15085,Pennsylvania,County_150,,
15090,City_15090,Pennsylvania,County_150,,
15095,City_15095,Pennsylvania,County_150,,
15100,City_15100,Pennsylvania,County_151,,
15105,City_15105,Pennsylvania,County_151,,
15110,City_15110,Pennsylvania,County_151,,
15115,City_15115,Pennsylvania,County_151,,
15120,City_15120,Pennsylvania,County_151,,
15125,City_15125,Pennsylvania,County_151,,
15130,City_15130,Pennsylvania,County_151,,
15135,City_15135,Pennsylvania,County_151,,
15140,City_15140,Pennsylvania,County_151,,
15145,City_15145,Pennsylvania,County_151,,
15150,City_15150,Pennsylvania,County_151,,
15155,City_15155,Pennsylvania,County_151,,
15160,City_15160,Pennsylvania,County_151,,
15165,City_15165,Pennsylvania,County_151,,
15170,City_15170,Pennsylvania,County_151,,
15175,City_15175,Pennsylvania,County_151,,
15180,City_15180,Pennsylvania,County_151,,
15185,City_15185,Pennsylvania,County_151,,
15190,City_15190,Pennsylvania,County_151,,
15195,City_15195,Pennsylvania,County_151,,
15200,City_15200,Pennsylvania,County_152,,
15205,City_15205,Pennsylvania,County_152,,
15210,City_15210,Pennsylvania,County_152,,
15215,City_15215,Pennsylvania,County_152,,
15220,City_15220,Pennsylvania,County_152,,
15225,City_15225,Pennsylvania,County_152,,
15230,City_15230,Pennsylvania,County_152,,
15235,City_15235,Pennsylvania,County_152,,
15240,City_15240,Pennsylvania,County_152,,
15245,City_15245,Pennsylvania,County_152,,
15250,City_15250,Pennsylvania,County_152,,
15255,City_15255,Pennsylvania,County_152,,
15260,City_15260,Pennsylvania,County_152,,
15265,City_15265,Pennsylvania,County_152,,
15270,City_15270,Pennsylvania,County_152,,
15275,City_15275,Pennsylvania,County_152,,
15280,City_15280,Pennsylvania,County_152,,
15285,City_15285,Pennsylvania,County_152,,
15290,City_15290,Pennsylvania,County_152,,
15295,City_15295,Pennsylvania,County_152,,
15300,City_15300,Pennsylvania,County_153,,
15305,City_15305,Pennsylvania,County_153,,
15310,City_15310,Pennsylvania,County_153,,
15315,City_15315,Pennsylvania,County_153,,
15320,City_15320,Pennsylvania,County_153,,
15325,City_15325,Pennsylvania,County_153,,
15330,City_15330,Pennsylvania,County_153,,
15335,City_15335,Pennsylvania,County_153,,
15340,City_15340,Pennsylvania,County_153,,
15345,City_15345,Pennsylvania,County_153,,
15350,City_15350,Pennsylvania,County_153,,
15355,City_15355,Pennsylvania,County_153,,
15360,City_15360,Pennsylvania,County_153,,
15365,City_15365,Pennsylvania,County_153,,
15370,City_15370,Pennsylvania,County_153,,
15375,City_15375,Pennsylvania,County_153,,
15380,City_15380,Pennsylvania,County_153,,
15385,City_15385,Pennsylvania,County_153,,
15390,City_15390,Pennsylvania,County_153,,
15395,City_15395,Pennsylvania,County_153,,
15400,City_15400,Pennsylvania,County_154,,
15405,City_15405,Pennsylvania,County_154,,
15410,City_15410,Pennsylvania,County_154,,
15415,City_15415,Pennsylvania,County_154,,
15420,City_15420,Pennsylvania,County_154,,
15425,City_15425,Pennsylvania,County_154,,
15430,City_15430,Pennsylvania,County_154,,
15435,City_15435,Pennsylvania,County_154,,
15440,City_15440,Pennsylvania,County_154,,
15445,City_15445,Pennsylvania,County_154,,
15450,City_15450,Pennsylvania,County_154,,
15455,City_15455,Pennsylvania,County_154,,
15460,City_15460,Pennsylvania,County_154,,
15465,City_15465,Pennsylvania,County_154,,
15470,City_15470,Pennsylvania,County_154,,
15475,City_15475,Pennsylvania,County_154,,
15480,City_15480,Pennsylvania,County_154,,
15485,City_15485,Pennsylvania,County_154,,
15490,City_15490,Pennsylvania,County_154,,
15495,City_15495,Pennsylvania,County_154,,
15500,City_15500,Pennsylvania,County_155,,
15505,City_15505,Pennsylvania,County_155,,
15510,City_15510,Pennsylvania,County_155,,
15515,City_15515,Pennsylvania,County_155,,
15520,City_15520,Pennsylvania,County_155,,
15525,City_15525,Pennsylvania,County_155,,
15530,City_15530,Pennsylvania,County_155,,
15535,City_15535,Pennsylvania,County_155,,
15540,City_15540,Pennsylvania,County_155,,
15545,City_15545,Pennsylvania,County_155,,
15550,City_15550,Pennsylvania,County_155,,
15555,City_15555,Pennsylvania,County_155,,
15560,City_15560,Pennsylvania,County_155,,
15565,City_15565,Pennsylvania,County_155,,
15570,City_15570,Pennsylvania,County_155,,
15575,City_15575,Pennsylvania,County_155,,
15580,City_15580,Pennsylvania,County_155,,
15585,City_15585,Pennsylvania,County_155,,
15590,City_15590,Pennsylvania,County_155,,
15595,City_15595,Pennsylvania,County_155,,
15600,City_15600,Pennsylvania,County_156,,
15605,City_15605,Pennsylvania,County_156,,
15610,City_15610,Pennsylvania,County_156,,
15615,City_15615,Pennsylvania,County_156,,
15620,City_15620,Pennsylvania,County_156,,
15625,City_15625,Pennsylvania,County_156,,
15630,City_15630,Pennsylvania,County_156,,
15635,City_15635,Pennsylvania,County_156,,
15640,City_15640,Pennsylvania,County_156,,
15645,City_15645,Pennsylvania,County_156,,
15650,City_15650,Pennsylvania,County_156,,
15655,City_15655,Pennsylvania,County_156,,
15660,City_15660,Pennsylvania,County_156,,
15665,City_15665,Pennsylvania,County_156,,
15670,City_15670,Pennsylvania,County_156,,
15675,City_15675,Pennsylvania,County_156,,
15680,City_15680,Pennsylvania,County_156,,
15685,City_15685,Pennsylvania,County_156,,
15690,City_15690,Pennsylvania,County_156,,
15695,City_15695,Pennsylvania,County_156,,
15700,City_15700,Pennsylvania,County_157,,
15705,City_15705,Pennsylvania,County_157,,
15710,City_15710,Pennsylvania,County_157,,
15715,City_15715,Pennsylvania,County_157,,
15720,City_15720,Pennsylvania,County_157,,
15725,City_15725,Pennsylvania,County_157,,
15730,City_15730,Pennsylvania,County_157,,
15735,City_15735,Pennsylvania,County_157,,
15740,City_15740,Pennsylvania,County_157,,
15745,City_15745,Pennsylvania,County_157,,
15750,City_15750,Pennsylvania,County_157,,
15755,City_15755,Pennsylvania,County_157,,
15760,City_15760,Pennsylvania,County_157,,
15765,City_15765,Pennsylvania,County_157,,
15770,City_15770,Pennsylvania,County_157,,
15775,City_15775,Pennsylvania,County_157,,
15780,City_15780,Pennsylvania,County_157,,
15785,City_15785,Pennsylvania,County_157,,
15790,City_15790,Pennsylvania,County_157,,
15795,City_15795,Pennsylvania,County_157,,
15800,City_15800,Pennsylvania,County_158,,
15805,City_15805,Pennsylvania,County_158,,
15810,City_15810,Pennsylvania,County_158,,
15815,City_15815,Pennsylvania,County_158,,
15820,City_15820,Pennsylvania,County_158,,
15825,City_15825,Pennsylvania,County_158,,
15830,City_15830,Pennsylvania,County_158,,
15835,City_15835,Pennsylvania,County_158,,
15840,City_15840,Pennsylvania,County_158,,
15845,City_15845,Pennsylvania,County_158,,
15850,City_15850,Pennsylvania,County_158,,
15855,City_15855,Pennsylvania,County_158,,
15860,City_15860,Pennsylvania,County_158,,
15865,City_15865,Pennsylvania,County_158,,
15870,City_15870,Pennsylvania,County_158,,
15875,City_15875,Pennsylvania,County_158,,
15880,City_15880,Pennsylvania,County_158,,
15885,City_15885,Pennsylvania,County_158,,
15890,City_15890,Pennsylvania,County_158,,
15895,City_15895,Pennsylvania,County_158,,
15900,City_15900,Pennsylvania,County_159,,
15905,City_15905,Pennsylvania,County_159,,
15910,City_15910,Pennsylvania,County_159,,
15915,City_15915,Pennsylvania,County_159,,
15920,City_15920,Pennsylvania,County_159,,
15925,City_15925,Pennsylvania,County_159,,
15930,City_15930,Pennsylvania,County_159,,
15935,City_15935,Pennsylvania,County_159,,
15940,City_15940,Pennsylvania,County_159,,
15945,City_15945,Pennsylvania,County_159,,
15950,City_15950,Pennsylvania,County_159,,
15955,City_15955,Pennsylvania,County_159,,
15960,City_15960,Pennsylvania,County_159,,
15965,City_15965,Pennsylvania,County_159,,
15970,City_15970,Pennsylvania,County_159,,
15975,City_15975,Pennsylvania,County_159,,
15980,City_15980,Pennsylvania,County_159,,
15985,City_15985,Pennsylvania,County_159,,
15990,City_15990,Pennsylvania,County_159,,
15995,City_15995,Pennsylvania,County_159,,
16000,City_16000,Pennsylvania,County_160,,
16005,City_16005,Pennsylvania,County_160,,
16010,City_16010,Pennsylvania,County_160,,
16015,City_16015,Pennsylvania,County_160,,
16020,City_16020,Pennsylvania,County_160,,
16025,City_16025,Pennsylvania,County_160,,
16030,City_16030,Pennsylvania,County_160,,
16035,City_16035,Pennsylvania,County_160,,
16040,City_16040,Pennsylvania,County_160,,
16045,City_16045,Pennsylvania,County_160,,
16050,City_16050,Pennsylvania,County_160,,
16055,City_16055,Pennsylvania,County_160,,
16060,City_16060,Pennsylvania,County_160,,
16065,City_16065,Pennsylvania,County_160,,
16070,City_16070,Pennsylvania,County_160,,
16075,City_16075,Pennsylvania,County_160,,
16080,City_16080,Pennsylvania,County_160,,
16085,City_16085,Pennsylvania,County_160,,
16090,City_16090,Pennsylvania,County_160,,
16095,City_16095,Pennsylvania,County_160,,
16100,City_16100,Pennsylvania,County_161,,
16105,City_16105,Pennsylvania,County_161,,
16110,City_16110,Pennsylvania,County_161,,
16115,City_16115,Pennsylvania,County_161,,
16120,City_16120,Pennsylvania,County_161,,
16125,City_16125,Pennsylvania,County_161,,
16130,City_16130,Pennsylvania,County_161,,
16135,City_16135,Pennsylvania,County_161,,
16140,City_16140,Pennsylvania,County_161,,
16145,City_16145,Pennsylvania,County_161,,
16150,City_16150,Pennsylvania,County_161,,
16155,City_16155,Pennsylvania,County_161,,
16160,City_16160,Pennsylvania,County_161,,
16165,City_16165,Pennsylvania,County_161,,
16170,City_16170,Pennsylvania,County_161,,
16175,City_16175,Pennsylvania,County_161,,
16180,City_16180,Pennsylvania,County_161,,
16185,City_16185,Pennsylvania,County_161,,
16190,City_16190,Pennsylvania,County_161,,
16195,City_16195,Pennsylvania,County_161,,
16200,City_16200,Pennsylvania,County_162,,
16205,City_16205,Pennsylvania,County_162,,
16210,City_16210,Pennsylvania,County_162,,
16215,City_16215,Pennsylvania,County_162,,
16220,City_16220,Pennsylvania,County_162,,
16225,City_16225,Pennsylvania,County_162,,
16230,City_16230,Pennsylvania,County_162,,
16235,City_16235,Pennsylvania,County_162,,
16240,City_16240,Pennsylvania,County_162,,
16245,City_16245,Pennsylvania,County_162,,
16250,City_16250,Pennsylvania,County_162,,
16255,City_16255,Pennsylvania,County_162,,
16260,City_16260,Pennsylvania,County_162,,
16265,City_16265,Pennsylvania,County_162,,
16270,City_16270,Pennsylvania,County_162,,
16275,City_16275,Pennsylvania,County_162,,
16280,City_16280,Pennsylvania,County_162,,
16285,City_16285,Pennsylvania,County_162,,
16290,City_16290,Pennsylvania,County_162,,
16295,City_16295,Pennsylvania,County_162,,
16300,City_16300,Pennsylvania,County_163,,
16305,City_16305,Pennsylvania,County_163,,
16310,City_16310,Pennsylvania,County_163,,
16315,City_16315,Pennsylvania,County_163,,
16320,City_16320,Pennsylvania,County_163,,
16325,City_16325,Pennsylvania,County_163,,
16330,City_16330,Pennsylvania,County_163,,
16335,City_16335,Pennsylvania,County_163,,
16340,City_16340,Pennsylvania,County_163,,
16345,City_16345,Pennsylvania,County_163,,
16350,City_16350,Pennsylvania,County_163,,
16355,City_16355,Pennsylvania,County_163,,
16360,City_16360,Pennsylvania,County_163,,
16365,City_16365,Pennsylvania,County_163,,
16370,City_16370,Pennsylvania,County_163,,
16375,City_16375,Pennsylvania,County_163,,
16380,City_16380,Pennsylvania,County_163,,
16385,City_16385,Pennsylvania,County_163,,
16390,City_16390,Pennsylvania,County_163,,
16395,City_16395,Pennsylvania,County_163,,
16400,City_16400,Pennsylvania,County_164,,
16405,City_16405,Pennsylvania,County_164,,
16410,City_16410,Pennsylvania,County_164,,
16415,City_16415,Pennsylvania,County_164,,
16420,City_16420,Pennsylvania,County_164,,
16425,City_16425,Pennsylvania,County_164,,
16430,City_16430,Pennsylvania,County_164,,
16435,City_16435,Pennsylvania,County_164,,
16440,City_16440,Pennsylvania,County_164,,
16445,City_16445,Pennsylvania,County_164,,
16450,City_16450,Pennsylvania,County_164,,
16455,City_16455,Pennsylvania,County_164,,
16460,City_16460,Pennsylvania,County_164,,
16465,City_16465,Pennsylvania,County_164,,
16470,City_16470,Pennsylvania,County_164,,
16475,City_16475,Pennsylvania,County_164,,
16480,City_16480,Pennsylvania,County_164,,
16485,City_16485,Pennsylvania,County_164,,
16490,City_16490,Pennsylvania,County_164,,
16495,City_16495,Pennsylvania,County_164,,
16500,City_16500,Pennsylvania,County_165,,
16505,City_16505,Pennsylvania,County_165,,
16510,City_16510,Pennsylvania,County_165,,
16515,City_16515,Pennsylvania,County_165,,
16520,City_16520,Pennsylvania,County_165,,
16525,City_16525,Pennsylvania,County_165,,
16530,City_16530,Pennsylvania,County_165,,
16535,City_16535,Pennsylvania,County_165,,
16540,City_16540,Pennsylvania,County_165,,
16545,City_16545,Pennsylvania,County_165,,
16550,City_16550,Pennsylvania,County_165,,
16555,City_16555,Pennsylvania,County_165,,
16560,City_16560,Pennsylvania,County_165,,
16565,City_16565,Pennsylvania,County_165,,
16570,City_16570,Pennsylvania,County_165,,
16575,City_16575,Pennsylvania,County_165,,
16580,City_16580,Pennsylvania,County_165,,
16585,City_16585,Pennsylvania,County_165,,
16590,City_16590,Pennsylvania,County_165,,
16595,City_16595,Pennsylvania,County_165,,
16600,City_16600,Pennsylvania,County_166,,
16605,City_16605,Pennsylvania,County_166,,
