zip_code,city,state,county,latitude,longitude
02800,City_02800,Rhode Island,County_028,,
02805,City_02805,Rhode Island,County_028,,
02810,City_02810,Rhode Island,County_028,,
02815,City_02815,Rhode Island,County_028,,
02820,City_02820,Rhode Island,County_028,,
02825,City_02825,Rhode Island,County_028,,
02830,City_02830,Rhode Island,County_028,,
02835,City_02835,Rhode Island,County_028,,
02840,City_02840,Rhode Island,County_028,,
02845,City_02845,Rhode Island,County_028,,
02850,City_02850,Rhode Island,County_028,,
02855,City_02855,Rhode Island,County_028,,
02860,City_02860,Rhode Island,County_028,,
02865,City_02865,Rhode Island,County_028,,
02870,City_02870,Rhode Island,County_028,,
02875,City_02875,Rhode Island,County_028,,
02880,City_02880,Rhode Island,County_028,,
02885,City_02885,Rhode Island,County_028,,
02890,City_02890,Rhode Island,County_028,,
02895,City_02895,Rhode Island,County_028,,
02900,City_02900,Rhode Island,County_029,,
02905,City_02905,Rhode Island,County_029,,
02910,City_02910,Rhode Island,County_029,,
02915,City_02915,Rhode Island,County_029,,
02920,City_02920,Rhode Island,County_029,,
02925,City_02925,Rhode Island,County_029,,
02930,City_02930,Rhode Island,County_029,,
02935,City_02935,Rhode Island,County_029,,
02940,City_02940,Rhode Island,County_029,,
02945,City_02945,Rhode Island,County_029,,
02950,City_02950,Rhode Island,County_029,,
02955,City_02955,Rhode Island,County_029,,
02960,City_02960,Rhode Island,County_029,,
02965,City_02965,Rhode Island,County_029,,
02970,City_02970,Rhode Island,County_029,,
02975,City_02975,Rhode Island,County_029,,
02980,City_02980,Rhode Island,County_029,,
02985,City_02985,Rhode Island,County_029,,
02990,City_02990,Rhode Island,County_029,,
02995,City_02995,Rhode Island,County_029,,
