zip_code,city,state,county,latitude,longitude
29000,City_29000,South Carolina,County_290,,
29005,City_29005,South Carolina,County_290,,
29010,City_29010,South Carolina,County_290,,
29015,City_29015,South Carolina,County_290,,
29020,City_29020,South Carolina,County_290,,
29025,City_29025,South Carolina,County_290,,
29030,City_29030,South Carolina,County_290,,
29035,City_29035,South Carolina,County_290,,
29040,City_29040,South Carolina,County_290,,
29045,City_29045,South Carolina,County_290,,
29050,City_29050,South Carolina,County_290,,
29055,City_29055,South Carolina,County_290,,
29060,City_29060,South Carolina,County_290,,
29065,City_29065,South Carolina,County_290,,
29070,City_29070,South Carolina,County_290,,
29075,City_29075,South Carolina,County_290,,
29080,City_29080,South Carolina,County_290,,
29085,City_29085,South Carolina,County_290,,
29090,City_29090,South Carolina,County_290,,
29095,City_29095,South Carolina,County_290,,
29100,City_29100,South Carolina,County_291,,
29105,City_29105,South Carolina,County_291,,
29110,City_29110,South Carolina,County_291,,
29115,City_29115,South Carolina,County_291,,
29120,City_29120,South Carolina,County_291,,
29125,City_29125,South Carolina,County_291,,
29130,City_29130,South Carolina,County_291,,
29135,City_29135,South Carolina,County_291,,
29140,City_29140,South Carolina,County_291,,
29145,City_29145,South Carolina,County_291,,
29150,City_29150,South Carolina,County_291,,
29155,City_29155,South Carolina,County_291,,
29160,City_29160,South Carolina,County_291,,
29165,City_29165,South Carolina,County_291,,
29170,City_29170,South Carolina,County_291,,
29175,City_29175,South Carolina,County_291,,
29180,City_29180,South Carolina,County_291,,
29185,City_29185,South Carolina,County_291,,
29190,City_29190,South Carolina,County_291,,
29195,City_29195,South Carolina,County_291,,
29200,City_29200,South Carolina,County_292,,
29205,City_29205,South Carolina,County_292,,
29210,City_29210,South Carolina,County_292,,
29215,City_29215,South Carolina,County_292,,
29220,City_29220,South Carolina,County_292,,
29225,City_29225,South Carolina,County_292,,
29230,City_29230,South Carolina,County_292,,
29235,City_29235,South Carolina,County_292,,
29240,City_29240,South Carolina,County_292,,
29245,City_29245,South Carolina,County_292,,
29250,City_29250,South Carolina,County_292,,
29255,City_29255,South Carolina,County_292,,
29260,City_29260,South Carolina,County_292,,
29265,City_29265,South Carolina,County_292,,
29270,City_29270,South Carolina,County_292,,
29275,City_29275,South Carolina,County_292,,
29280,City_29280,South Carolina,County_292,,
29285,City_29285,South Carolina,County_292,,
29290,City_29290,South Carolina,County_292,,
29295,City_29295,South Carolina,County_292,,
29300,City_29300,South Carolina,County_293,,
29305,City_29305,South Carolina,County_293,,
29310,City_29310,South Carolina,County_293,,
29315,City_29315,South Carolina,County_293,,
29320,City_29320,South Carolina,County_293,,
29325,City_29325,South Carolina,County_293,,
29330,City_29330,South Carolina,County_293,,
29335,City_29335,South Carolina,County_293,,
29340,City_29340,South Carolina,County_293,,
29345,City_29345,South Carolina,County_293,,
29350,City_29350,South Carolina,County_293,,
29355,City_29355,South Carolina,County_293,,
29360,City_29360,South Carolina,County_293,,
29365,City_29365,South Carolina,County_293,,
29370,City_29370,South Carolina,County_293,,
29375,City_29375,South Carolina,County_293,,
29380,City_29380,South Carolina,County_293,,
29385,City_29385,South Carolina,County_293,,
29390,City_29390,South Carolina,County_293,,
29395,City_29395,South Carolina,County_293,,
29400,City_29400,South Carolina,County_294,,
29405,City_29405,South Carolina,County_294,,
29410,City_29410,South Carolina,County_294,,
29415,City_29415,South Carolina,County_294,,
29420,City_29420,South Carolina,County_294,,
29425,City_29425,South Carolina,County_294,,
29430,City_29430,South Carolina,County_294,,
29435,City_29435,South Carolina,County_294,,
29440,City_29440,South Carolina,County_294,,
29445,City_29445,South Carolina,County_294,,
29450,City_29450,South Carolina,County_294,,
29455,City_29455,South Carolina,County_294,,
29460,City_29460,South Carolina,County_294,,
29465,City_29465,South Carolina,County_294,,
29470,City_29470,South Carolina,County_294,,
29475,City_29475,South Carolina,County_294,,
29480,City_29480,South Carolina,County_294,,
29485,City_29485,South Carolina,County_294,,
29490,City_29490,South Carolina,County_294,,
29495,City_29495,South Carolina,County_294,,
29500,City_29500,South Carolina,County_295,,
29505,City_29505,South Carolina,County_295,,
29510,City_29510,South Carolina,County_295,,
29515,City_29515,South Carolina,County_295,,
29520,City_29520,South Carolina,County_295,,
29525,City_29525,South Carolina,County_295,,
29530,City_29530,South Carolina,County_295,,
29535,City_29535,South Carolina,County_295,,
29540,City_29540,South Carolina,County_295,,
29545,City_29545,South Carolina,County_295,,
29550,City_29550,South Carolina,County_295,,
29555,City_29555,South Carolina,County_295,,
29560,City_29560,South Carolina,County_295,,
29565,City_29565,South Carolina,County_295,,
29570,City_29570,South Carolina,County_295,,
29575,City_29575,South Carolina,County_295,,
29580,City_29580,South Carolina,County_295,,
29585,City_29585,South Carolina,County_295,,
29590,City_29590,South Carolina,County_295,,
29595,City_29595,South Carolina,County_295,,
29600,City_29600,South Carolina,County_296,,
29605,City_29605,South Carolina,County_296,,
29610,City_29610,South Carolina,County_296,,
29615,City_29615,South Carolina,County_296,,
29620,City_29620,South Carolina,County_296,,
29625,City_29625,South Carolina,County_296,,
29630,City_29630,South Carolina,County_296,,
29635,City_29635,South Carolina,County_296,,
29640,City_29640,South Carolina,County_296,,
29645,City_29645,South Carolina,County_296,,
29650,City_29650,South Carolina,County_296,,
29655,City_29655,South Carolina,County_296,,
29660,City_29660,South Carolina,County_296,,
29665,City_29665,South Carolina,County_296,,
29670,City_29670,South Carolina,County_296,,
29675,City_29675,South Carolina,County_296,,
29680,City_29680,South Carolina,County_296,,
29685,City_29685,South Carolina,County_296,,
29690,City_29690,South Carolina,County_296,,
29695,City_29695,South Carolina,County_296,,
29700,City_29700,South Carolina,County_297,,
29705,City_29705,South Carolina,County_297,,
29710,City_29710,South Carolina,County_297,,
29715,City_29715,South Carolina,County_297,,
29720,City_29720,South Carolina,County_297,,
29725,City_29725,South Carolina,County_297,,
29730,City_29730,South Carolina,County_297,,
29735,City_29735,South Carolina,County_297,,
29740,City_29740,South Carolina,County_297,,
29745,City_29745,South Carolina,County_297,,
29750,City_29750,South Carolina,County_297,,
29755,City_29755,South Carolina,County_297,,
29760,City_29760,South Carolina,County_297,,
29765,City_29765,South Carolina,County_297,,
29770,City_29770,South Carolina,County_297,,
29775,City_29775,South Carolina,County_297,,
29780,City_29780,South Carolina,County_297,,
29785,City_29785,South Carolina,County_297,,
29790,City_29790,South Carolina,County_297,,
29795,City_29795,South Carolina,County_297,,
29800,City_29800,South Carolina,County_298,,
29805,City_29805,South Carolina,County_298,,
29810,City_29810,South Carolina,County_298,,
29815,City_29815,South Carolina,County_298,,
29820,City_29820,South Carolina,County_298,,
29825,City_29825,South Carolina,County_298,,
29830,City_29830,South Carolina,County_298,,
29835,City_29835,South Carolina,County_298,,
29840,City_29840,South Carolina,County_298,,
29845,City_29845,South Carolina,County_298,,
29850,City_29850,South Carolina,County_298,,
29855,City_29855,South Carolina,County_298,,
29860,City_29860,South Carolina,County_298,,
29865,City_29865,South Carolina,County_298,,
29870,City_29870,South Carolina,County_298,,
29875,City_29875,South Carolina,County_298,,
29880,City_29880,South Carolina,County_298,,
29885,City_29885,South Carolina,County_298,,
29890,City_29890,South Carolina,County_298,,
29895,City_29895,South Carolina,County_298,,
29900,City_29900,South Carolina,County_299,,
29905,City_29905,South Carolina,County_299,,
29910,City_29910,South Carolina,County_299,,
29915,City_29915,South Carolina,County_299,,
29920,City_29920,South Carolina,County_299,,
29925,City_29925,South Carolina,County_299,,
29930,City_29930,South Carolina,County_299,,
29935,City_29935,South Carolina,County_299,,
29940,City_29940,South Carolina,County_299,,
29945,City_29945,South Carolina,County_299,,
29950,City_29950,South Carolina,County_299,,
29955,City_29955,South Carolina,County_299,,
29960,City_29960,South Carolina,County_299,,
29965,City_29965,South Carolina,County_299,,
29970,City_29970,South Carolina,County_299,,
29975,City_29975,South Carolina,County_299,,
29980,City_29980,South Carolina,County_299,,
29985,City_29985,South Carolina,County_299,,
29990,City_29990,South Carolina,County_299,,
29995,City_29995,South Carolina,County_299,,
