zip_code,city,state,county,latitude,longitude
57000,City_57000,South Dakota,County_570,,
57005,City_57005,South Dakota,County_570,,
57010,City_57010,South Dakota,County_570,,
57015,City_57015,South Dakota,County_570,,
57020,City_57020,South Dakota,County_570,,
57025,City_57025,South Dakota,County_570,,
57030,City_57030,South Dakota,County_570,,
57035,City_57035,South Dakota,County_570,,
57040,City_57040,South Dakota,County_570,,
57045,City_57045,South Dakota,County_570,,
57050,City_57050,South Dakota,County_570,,
57055,City_57055,South Dakota,County_570,,
57060,City_57060,South Dakota,County_570,,
57065,City_57065,South Dakota,County_570,,
57070,City_57070,South Dakota,County_570,,
57075,City_57075,South Dakota,County_570,,
57080,City_57080,South Dakota,County_570,,
57085,City_57085,South Dakota,County_570,,
57090,City_57090,South Dakota,County_570,,
57095,City_57095,South Dakota,County_570,,
57100,City_57100,South Dakota,County_571,,
57105,City_57105,South Dakota,County_571,,
57110,City_57110,South Dakota,County_571,,
57115,City_57115,South Dakota,County_571,,
57120,City_57120,South Dakota,County_571,,
57125,City_57125,South Dakota,County_571,,
57130,City_57130,South Dakota,County_571,,
57135,City_57135,South Dakota,County_571,,
57140,City_57140,South Dakota,County_571,,
57145,City_57145,South Dakota,County_571,,
57150,City_57150,South Dakota,County_571,,
57155,City_57155,South Dakota,County_571,,
57160,City_57160,South Dakota,County_571,,
57165,City_57165,South Dakota,County_571,,
57170,City_57170,South Dakota,County_571,,
57175,City_57175,South Dakota,County_571,,
57180,City_57180,South Dakota,County_571,,
57185,City_57185,South Dakota,County_571,,
57190,City_57190,South Dakota,County_571,,
57195,City_57195,South Dakota,County_571,,
57200,City_57200,South Dakota,County_572,,
57205,City_57205,South Dakota,County_572,,
57210,City_57210,South Dakota,County_572,,
57215,City_57215,South Dakota,County_572,,
57220,City_57220,South Dakota,County_572,,
57225,City_57225,South Dakota,County_572,,
57230,City_57230,South Dakota,County_572,,
57235,City_57235,South Dakota,County_572,,
57240,City_57240,South Dakota,County_572,,
57245,City_57245,South Dakota,County_572,,
57250,City_57250,South Dakota,County_572,,
57255,City_57255,South Dakota,County_572,,
57260,City_57260,South Dakota,County_572,,
57265,City_57265,South Dakota,County_572,,
57270,City_57270,South Dakota,County_572,,
57275,City_57275,South Dakota,County_572,,
57280,City_57280,South Dakota,County_572,,
57285,City_57285,South Dakota,County_572,,
57290,City_57290,South Dakota,County_572,,
57295,City_57295,South Dakota,County_572,,
57300,City_57300,South Dakota,County_573,,
57305,City_57305,South Dakota,County_573,,
57310,City_57310,South Dakota,County_573,,
57315,City_57315,South Dakota,County_573,,
57320,City_57320,South Dakota,County_573,,
57325,City_57325,South Dakota,County_573,,
57330,City_57330,South Dakota,County_573,,
57335,City_57335,South Dakota,County_573,,
57340,City_57340,South Dakota,County_573,,
57345,City_57345,South Dakota,County_573,,
57350,City_57350,South Dakota,County_573,,
57355,City_57355,South Dakota,County_573,,
57360,City_57360,South Dakota,County_573,,
57365,City_57365,South Dakota,County_573,,
57370,City_57370,South Dakota,County_573,,
57375,City_57375,South Dakota,County_573,,
57380,City_57380,South Dakota,County_573,,
57385,City_57385,South Dakota,County_573,,
57390,City_57390,South Dakota,County_573,,
57395,City_57395,South Dakota,County_573,,
57400,City_57400,South Dakota,County_574,,
57405,City_57405,South Dakota,County_574,,
57410,City_57410,South Dakota,County_574,,
57415,City_57415,South Dakota,County_574,,
57420,City_57420,South Dakota,County_574,,
57425,City_57425,South Dakota,County_574,,
57430,City_57430,South Dakota,County_574,,
57435,City_57435,South Dakota,County_574,,
57440,City_57440,South Dakota,County_574,,
57445,City_57445,South Dakota,County_574,,
57450,City_57450,South Dakota,County_574,,
57455,City_57455,South Dakota,County_574,,
57460,City_57460,South Dakota,County_574,,
57465,City_57465,South Dakota,County_574,,
57470,City_57470,South Dakota,County_574,,
57475,City_57475,South Dakota,County_574,,
57480,City_57480,South Dakota,County_574,,
57485,City_57485,South Dakota,County_574,,
57490,City_57490,South Dakota,County_574,,
57495,City_57495,South Dakota,County_574,,
57500,City_57500,South Dakota,County_575,,
57505,City_57505,South Dakota,County_575,,
57510,City_57510,South Dakota,County_575,,
57515,City_57515,South Dakota,County_575,,
57520,City_57520,South Dakota,County_575,,
57525,City_57525,South Dakota,County_575,,
57530,City_57530,South Dakota,County_575,,
57535,City_57535,South Dakota,County_575,,
57540,City_57540,South Dakota,County_575,,
57545,City_57545,South Dakota,County_575,,
57550,City_57550,South Dakota,County_575,,
57555,City_57555,South Dakota,County_575,,
57560,City_57560,South Dakota,County_575,,
57565,City_57565,South Dakota,County_575,,
57570,City_57570,South Dakota,County_575,,
57575,City_57575,South Dakota,County_575,,
57580,City_57580,South Dakota,County_575,,
57585,City_57585,South Dakota,County_575,,
