zip_code,city,state,county,latitude,longitude
37000,City_37000,Tennessee,County_370,,
37005,City_37005,Tennessee,County_370,,
37010,City_37010,Tennessee,County_370,,
37015,City_37015,Tennessee,County_370,,
37020,City_37020,Tennessee,County_370,,
37025,City_37025,Tennessee,County_370,,
37030,City_37030,Tennessee,County_370,,
37035,City_37035,Tennessee,County_370,,
37040,City_37040,Tennessee,County_370,,
37045,City_37045,Tennessee,County_370,,
37050,City_37050,Tennessee,County_370,,
37055,City_37055,Tennessee,County_370,,
37060,City_37060,Tennessee,County_370,,
37065,City_37065,Tennessee,County_370,,
37070,City_37070,Tennessee,County_370,,
37075,City_37075,Tennessee,County_370,,
37080,City_37080,Tennessee,County_370,,
37085,City_37085,Tennessee,County_370,,
37090,City_37090,Tennessee,County_370,,
37095,City_37095,Tennessee,County_370,,
37100,City_37100,Tennessee,County_371,,
37105,City_37105,Tennessee,County_371,,
37110,City_37110,Tennessee,County_371,,
37115,City_37115,Tennessee,County_371,,
37120,City_37120,Tennessee,County_371,,
37125,City_37125,Tennessee,County_371,,
37130,City_37130,Tennessee,County_371,,
37135,City_37135,Tennessee,County_371,,
37140,City_37140,Tennessee,County_371,,
37145,City_37145,Tennessee,County_371,,
37150,City_37150,Tennessee,County_371,,
37155,City_37155,Tennessee,County_371,,
37160,City_37160,Tennessee,County_371,,
37165,City_37165,Tennessee,County_371,,
37170,City_37170,Tennessee,County_371,,
37175,City_37175,Tennessee,County_371,,
37180,City_37180,Tennessee,County_371,,
37185,City_37185,Tennessee,County_371,,
37190,City_37190,Tennessee,County_371,,
37195,City_37195,Tennessee,County_371,,
37200,City_37200,Tennessee,County_372,,
37205,City_37205,Tennessee,County_372,,
37210,City_37210,Tennessee,County_372,,
37215,City_37215,Tennessee,County_372,,
37220,City_37220,Tennessee,County_372,,
37225,City_37225,Tennessee,County_372,,
37230,City_37230,Tennessee,County_372,,
37235,City_37235,Tennessee,County_372,,
37240,City_37240,Tennessee,County_372,,
37245,City_37245,Tennessee,County_372,,
37250,City_37250,Tennessee,County_372,,
37255,City_37255,Tennessee,County_372,,
37260,City_37260,Tennessee,County_372,,
37265,City_37265,Tennessee,County_372,,
37270,City_37270,Tennessee,County_372,,
37275,City_37275,Tennessee,County_372,,
37280,City_37280,Tennessee,County_372,,
37285,City_37285,Tennessee,County_372,,
37290,City_37290,Tennessee,County_372,,
37295,City_37295,Tennessee,County_372,,
37300,City_37300,Tennessee,County_373,,
37305,City_37305,Tennessee,County_373,,
37310,City_37310,Tennessee,County_373,,
37315,City_37315,Tennessee,County_373,,
37320,City_37320,Tennessee,County_373,,
37325,City_37325,Tennessee,County_373,,
37330,City_37330,Tennessee,County_373,,
37335,City_37335,Tennessee,County_373,,
37340,City_37340,Tennessee,County_373,,
37345,City_37345,Tennessee,County_373,,
37350,City_37350,Tennessee,County_373,,
37355,City_37355,Tennessee,County_373,,
37360,City_37360,Tennessee,County_373,,
37365,City_37365,Tennessee,County_373,,
37370,City_37370,Tennessee,County_373,,
37375,City_37375,Tennessee,County_373,,
37380,City_37380,Tennessee,County_373,,
37385,City_37385,Tennessee,County_373,,
37390,City_37390,Tennessee,County_373,,
37395,City_37395,Tennessee,County_373,,
37400,City_37400,Tennessee,County_374,,
37405,City_37405,Tennessee,County_374,,
37410,City_37410,Tennessee,County_374,,
37415,City_37415,Tennessee,County_374,,
37420,City_37420,Tennessee,County_374,,
37425,City_37425,Tennessee,County_374,,
37430,City_37430,Tennessee,County_374,,
37435,City_37435,Tennessee,County_374,,
37440,City_37440,Tennessee,County_374,,
37445,City_37445,Tennessee,County_374,,
37450,City_37450,Tennessee,County_374,,
37455,City_37455,Tennessee,County_374,,
37460,City_37460,Tennessee,County_374,,
37465,City_37465,Tennessee,County_374,,
37470,City_37470,Tennessee,County_374,,
37475,City_37475,Tennessee,County_374,,
37480,City_37480,Tennessee,County_374,,
37485,City_37485,Tennessee,County_374,,
37490,City_37490,Tennessee,County_374,,
37495,City_37495,Tennessee,County_374,,
37500,City_37500,Tennessee,County_375,,
37505,City_37505,Tennessee,County_375,,
37510,City_37510,Tennessee,County_375,,
37515,City_37515,Tennessee,County_375,,
37520,City_37520,Tennessee,County_375,,
37525,City_37525,Tennessee,County_375,,
37530,City_37530,Tennessee,County_375,,
37535,City_37535,Tennessee,County_375,,
37540,City_37540,Tennessee,County_375,,
37545,City_37545,Tennessee,County_375,,
37550,City_37550,Tennessee,County_375,,
37555,City_37555,Tennessee,County_375,,
37560,City_37560,Tennessee,County_375,,
37565,City_37565,Tennessee,County_375,,
37570,City_37570,Tennessee,County_375,,
37575,City_37575,Tennessee,County_375,,
37580,City_37580,Tennessee,County_375,,
37585,City_37585,Tennessee,County_375,,
37590,City_37590,Tennessee,County_375,,
37595,City_37595,Tennessee,County_375,,
37600,City_37600,Tennessee,County_376,,
37605,City_37605,Tennessee,County_376,,
37610,City_37610,Tennessee,County_376,,
37615,City_37615,Tennessee,County_376,,
37620,City_37620,Tennessee,County_376,,
37625,City_37625,Tennessee,County_376,,
37630,City_37630,Tennessee,County_376,,
37635,City_37635,Tennessee,County_376,,
37640,City_37640,Tennessee,County_376,,
37645,City_37645,Tennessee,County_376,,
37650,City_37650,Tennessee,County_376,,
37655,City_37655,Tennessee,County_376,,
37660,City_37660,Tennessee,County_376,,
37665,City_37665,Tennessee,County_376,,
37670,City_37670,Tennessee,County_376,,
37675,City_37675,Tennessee,County_376,,
37680,City_37680,Tennessee,County_376,,
37685,City_37685,Tennessee,County_376,,
37690,City_37690,Tennessee,County_376,,
37695,City_37695,Tennessee,County_376,,
37700,City_37700,Tennessee,County_377,,
37705,City_37705,Tennessee,County_377,,
37710,City_37710,Tennessee,County_377,,
37715,City_37715,Tennessee,County_377,,
37720,City_37720,Tennessee,County_377,,
37725,City_37725,Tennessee,County_377,,
37730,City_37730,Tennessee,County_377,,
37735,City_37735,Tennessee,County_377,,
37740,City_37740,Tennessee,County_377,,
37745,City_37745,Tennessee,County_377,,
37750,City_37750,Tennessee,County_377,,
37755,City_37755,Tennessee,County_377,,
37760,City_37760,Tennessee,County_377,,
37765,City_37765,Tennessee,County_377,,
37770,City_37770,Tennessee,County_377,,
37775,City_37775,Tennessee,County_377,,
37780,City_37780,Tennessee,County_377,,
37785,City_37785,Tennessee,County_377,,
