zip_code,city,state,county,latitude,longitude
75000,City_75000,Texas,County_750,,
75005,City_75005,Texas,County_750,,
75010,City_75010,Texas,County_750,,
75015,City_75015,Texas,County_750,,
75020,City_75020,Texas,County_750,,
75025,City_75025,Texas,County_750,,
75030,City_75030,Texas,County_750,,
75035,City_75035,Texas,County_750,,
75040,City_75040,Texas,County_750,,
75045,City_75045,Texas,County_750,,
75050,City_75050,Texas,County_750,,
75055,City_75055,Texas,County_750,,
75060,City_75060,Texas,County_750,,
75065,City_75065,Texas,County_750,,
75070,City_75070,Texas,County_750,,
75075,City_75075,Texas,County_750,,
75080,City_75080,Texas,County_750,,
75085,City_75085,Texas,County_750,,
75090,City_75090,Texas,County_750,,
75095,City_75095,Texas,County_750,,
75100,City_75100,Texas,County_751,,
75105,City_75105,Texas,County_751,,
75110,City_75110,Texas,County_751,,
75115,City_75115,Texas,County_751,,
75120,City_75120,Texas,County_751,,
75125,City_75125,Texas,County_751,,
75130,City_75130,Texas,County_751,,
75135,City_75135,Texas,County_751,,
75140,City_75140,Texas,County_751,,
75145,City_75145,Texas,County_751,,
75150,City_75150,Texas,County_751,,
75155,City_75155,Texas,County_751,,
75160,City_75160,Texas,County_751,,
75165,City_75165,Texas,County_751,,
75170,City_75170,Texas,County_751,,
75175,City_75175,Texas,County_751,,
75180,City_75180,Texas,County_751,,
75185,City_75185,Texas,County_751,,
75190,City_75190,Texas,County_751,,
75195,City_75195,Texas,County_751,,
75200,City_75200,Texas,County_752,,
75205,City_75205,Texas,County_752,,
75210,City_75210,Texas,County_752,,
75215,City_75215,Texas,County_752,,
75220,City_75220,Texas,County_752,,
75225,City_75225,Texas,County_752,,
75230,City_75230,Texas,County_752,,
75235,City_75235,Texas,County_752,,
75240,City_75240,Texas,County_752,,
75245,City_75245,Texas,County_752,,
75250,City_75250,Texas,County_752,,
75255,City_75255,Texas,County_752,,
75260,City_75260,Texas,County_752,,
75265,City_75265,Texas,County_752,,
75270,City_75270,Texas,County_752,,
75275,City_75275,Texas,County_752,,
75280,City_75280,Texas,County_752,,
75285,City_75285,Texas,County_752,,
75290,City_75290,Texas,County_752,,
75295,City_75295,Texas,County_752,,
75300,City_75300,Texas,County_753,,
75305,City_75305,Texas,County_753,,
75310,City_75310,Texas,County_753,,
75315,City_75315,Texas,County_753,,
75320,City_75320,Texas,County_753,,
75325,City_75325,Texas,County_753,,
75330,City_75330,Texas,County_753,,
75335,City_75335,Texas,County_753,,
75340,City_75340,Texas,County_753,,
75345,City_75345,Texas,County_753,,
75350,City_75350,Texas,County_753,,
75355,City_75355,Texas,County_753,,
75360,City_75360,Texas,County_753,,
75365,City_75365,Texas,County_753,,
75370,City_75370,Texas,County_753,,
75375,City_75375,Texas,County_753,,
75380,City_75380,Texas,County_753,,
75385,City_75385,Texas,County_753,,
75390,City_75390,Texas,County_753,,
75395,City_75395,Texas,County_753,,
75400,City_75400,Texas,County_754,,
75405,City_75405,Texas,County_754,,
75410,City_75410,Texas,County_754,,
75415,City_75415,Texas,County_754,,
75420,City_75420,Texas,County_754,,
75425,City_75425,Texas,County_754,,
75430,City_75430,Texas,County_754,,
75435,City_75435,Texas,County_754,,
75440,City_75440,Texas,County_754,,
75445,City_75445,Texas,County_754,,
75450,City_75450,Texas,County_754,,
75455,City_75455,Texas,County_754,,
75460,City_75460,Texas,County_754,,
75465,City_75465,Texas,County_754,,
75470,City_75470,Texas,County_754,,
75475,City_75475,Texas,County_754,,
75480,City_75480,Texas,County_754,,
75485,City_75485,Texas,County_754,,
75490,City_75490,Texas,County_754,,
75495,City_75495,Texas,County_754,,
75500,City_75500,Texas,County_755,,
75505,City_75505,Texas,County_755,,
75510,City_75510,Texas,County_755,,
75515,City_75515,Texas,County_755,,
75520,City_75520,Texas,County_755,,
75525,City_75525,Texas,County_755,,
75530,City_75530,Texas,County_755,,
75535,City_75535,Texas,County_755,,
75540,City_75540,Texas,County_755,,
75545,City_75545,Texas,County_755,,
75550,City_75550,Texas,County_755,,
75555,City_75555,Texas,County_755,,
75560,City_75560,Texas,County_755,,
75565,City_75565,Texas,County_755,,
75570,City_75570,Texas,County_755,,
75575,City_75575,Texas,County_755,,
75580,City_75580,Texas,County_755,,
75585,City_75585,Texas,County_755,,
75590,City_75590,Texas,County_755,,
75595,City_75595,Texas,County_755,,
75600,City_75600,Texas,County_756,,
75605,City_75605,Texas,County_756,,
75610,City_75610,Texas,County_756,,
75615,City_75615,Texas,County_756,,
75620,City_75620,Texas,County_756,,
75625,City_75625,Texas,County_756,,
75630,City_75630,Texas,County_756,,
75635,City_75635,Texas,County_756,,
75640,City_75640,Texas,County_756,,
75645,City_75645,Texas,County_756,,
75650,City_75650,Texas,County_756,,
75655,City_75655,Texas,County_756,,
75660,City_75660,Texas,County_756,,
75665,City_75665,Texas,County_756,,
75670,City_75670,Texas,County_756,,
75675,City_75675,Texas,County_756,,
75680,City_75680,Texas,County_756,,
75685,City_75685,Texas,County_756,,
75690,City_75690,Texas,County_756,,
75695,City_75695,Texas,County_756,,
75700,City_75700,Texas,County_757,,
75705,City_75705,Texas,County_757,,
75710,City_75710,Texas,County_757,,
75715,City_75715,Texas,County_757,,
75720,City_75720,Texas,County_757,,
75725,City_75725,Texas,County_757,,
75730,City_75730,Texas,County_757,,
75735,City_75735,Texas,County_757,,
75740,City_75740,Texas,County_757,,
75745,City_75745,Texas,County_757,,
75750,City_75750,Texas,County_757,,
75755,City_75755,Texas,County_757,,
75760,City_75760,Texas,County_757,,
75765,City_75765,Texas,County_757,,
75770,City_75770,Texas,County_757,,
75775,City_75775,Texas,County_757,,
75780,City_75780,Texas,County_757,,
75785,City_75785,Texas,County_757,,
75790,City_75790,Texas,County_757,,
75795,City_75795,Texas,County_757,,
75800,City_75800,Texas,County_758,,
75805,City_75805,Texas,County_758,,
75810,City_75810,Texas,County_758,,
75815,City_75815,Texas,County_758,,
75820,City_75820,Texas,County_758,,
75825,City_75825,Texas,County_758,,
75830,City_75830,Texas,County_758,,
75835,City_75835,Texas,County_758,,
75840,City_75840,Texas,County_758,,
75845,City_75845,Texas,County_758,,
75850,City_75850,Texas,County_758,,
75855,City_75855,Texas,County_758,,
75860,City_75860,Texas,County_758,,
75865,City_75865,Texas,County_758,,
75870,City_75870,Texas,County_758,,
75875,City_75875,Texas,County_758,,
75880,City_75880,Texas,County_758,,
75885,City_75885,Texas,County_758,,
75890,City_75890,Texas,County_758,,
75895,City_75895,Texas,County_758,,
75900,City_75900,Texas,County_759,,
75905,City_75905,Texas,County_759,,
75910,City_75910,Texas,County_759,,
75915,City_75915,Texas,County_759,,
75920,City_75920,Texas,County_759,,
75925,City_75925,Texas,County_759,,
75930,City_75930,Texas,County_759,,
75935,City_75935,Texas,County_759,,
75940,City_75940,Texas,County_759,,
75945,City_75945,Texas,County_759,,
75950,City_75950,Texas,County_759,,
75955,City_75955,Texas,County_759,,
75960,City_75960,Texas,County_759,,
75965,City_75965,Texas,County_759,,
75970,City_75970,Texas,County_759,,
75975,City_75975,Texas,County_759,,
75980,City_75980,Texas,County_759,,
75985,City_75985,Texas,County_759,,
75990,City_75990,Texas,County_759,,
75995,City_75995,Texas,County_759,,
76000,City_76000,Texas,County_760,,
76005,City_76005,Texas,County_760,,
76010,City_76010,Texas,County_760,,
76015,City_76015,Texas,County_760,,
76020,City_76020,Texas,County_760,,
76025,City_76025,Texas,County_760,,
76030,City_76030,Texas,County_760,,
76035,City_76035,Texas,County_760,,
76040,City_76040,Texas,County_760,,
76045,City_76045,Texas,County_760,,
76050,City_76050,Texas,County_760,,
76055,City_76055,Texas,County_760,,
76060,City_76060,Texas,County_760,,
76065,City_76065,Texas,County_760,,
76070,City_76070,Texas,County_760,,
76075,City_76075,Texas,County_760,,
76080,City_76080,Texas,County_760,,
76085,City_76085,Texas,County_760,,
76090,City_76090,Texas,County_760,,
76095,City_76095,Texas,County_760,,
76100,City_76100,Texas,County_761,,
76105,City_76105,Texas,County_761,,
76110,City_76110,Texas,County_761,,
76115,City_76115,Texas,County_761,,
76120,City_76120,Texas,County_761,,
76125,City_76125,Texas,County_761,,
76130,City_76130,Texas,County_761,,
76135,City_76135,Texas,County_761,,
76140,City_76140,Texas,County_761,,
76145,City_76145,Texas,County_761,,
76150,City_76150,Texas,County_761,,
76155,City_76155,Texas,County_761,,
76160,City_76160,Texas,County_761,,
76165,City_76165,Texas,County_761,,
76170,City_76170,Texas,County_761,,
76175,City_76175,Texas,County_761,,
76180,City_76180,Texas,County_761,,
76185,City_76185,Texas,County_761,,
76190,City_76190,Texas,County_761,,
76195,City_76195,Texas,County_761,,
76200,City_76200,Texas,County_762,,
76205,City_76205,Texas,County_762,,
76210,City_76210,Texas,County_762,,
76215,City_76215,Texas,County_762,,
76220,City_76220,Texas,County_762,,
76225,City_76225,Texas,County_762,,
76230,City_76230,Texas,County_762,,
76235,City_76235,Texas,County_762,,
76240,City_76240,Texas,County_762,,
76245,City_76245,Texas,County_762,,
76250,City_76250,Texas,County_762,,
76255,City_76255,Texas,County_762,,
76260,City_76260,Texas,County_762,,
76265,City_76265,Texas,County_762,,
76270,City_76270,Texas,County_762,,
76275,City_76275,Texas,County_762,,
76280,City_76280,Texas,County_762,,
76285,City_76285,Texas,County_762,,
76290,City_76290,Texas,County_762,,
76295,City_76295,Texas,County_762,,
76300,City_76300,Texas,County_763,,
76305,City_76305,Texas,County_763,,
76310,City_76310,Texas,County_763,,
76315,City_76315,Texas,County_763,,
76320,City_76320,Texas,County_763,,
76325,City_76325,Texas,County_763,,
76330,City_76330,Texas,County_763,,
76335,City_76335,Texas,County_763,,
76340,City_76340,Texas,County_763,,
76345,City_76345,Texas,County_763,,
76350,City_76350,Texas,County_763,,
76355,City_76355,Texas,County_763,,
76360,City_76360,Texas,County_763,,
76365,City_76365,Texas,County_763,,
76370,City_76370,Texas,County_763,,
76375,City_76375,Texas,County_763,,
76380,City_76380,Texas,County_763,,
76385,City_76385,Texas,County_763,,
76390,City_76390,Texas,County_763,,
76395,City_76395,Texas,County_763,,
76400,City_76400,Texas,County_764,,
76405,City_76405,Texas,County_764,,
76410,City_76410,Texas,County_764,,
76415,City_76415,Texas,County_764,,
76420,City_76420,Texas,County_764,,
76425,City_76425,Texas,County_764,,
76430,City_76430,Texas,County_764,,
76435,City_76435,Texas,County_764,,
76440,City_76440,Texas,County_764,,
76445,City_76445,Texas,County_764,,
76450,City_76450,Texas,County_764,,
76455,City_76455,Texas,County_764,,
76460,City_76460,Texas,County_764,,
76465,City_76465,Texas,County_764,,
76470,City_76470,Texas,County_764,,
76475,City_76475,Texas,County_764,,
76480,City_76480,Texas,County_764,,
76485,City_76485,Texas,County_764,,
76490,City_76490,Texas,County_764,,
76495,City_76495,Texas,County_764,,
76500,City_76500,Texas,County_765,,
76505,City_76505,Texas,County_765,,
76510,City_76510,Texas,County_765,,
76515,City_76515,Texas,County_765,,
76520,City_76520,Texas,County_765,,
76525,City_76525,Texas,County_765,,
76530,City_76530,Texas,County_765,,
76535,City_76535,Texas,County_765,,
76540,City_76540,Texas,County_765,,
76545,City_76545,Texas,County_765,,
76550,City_76550,Texas,County_765,,
76555,City_76555,Texas,County_765,,
76560,City_76560,Texas,County_765,,
76565,City_76565,Texas,County_765,,
76570,City_76570,Texas,County_765,,
76575,City_76575,Texas,County_765,,
76580,City_76580,Texas,County_765,,
76585,City_76585,Texas,County_765,,
76590,City_76590,Texas,County_765,,
76595,City_76595,Texas,County_765,,
76600,City_76600,Texas,County_766,,
76605,City_76605,Texas,County_766,,
76610,City_76610,Texas,County_766,,
76615,City_76615,Texas,County_766,,
76620,City_76620,Texas,County_766,,
76625,City_76625,Texas,County_766,,
76630,City_76630,Texas,County_766,,
76635,City_76635,Texas,County_766,,
76640,City_76640,Texas,County_766,,
