zip_code,city,state,county,latitude,longitude
84000,City_84000,Utah,County_840,,
84005,City_84005,Utah,County_840,,
84010,City_84010,Utah,County_840,,
84015,City_84015,Utah,County_840,,
84020,City_84020,Utah,County_840,,
84025,City_84025,Utah,County_840,,
84030,City_84030,Utah,County_840,,
84035,City_84035,Utah,County_840,,
84040,City_84040,Utah,County_840,,
84045,City_84045,Utah,County_840,,
84050,City_84050,Utah,County_840,,
84055,City_84055,Utah,County_840,,
84060,City_84060,Utah,County_840,,
84065,City_84065,Utah,County_840,,
84070,City_84070,Utah,County_840,,
84075,City_84075,Utah,County_840,,
84080,City_84080,Utah,County_840,,
84085,City_84085,Utah,County_840,,
84090,City_84090,Utah,County_840,,
84095,City_84095,Utah,County_840,,
84100,City_84100,Utah,County_841,,
84105,City_84105,Utah,County_841,,
84110,City_84110,Utah,County_841,,
84115,City_84115,Utah,County_841,,
84120,City_84120,Utah,County_841,,
84125,City_84125,Utah,County_841,,
84130,City_84130,Utah,County_841,,
84135,City_84135,Utah,County_841,,
84140,City_84140,Utah,County_841,,
84145,City_84145,Utah,County_841,,
84150,City_84150,Utah,County_841,,
84155,City_84155,Utah,County_841,,
84160,City_84160,Utah,County_841,,
84165,City_84165,Utah,County_841,,
84170,City_84170,Utah,County_841,,
84175,City_84175,Utah,County_841,,
84180,City_84180,Utah,County_841,,
84185,City_84185,Utah,County_841,,
84190,City_84190,Utah,County_841,,
84195,City_84195,Utah,County_841,,
84200,City_84200,Utah,County_842,,
84205,City_84205,Utah,County_842,,
84210,City_84210,Utah,County_842,,
84215,City_84215,Utah,County_842,,
84220,City_84220,Utah,County_842,,
84225,City_84225,Utah,County_842,,
84230,City_84230,Utah,County_842,,
84235,City_84235,Utah,County_842,,
84240,City_84240,Utah,County_842,,
84245,City_84245,Utah,County_842,,
84250,City_84250,Utah,County_842,,
84255,City_84255,Utah,County_842,,
84260,City_84260,Utah,County_842,,
84265,City_84265,Utah,County_842,,
84270,City_84270,Utah,County_842,,
84275,City_84275,Utah,County_842,,
84280,City_84280,Utah,County_842,,
84285,City_84285,Utah,County_842,,
84290,City_84290,Utah,County_842,,
84295,City_84295,Utah,County_842,,
84300,City_84300,Utah,County_843,,
84305,City_84305,Utah,County_843,,
84310,City_84310,Utah,County_843,,
84315,City_84315,Utah,County_843,,
84320,City_84320,Utah,County_843,,
84325,City_84325,Utah,County_843,,
84330,City_84330,Utah,County_843,,
84335,City_84335,Utah,County_843,,
84340,City_84340,Utah,County_843,,
84345,City_84345,Utah,County_843,,
84350,City_84350,Utah,County_843,,
84355,City_84355,Utah,County_843,,
84360,City_84360,Utah,County_843,,
84365,City_84365,Utah,County_843,,
84370,City_84370,Utah,County_843,,
84375,City_84375,Utah,County_843,,
84380,City_84380,Utah,County_843,,
84385,City_84385,Utah,County_843,,
84390,City_84390,Utah,County_843,,
84395,City_84395,Utah,County_843,,
84400,City_84400,Utah,County_844,,
84405,City_84405,Utah,County_844,,
84410,City_84410,Utah,County_844,,
84415,City_84415,Utah,County_844,,
84420,City_84420,Utah,County_844,,
84425,City_84425,Utah,County_844,,
84430,City_84430,Utah,County_844,,
84435,City_84435,Utah,County_844,,
84440,City_84440,Utah,County_844,,
84445,City_84445,Utah,County_844,,
84450,City_84450,Utah,County_844,,
84455,City_84455,Utah,County_844,,
84460,City_84460,Utah,County_844,,
84465,City_84465,Utah,County_844,,
84470,City_84470,Utah,County_844,,
84475,City_84475,Utah,County_844,,
84480,City_84480,Utah,County_844,,
84485,City_84485,Utah,County_844,,
84490,City_84490,Utah,County_844,,
84495,City_84495,Utah,County_844,,
84500,City_84500,Utah,County_845,,
84505,City_84505,Utah,County_845,,
84510,City_84510,Utah,County_845,,
84515,City_84515,Utah,County_845,,
84520,City_84520,Utah,County_845,,
84525,City_84525,Utah,County_845,,
84530,City_84530,Utah,County_845,,
84535,City_84535,Utah,County_845,,
84540,City_84540,Utah,County_845,,
84545,City_84545,Utah,County_845,,
84550,City_84550,Utah,County_845,,
84555,City_84555,Utah,County_845,,
84560,City_84560,Utah,County_845,,
84565,City_84565,Utah,County_845,,
84570,City_84570,Utah,County_845,,
84575,City_84575,Utah,County_845,,
84580,City_84580,Utah,County_845,,
84585,City_84585,Utah,County_845,,
84590,City_84590,Utah,County_845,,
84595,City_84595,Utah,County_845,,
84600,City_84600,Utah,County_846,,
84605,City_84605,Utah,County_846,,
84610,City_84610,Utah,County_846,,
84615,City_84615,Utah,County_846,,
84620,City_84620,Utah,County_846,,
84625,City_84625,Utah,County_846,,
84630,City_84630,Utah,County_846,,
84635,City_84635,Utah,County_846,,
84640,City_84640,Utah,County_846,,
84645,City_84645,Utah,County_846,,
84650,City_84650,Utah,County_846,,
84655,City_84655,Utah,County_846,,
84660,City_84660,Utah,County_846,,
84665,City_84665,Utah,County_846,,
84670,City_84670,Utah,County_846,,
84675,City_84675,Utah,County_846,,
84680,City_84680,Utah,County_846,,
84685,City_84685,Utah,County_846,,
84690,City_84690,Utah,County_846,,
84695,City_84695,Utah,County_846,,
84700,City_84700,Utah,County_847,,
84705,City_84705,Utah,County_847,,
84710,City_84710,Utah,County_847,,
84715,City_84715,Utah,County_847,,
84720,City_84720,Utah,County_847,,
84725,City_84725,Utah,County_847,,
84730,City_84730,Utah,County_847,,
84735,City_84735,Utah,County_847,,
84740,City_84740,Utah,County_847,,
84745,City_84745,Utah,County_847,,
84750,City_84750,Utah,County_847,,
