zip_code,city,state,county,latitude,longitude
05000,City_05000,Vermont,County_050,,
05005,City_05005,Vermont,County_050,,
05010,City_05010,Vermont,County_050,,
05015,City_05015,Vermont,County_050,,
05020,City_05020,Vermont,County_050,,
05025,City_05025,Vermont,County_050,,
05030,City_05030,Vermont,County_050,,
05035,City_05035,Vermont,County_050,,
05040,City_05040,Vermont,County_050,,
05045,City_05045,Vermont,County_050,,
05050,City_05050,Vermont,County_050,,
05055,City_05055,Vermont,County_050,,
05060,City_05060,Vermont,County_050,,
05065,City_05065,Vermont,County_050,,
05070,City_05070,Vermont,County_050,,
05075,City_05075,Vermont,County_050,,
05080,City_05080,Vermont,County_050,,
05085,City_05085,Vermont,County_050,,
05090,City_05090,Vermont,County_050,,
05095,City_05095,Vermont,County_050,,
05100,City_05100,Vermont,County_051,,
05105,City_05105,Vermont,County_051,,
05110,City_05110,Vermont,County_051,,
05115,City_05115,Vermont,County_051,,
05120,City_05120,Vermont,County_051,,
05125,City_05125,Vermont,County_051,,
05130,City_05130,Vermont,County_051,,
05135,City_05135,Vermont,County_051,,
05140,City_05140,Vermont,County_051,,
05145,City_05145,Vermont,County_051,,
05150,City_05150,Vermont,County_051,,
05155,City_05155,Vermont,County_051,,
05160,City_05160,Vermont,County_051,,
05165,City_05165,Vermont,County_051,,
05170,City_05170,Vermont,County_051,,
05175,City_05175,Vermont,County_051,,
05180,City_05180,Vermont,County_051,,
05185,City_05185,Vermont,County_051,,
05190,City_05190,Vermont,County_051,,
05195,City_05195,Vermont,County_051,,
05200,City_05200,Vermont,County_052,,
05205,City_05205,Vermont,County_052,,
05210,City_05210,Vermont,County_052,,
05215,City_05215,Vermont,County_052,,
05220,City_05220,Vermont,County_052,,
05225,City_05225,Vermont,County_052,,
05230,City_05230,Vermont,County_052,,
05235,City_05235,Vermont,County_052,,
05240,City_05240,Vermont,County_052,,
05245,City_05245,Vermont,County_052,,
05250,City_05250,Vermont,County_052,,
05255,City_05255,Vermont,County_052,,
05260,City_05260,Vermont,County_052,,
05265,City_05265,Vermont,County_052,,
05270,City_05270,Vermont,County_052,,
05275,City_05275,Vermont,County_052,,
05280,City_05280,Vermont,County_052,,
05285,City_05285,Vermont,County_052,,
05290,City_05290,Vermont,County_052,,
05295,City_05295,Vermont,County_052,,
05300,City_05300,Vermont,County_053,,
05305,City_05305,Vermont,County_053,,
05310,City_05310,Vermont,County_053,,
05315,City_05315,Vermont,County_053,,
05320,City_05320,Vermont,County_053,,
05325,City_05325,Vermont,County_053,,
05330,City_05330,Vermont,County_053,,
05335,City_05335,Vermont,County_053,,
05340,City_05340,Vermont,County_053,,
05345,City_05345,Vermont,County_053,,
05350,City_05350,Vermont,County_053,,
05355,City_05355,Vermont,County_053,,
05360,City_05360,Vermont,County_053,,
05365,City_05365,Vermont,County_053,,
05370,City_05370,Vermont,County_053,,
05375,City_05375,Vermont,County_053,,
05380,City_05380,Vermont,County_053,,
05385,City_05385,Vermont,County_053,,
05390,City_05390,Vermont,County_053,,
05395,City_05395,Vermont,County_053,,
05400,City_05400,Vermont,County_054,,
05405,City_05405,Vermont,County_054,,
05410,City_05410,Vermont,County_054,,
05415,City_05415,Vermont,County_054,,
05420,City_05420,Vermont,County_054,,
05425,City_05425,Vermont,County_054,,
05430,City_05430,Vermont,County_054,,
05435,City_05435,Vermont,County_054,,
05440,City_05440,Vermont,County_054,,
05445,City_05445,Vermont,County_054,,
05450,City_05450,Vermont,County_054,,
05455,City_05455,Vermont,County_054,,
05460,City_05460,Vermont,County_054,,
05465,City_05465,Vermont,County_054,,
05470,City_05470,Vermont,County_054,,
05475,City_05475,Vermont,County_054,,
05480,City_05480,Vermont,County_054,,
05485,City_05485,Vermont,County_054,,
05490,City_05490,Vermont,County_054,,
05495,City_05495,Vermont,County_054,,
05500,City_05500,Vermont,County_055,,
05505,City_05505,Vermont,County_055,,
05510,City_05510,Vermont,County_055,,
05515,City_05515,Vermont,County_055,,
05520,City_05520,Vermont,County_055,,
05525,City_05525,Vermont,County_055,,
05530,City_05530,Vermont,County_055,,
05535,City_05535,Vermont,County_055,,
05540,City_05540,Vermont,County_055,,
05545,City_05545,Vermont,County_055,,
05550,City_05550,Vermont,County_055,,
05555,City_05555,Vermont,County_055,,
05560,City_05560,Vermont,County_055,,
05565,City_05565,Vermont,County_055,,
05570,City_05570,Vermont,County_055,,
05575,City_05575,Vermont,County_055,,
05580,City_05580,Vermont,County_055,,
05585,City_05585,Vermont,County_055,,
05590,City_05590,Vermont,County_055,,
05595,City_05595,Vermont,County_055,,
05600,City_05600,Vermont,County_056,,
05605,City_05605,Vermont,County_056,,
05610,City_05610,Vermont,County_056,,
05615,City_05615,Vermont,County_056,,
05620,City_05620,Vermont,County_056,,
05625,City_05625,Vermont,County_056,,
05630,City_05630,Vermont,County_056,,
05635,City_05635,Vermont,County_056,,
05640,City_05640,Vermont,County_056,,
05645,City_05645,Vermont,County_056,,
05650,City_05650,Vermont,County_056,,
05655,City_05655,Vermont,County_056,,
05660,City_05660,Vermont,County_056,,
05665,City_05665,Vermont,County_056,,
05670,City_05670,Vermont,County_056,,
05675,City_05675,Vermont,County_056,,
05680,City_05680,Vermont,County_056,,
05685,City_05685,Vermont,County_056,,
05690,City_05690,Vermont,County_056,,
05695,City_05695,Vermont,County_056,,
05700,City_05700,Vermont,County_057,,
05705,City_05705,Vermont,County_057,,
05710,City_05710,Vermont,County_057,,
05715,City_05715,Vermont,County_057,,
05720,City_05720,Vermont,County_057,,
05725,City_05725,Vermont,County_057,,
05730,City_05730,Vermont,County_057,,
05735,City_05735,Vermont,County_057,,
05740,City_05740,Vermont,County_057,,
05745,City_05745,Vermont,County_057,,
05750,City_05750,Vermont,County_057,,
05755,City_05755,Vermont,County_057,,
05760,City_05760,Vermont,County_057,,
05765,City_05765,Vermont,County_057,,
05770,City_05770,Vermont,County_057,,
05775,City_05775,Vermont,County_057,,
05780,City_05780,Vermont,County_057,,
05785,City_05785,Vermont,County_057,,
