zip_code,city,state,county,latitude,longitude
22000,City_22000,Virginia,County_220,,
22005,City_22005,Virginia,County_220,,
22010,City_22010,Virginia,County_220,,
22015,City_22015,Virginia,County_220,,
22020,City_22020,Virginia,County_220,,
22025,City_22025,Virginia,County_220,,
22030,City_22030,Virginia,County_220,,
22035,City_22035,Virginia,County_220,,
22040,City_22040,Virginia,County_220,,
22045,City_22045,Virginia,County_220,,
22050,City_22050,Virginia,County_220,,
22055,City_22055,Virginia,County_220,,
22060,City_22060,Virginia,County_220,,
22065,City_22065,Virginia,County_220,,
22070,City_22070,Virginia,County_220,,
22075,City_22075,Virginia,County_220,,
22080,City_22080,Virginia,County_220,,
22085,City_22085,Virginia,County_220,,
22090,City_22090,Virginia,County_220,,
22095,City_22095,Virginia,County_220,,
22100,City_22100,Virginia,County_221,,
22105,City_22105,Virginia,County_221,,
22110,City_22110,Virginia,County_221,,
22115,City_22115,Virginia,County_221,,
22120,City_22120,Virginia,County_221,,
22125,City_22125,Virginia,County_221,,
22130,City_22130,Virginia,County_221,,
22135,City_22135,Virginia,County_221,,
22140,City_22140,Virginia,County_221,,
22145,City_22145,Virginia,County_221,,
22150,City_22150,Virginia,County_221,,
22155,City_22155,Virginia,County_221,,
22160,City_22160,Virginia,County_221,,
22165,City_22165,Virginia,County_221,,
22170,City_22170,Virginia,County_221,,
22175,City_22175,Virginia,County_221,,
22180,City_22180,Virginia,County_221,,
22185,City_22185,Virginia,County_221,,
22190,City_22190,Virginia,County_221,,
22195,City_22195,Virginia,County_221,,
22200,City_22200,Virginia,County_222,,
22205,City_22205,Virginia,County_222,,
22210,City_22210,Virginia,County_222,,
22215,City_22215,Virginia,County_222,,
22220,City_22220,Virginia,County_222,,
22225,City_22225,Virginia,County_222,,
22230,City_22230,Virginia,County_222,,
22235,City_22235,Virginia,County_222,,
22240,City_22240,Virginia,County_222,,
22245,City_22245,Virginia,County_222,,
22250,City_22250,Virginia,County_222,,
22255,City_22255,Virginia,County_222,,
22260,City_22260,Virginia,County_222,,
22265,City_22265,Virginia,County_222,,
22270,City_22270,Virginia,County_222,,
22275,City_22275,Virginia,County_222,,
22280,City_22280,Virginia,County_222,,
22285,City_22285,Virginia,County_222,,
22290,City_22290,Virginia,County_222,,
22295,City_22295,Virginia,County_222,,
22300,City_22300,Virginia,County_223,,
22305,City_22305,Virginia,County_223,,
22310,City_22310,Virginia,County_223,,
22315,City_22315,Virginia,County_223,,
22320,City_22320,Virginia,County_223,,
22325,City_22325,Virginia,County_223,,
22330,City_22330,Virginia,County_223,,
22335,City_22335,Virginia,County_223,,
22340,City_22340,Virginia,County_223,,
22345,City_22345,Virginia,County_223,,
22350,City_22350,Virginia,County_223,,
22355,City_22355,Virginia,County_223,,
22360,City_22360,Virginia,County_223,,
22365,City_22365,Virginia,County_223,,
22370,City_22370,Virginia,County_223,,
22375,City_22375,Virginia,County_223,,
22380,City_22380,Virginia,County_223,,
22385,City_22385,Virginia,County_223,,
22390,City_22390,Virginia,County_223,,
22395,City_22395,Virginia,County_223,,
22400,City_22400,Virginia,County_224,,
22405,City_22405,Virginia,County_224,,
22410,City_22410,Virginia,County_224,,
22415,City_22415,Virginia,County_224,,
22420,City_22420,Virginia,County_224,,
22425,City_22425,Virginia,County_224,,
22430,City_22430,Virginia,County_224,,
22435,City_22435,Virginia,County_224,,
22440,City_22440,Virginia,County_224,,
22445,City_22445,Virginia,County_224,,
22450,City_22450,Virginia,County_224,,
22455,City_22455,Virginia,County_224,,
22460,City_22460,Virginia,County_224,,
22465,City_22465,Virginia,County_224,,
22470,City_22470,Virginia,County_224,,
22475,City_22475,Virginia,County_224,,
22480,City_22480,Virginia,County_224,,
22485,City_22485,Virginia,County_224,,
22490,City_22490,Virginia,County_224,,
22495,City_22495,Virginia,County_224,,
22500,City_22500,Virginia,County_225,,
22505,City_22505,Virginia,County_225,,
22510,City_22510,Virginia,County_225,,
22515,City_22515,Virginia,County_225,,
22520,City_22520,Virginia,County_225,,
22525,City_22525,Virginia,County_225,,
22530,City_22530,Virginia,County_225,,
22535,City_22535,Virginia,County_225,,
22540,City_22540,Virginia,County_225,,
22545,City_22545,Virginia,County_225,,
22550,City_22550,Virginia,County_225,,
22555,City_22555,Virginia,County_225,,
22560,City_22560,Virginia,County_225,,
22565,City_22565,Virginia,County_225,,
22570,City_22570,Virginia,County_225,,
22575,City_22575,Virginia,County_225,,
22580,City_22580,Virginia,County_225,,
22585,City_22585,Virginia,County_225,,
22590,City_22590,Virginia,County_225,,
22595,City_22595,Virginia,County_225,,
22600,City_22600,Virginia,County_226,,
22605,City_22605,Virginia,County_226,,
22610,City_22610,Virginia,County_226,,
22615,City_22615,Virginia,County_226,,
22620,City_22620,Virginia,County_226,,
22625,City_22625,Virginia,County_226,,
22630,City_22630,Virginia,County_226,,
22635,City_22635,Virginia,County_226,,
22640,City_22640,Virginia,County_226,,
22645,City_22645,Virginia,County_226,,
22650,City_22650,Virginia,County_226,,
22655,City_22655,Virginia,County_226,,
22660,City_22660,Virginia,County_226,,
22665,City_22665,Virginia,County_226,,
22670,City_22670,Virginia,County_226,,
22675,City_22675,Virginia,County_226,,
22680,City_22680,Virginia,County_226,,
22685,City_22685,Virginia,County_226,,
22690,City_22690,Virginia,County_226,,
22695,City_22695,Virginia,County_226,,
22700,City_22700,Virginia,County_227,,
22705,City_22705,Virginia,County_227,,
22710,City_22710,Virginia,County_227,,
22715,City_22715,Virginia,County_227,,
22720,City_22720,Virginia,County_227,,
22725,City_22725,Virginia,County_227,,
22730,City_22730,Virginia,County_227,,
22735,City_22735,Virginia,County_227,,
22740,City_22740,Virginia,County_227,,
22745,City_22745,Virginia,County_227,,
22750,City_22750,Virginia,County_227,,
22755,City_22755,Virginia,County_227,,
22760,City_22760,Virginia,County_227,,
22765,City_22765,Virginia,County_227,,
22770,City_22770,Virginia,County_227,,
22775,City_22775,Virginia,County_227,,
22780,City_22780,Virginia,County_227,,
22785,City_22785,Virginia,County_227,,
22790,City_22790,Virginia,County_227,,
22795,City_22795,Virginia,County_227,,
22800,City_22800,Virginia,County_228,,
22805,City_22805,Virginia,County_228,,
22810,City_22810,Virginia,County_228,,
22815,City_22815,Virginia,County_228,,
22820,City_22820,Virginia,County_228,,
22825,City_22825,Virginia,County_228,,
22830,City_22830,Virginia,County_228,,
22835,City_22835,Virginia,County_228,,
22840,City_22840,Virginia,County_228,,
22845,City_22845,Virginia,County_228,,
22850,City_22850,Virginia,County_228,,
22855,City_22855,Virginia,County_228,,
22860,City_22860,Virginia,County_228,,
22865,City_22865,Virginia,County_228,,
22870,City_22870,Virginia,County_228,,
22875,City_22875,Virginia,County_228,,
22880,City_22880,Virginia,County_228,,
22885,City_22885,Virginia,County_228,,
22890,City_22890,Virginia,County_228,,
22895,City_22895,Virginia,County_228,,
22900,City_22900,Virginia,County_229,,
22905,City_22905,Virginia,County_229,,
22910,City_22910,Virginia,County_229,,
22915,City_22915,Virginia,County_229,,
22920,City_22920,Virginia,County_229,,
22925,City_22925,Virginia,County_229,,
22930,City_22930,Virginia,County_229,,
22935,City_22935,Virginia,County_229,,
22940,City_22940,Virginia,County_229,,
22945,City_22945,Virginia,County_229,,
22950,City_22950,Virginia,County_229,,
22955,City_22955,Virginia,County_229,,
22960,City_22960,Virginia,County_229,,
22965,City_22965,Virginia,County_229,,
22970,City_22970,Virginia,County_229,,
22975,City_22975,Virginia,County_229,,
