zip_code,city,state,county,latitude,longitude
98000,City_98000,Washington,County_980,,
98005,City_98005,Washington,County_980,,
98010,City_98010,Washington,County_980,,
98015,City_98015,Washington,County_980,,
98020,City_98020,Washington,County_980,,
98025,City_98025,Washington,County_980,,
98030,City_98030,Washington,County_980,,
98035,City_98035,Washington,County_980,,
98040,City_98040,Washington,County_980,,
98045,City_98045,Washington,County_980,,
98050,City_98050,Washington,County_980,,
98055,City_98055,Washington,County_980,,
98060,City_98060,Washington,County_980,,
98065,City_98065,Washington,County_980,,
98070,City_98070,Washington,County_980,,
98075,City_98075,Washington,County_980,,
98080,City_98080,Washington,County_980,,
98085,City_98085,Washington,County_980,,
98090,City_98090,Washington,County_980,,
98095,City_98095,Washington,County_980,,
98100,City_98100,Washington,County_981,,
98105,City_98105,Washington,County_981,,
98110,City_98110,Washington,County_981,,
98115,City_98115,Washington,County_981,,
98120,City_98120,Washington,County_981,,
98125,City_98125,Washington,County_981,,
98130,City_98130,Washington,County_981,,
98135,City_98135,Washington,County_981,,
98140,City_98140,Washington,County_981,,
98145,City_98145,Washington,County_981,,
98150,City_98150,Washington,County_981,,
98155,City_98155,Washington,County_981,,
98160,City_98160,Washington,County_981,,
98165,City_98165,Washington,County_981,,
98170,City_98170,Washington,County_981,,
98175,City_98175,Washington,County_981,,
98180,City_98180,Washington,County_981,,
98185,City_98185,Washington,County_981,,
98190,City_98190,Washington,County_981,,
98195,City_98195,Washington,County_981,,
98200,City_98200,Washington,County_982,,
98205,City_98205,Washington,County_982,,
98210,City_98210,Washington,County_982,,
98215,City_98215,Washington,County_982,,
98220,City_98220,Washington,County_982,,
98225,City_98225,Washington,County_982,,
98230,City_98230,Washington,County_982,,
98235,City_98235,Washington,County_982,,
98240,City_98240,Washington,County_982,,
98245,City_98245,Washington,County_982,,
98250,City_98250,Washington,County_982,,
98255,City_98255,Washington,County_982,,
98260,City_98260,Washington,County_982,,
98265,City_98265,Washington,County_982,,
98270,City_98270,Washington,County_982,,
98275,City_98275,Washington,County_982,,
98280,City_98280,Washington,County_982,,
98285,City_98285,Washington,County_982,,
98290,City_98290,Washington,County_982,,
98295,City_98295,Washington,County_982,,
98300,City_98300,Washington,County_983,,
98305,City_98305,Washington,County_983,,
98310,City_98310,Washington,County_983,,
98315,City_98315,Washington,County_983,,
98320,City_98320,Washington,County_983,,
98325,City_98325,Washington,County_983,,
98330,City_98330,Washington,County_983,,
98335,City_98335,Washington,County_983,,
98340,City_98340,Washington,County_983,,
98345,City_98345,Washington,County_983,,
98350,City_98350,Washington,County_983,,
98355,City_98355,Washington,County_983,,
98360,City_98360,Washington,County_983,,
98365,City_98365,Washington,County_983,,
98370,City_98370,Washington,County_983,,
98375,City_98375,Washington,County_983,,
98380,City_98380,Washington,County_983,,
98385,City_98385,Washington,County_983,,
98390,City_98390,Washington,County_983,,
98395,City_98395,Washington,County_983,,
98400,City_98400,Washington,County_984,,
98405,City_98405,Washington,County_984,,
98410,City_98410,Washington,County_984,,
98415,City_98415,Washington,County_984,,
98420,City_98420,Washington,County_984,,
98425,City_98425,Washington,County_984,,
98430,City_98430,Washington,County_984,,
98435,City_98435,Washington,County_984,,
98440,City_98440,Washington,County_984,,
98445,City_98445,Washington,County_984,,
98450,City_98450,Washington,County_984,,
