zip_code,city,state,county,latitude,longitude
24700,City_24700,West Virginia,County_247,,
24705,City_24705,West Virginia,County_247,,
24710,City_24710,West Virginia,County_247,,
24715,City_24715,West Virginia,County_247,,
24720,City_24720,West Virginia,County_247,,
24725,City_24725,West Virginia,County_247,,
24730,City_24730,West Virginia,County_247,,
24735,City_24735,West Virginia,County_247,,
24740,City_24740,West Virginia,County_247,,
24745,City_24745,West Virginia,County_247,,
24750,City_24750,West Virginia,County_247,,
24755,City_24755,West Virginia,County_247,,
24760,City_24760,West Virginia,County_247,,
24765,City_24765,West Virginia,County_247,,
24770,City_24770,West Virginia,County_247,,
24775,City_24775,West Virginia,County_247,,
24780,City_24780,West Virginia,County_247,,
24785,City_24785,West Virginia,County_247,,
24790,City_24790,West Virginia,County_247,,
24795,City_24795,West Virginia,County_247,,
24800,City_24800,West Virginia,County_248,,
24805,City_24805,West Virginia,County_248,,
24810,City_24810,West Virginia,County_248,,
24815,City_24815,West Virginia,County_248,,
24820,City_24820,West Virginia,County_248,,
24825,City_24825,West Virginia,County_248,,
24830,City_24830,West Virginia,County_248,,
24835,City_24835,West Virginia,County_248,,
24840,City_24840,West Virginia,County_248,,
24845,City_24845,West Virginia,County_248,,
24850,City_24850,West Virginia,County_248,,
24855,City_24855,West Virginia,County_248,,
24860,City_24860,West Virginia,County_248,,
24865,City_24865,West Virginia,County_248,,
24870,City_24870,West Virginia,County_248,,
24875,City_24875,West Virginia,County_248,,
24880,City_24880,West Virginia,County_248,,
24885,City_24885,West Virginia,County_248,,
24890,City_24890,West Virginia,County_248,,
24895,City_24895,West Virginia,County_248,,
24900,City_24900,West Virginia,County_249,,
24905,City_24905,West Virginia,County_249,,
24910,City_24910,West Virginia,County_249,,
24915,City_24915,West Virginia,County_249,,
24920,City_24920,West Virginia,County_249,,
24925,City_24925,West Virginia,County_249,,
24930,City_24930,West Virginia,County_249,,
24935,City_24935,West Virginia,County_249,,
24940,City_24940,West Virginia,County_249,,
24945,City_24945,West Virginia,County_249,,
24950,City_24950,West Virginia,County_249,,
24955,City_24955,West Virginia,County_249,,
24960,City_24960,West Virginia,County_249,,
24965,City_24965,West Virginia,County_249,,
24970,City_24970,West Virginia,County_249,,
24975,City_24975,West Virginia,County_249,,
24980,City_24980,West Virginia,County_249,,
24985,City_24985,West Virginia,County_249,,
24990,City_24990,West Virginia,County_249,,
24995,City_24995,West Virginia,County_249,,
25000,City_25000,West Virginia,County_250,,
25005,City_25005,West Virginia,County_250,,
25010,City_25010,West Virginia,County_250,,
25015,City_25015,West Virginia,County_250,,
25020,City_25020,West Virginia,County_250,,
25025,City_25025,West Virginia,County_250,,
25030,City_25030,West Virginia,County_250,,
25035,City_25035,West Virginia,County_250,,
25040,City_25040,West Virginia,County_250,,
25045,City_25045,West Virginia,County_250,,
25050,City_25050,West Virginia,County_250,,
25055,City_25055,West Virginia,County_250,,
25060,City_25060,West Virginia,County_250,,
25065,City_25065,West Virginia,County_250,,
25070,City_25070,West Virginia,County_250,,
25075,City_25075,West Virginia,County_250,,
25080,City_25080,West Virginia,County_250,,
25085,City_25085,West Virginia,County_250,,
25090,City_25090,West Virginia,County_250,,
25095,City_25095,West Virginia,County_250,,
25100,City_25100,West Virginia,County_251,,
25105,City_25105,West Virginia,County_251,,
25110,City_25110,West Virginia,County_251,,
25115,City_25115,West Virginia,County_251,,
25120,City_25120,West Virginia,County_251,,
25125,City_25125,West Virginia,County_251,,
25130,City_25130,West Virginia,County_251,,
25135,City_25135,West Virginia,County_251,,
25140,City_25140,West Virginia,County_251,,
25145,City_25145,West Virginia,County_251,,
25150,City_25150,West Virginia,County_251,,
25155,City_25155,West Virginia,County_251,,
25160,City_25160,West Virginia,County_251,,
25165,City_25165,West Virginia,County_251,,
25170,City_25170,West Virginia,County_251,,
25175,City_25175,West Virginia,County_251,,
25180,City_25180,West Virginia,County_251,,
25185,City_25185,West Virginia,County_251,,
25190,City_25190,West Virginia,County_251,,
25195,City_25195,West Virginia,County_251,,
25200,City_25200,West Virginia,County_252,,
25205,City_25205,West Virginia,County_252,,
25210,City_25210,West Virginia,County_252,,
25215,City_25215,West Virginia,County_252,,
