zip_code,city,state,county,latitude,longitude
53000,City_53000,Wisconsin,County_530,,
53005,City_53005,Wisconsin,County_530,,
53010,City_53010,Wisconsin,County_530,,
53015,City_53015,Wisconsin,County_530,,
53020,City_53020,Wisconsin,County_530,,
53025,City_53025,Wisconsin,County_530,,
53030,City_53030,Wisconsin,County_530,,
53035,City_53035,Wisconsin,County_530,,
53040,City_53040,Wisconsin,County_530,,
53045,City_53045,Wisconsin,County_530,,
53050,City_53050,Wisconsin,County_530,,
53055,City_53055,Wisconsin,County_530,,
53060,City_53060,Wisconsin,County_530,,
53065,City_53065,Wisconsin,County_530,,
53070,City_53070,Wisconsin,County_530,,
53075,City_53075,Wisconsin,County_530,,
53080,City_53080,Wisconsin,County_530,,
53085,City_53085,Wisconsin,County_530,,
53090,City_53090,Wisconsin,County_530,,
53095,City_53095,Wisconsin,County_530,,
53100,City_53100,Wisconsin,County_531,,
53105,City_53105,Wisconsin,County_531,,
53110,City_53110,Wisconsin,County_531,,
53115,City_53115,Wisconsin,County_531,,
53120,City_53120,Wisconsin,County_531,,
53125,City_53125,Wisconsin,County_531,,
53130,City_53130,Wisconsin,County_531,,
53135,City_53135,Wisconsin,County_531,,
53140,City_53140,Wisconsin,County_531,,
53145,City_53145,Wisconsin,County_531,,
53150,City_53150,Wisconsin,County_531,,
53155,City_53155,Wisconsin,County_531,,
53160,City_53160,Wisconsin,County_531,,
53165,City_53165,Wisconsin,County_531,,
53170,City_53170,Wisconsin,County_531,,
53175,City_53175,Wisconsin,County_531,,
53180,City_53180,Wisconsin,County_531,,
53185,City_53185,Wisconsin,County_531,,
53190,City_53190,Wisconsin,County_531,,
53195,City_53195,Wisconsin,County_531,,
53200,City_53200,Wisconsin,County_532,,
53205,City_53205,Wisconsin,County_532,,
53210,City_53210,Wisconsin,County_532,,
53215,City_53215,Wisconsin,County_532,,
53220,City_53220,Wisconsin,County_532,,
53225,City_53225,Wisconsin,County_532,,
53230,City_53230,Wisconsin,County_532,,
53235,City_53235,Wisconsin,County_532,,
53240,City_53240,Wisconsin,County_532,,
53245,City_53245,Wisconsin,County_532,,
53250,City_53250,Wisconsin,County_532,,
53255,City_53255,Wisconsin,County_532,,
53260,City_53260,Wisconsin,County_532,,
53265,City_53265,Wisconsin,County_532,,
53270,City_53270,Wisconsin,County_532,,
53275,City_53275,Wisconsin,County_532,,
53280,City_53280,Wisconsin,County_532,,
53285,City_53285,Wisconsin,County_532,,
53290,City_53290,Wisconsin,County_532,,
53295,City_53295,Wisconsin,County_532,,
53300,City_53300,Wisconsin,County_533,,
53305,City_53305,Wisconsin,County_533,,
53310,City_53310,Wisconsin,County_533,,
53315,City_53315,Wisconsin,County_533,,
53320,City_53320,Wisconsin,County_533,,
