zip_code,city,state,county,latitude,longitude
82000,City_82000,Wyoming,County_820,,
82005,City_82005,Wyoming,County_820,,
82010,City_82010,Wyoming,County_820,,
82015,City_82015,Wyoming,County_820,,
82020,City_82020,Wyoming,County_820,,
82025,City_82025,Wyoming,County_820,,
82030,City_82030,Wyoming,County_820,,
82035,City_82035,Wyoming,County_820,,
82040,City_82040,Wyoming,County_820,,
82045,City_82045,Wyoming,County_820,,
82050,City_82050,Wyoming,County_820,,
82055,City_82055,Wyoming,County_820,,
82060,City_82060,Wyoming,County_820,,
82065,City_82065,Wyoming,County_820,,
82070,City_82070,Wyoming,County_820,,
82075,City_82075,Wyoming,County_820,,
82080,City_82080,Wyoming,County_820,,
82085,City_82085,Wyoming,County_820,,
82090,City_82090,Wyoming,County_820,,
82095,City_82095,Wyoming,County_820,,
82100,City_82100,Wyoming,County_821,,
82105,City_82105,Wyoming,County_821,,
82110,City_82110,Wyoming,County_821,,
82115,City_82115,Wyoming,County_821,,
82120,City_82120,Wyoming,County_821,,
82125,City_82125,Wyoming,County_821,,
82130,City_82130,Wyoming,County_821,,
82135,City_82135,Wyoming,County_821,,
82140,City_82140,Wyoming,County_821,,
82145,City_82145,Wyoming,County_821,,
82150,City_82150,Wyoming,County_821,,
82155,City_82155,Wyoming,County_821,,
82160,City_82160,Wyoming,County_821,,
82165,City_82165,Wyoming,County_821,,
82170,City_82170,Wyoming,County_821,,
82175,City_82175,Wyoming,County_821,,
82180,City_82180,Wyoming,County_821,,
82185,City_82185,Wyoming,County_821,,
82190,City_82190,Wyoming,County_821,,
82195,City_82195,Wyoming,County_821,,
82200,City_82200,Wyoming,County_822,,
82205,City_82205,Wyoming,County_822,,
82210,City_82210,Wyoming,County_822,,
82215,City_82215,Wyoming,County_822,,
82220,City_82220,Wyoming,County_822,,
82225,City_82225,Wyoming,County_822,,
82230,City_82230,Wyoming,County_822,,
82235,City_82235,Wyoming,County_822,,
82240,City_82240,Wyoming,County_822,,
82245,City_82245,Wyoming,County_822,,
82250,City_82250,Wyoming,County_822,,
82255,City_82255,Wyoming,County_822,,
82260,City_82260,Wyoming,County_822,,
82265,City_82265,Wyoming,County_822,,
82270,City_82270,Wyoming,County_822,,
82275,City_82275,Wyoming,County_822,,
82280,City_82280,Wyoming,County_822,,
82285,City_82285,Wyoming,County_822,,
82290,City_82290,Wyoming,County_822,,
82295,City_82295,Wyoming,County_822,,
82300,City_82300,Wyoming,County_823,,
82305,City_82305,Wyoming,County_823,,
82310,City_82310,Wyoming,County_823,,
82315,City_82315,Wyoming,County_823,,
82320,City_82320,Wyoming,County_823,,
82325,City_82325,Wyoming,County_823,,
82330,City_82330,Wyoming,County_823,,
82335,City_82335,Wyoming,County_823,,
82340,City_82340,Wyoming,County_823,,
82345,City_82345,Wyoming,County_823,,
82350,City_82350,Wyoming,County_823,,
82355,City_82355,Wyoming,County_823,,
82360,City_82360,Wyoming,County_823,,
82365,City_82365,Wyoming,County_823,,
82370,City_82370,Wyoming,County_823,,
82375,City_82375,Wyoming,County_823,,
82380,City_82380,Wyoming,County_823,,
82385,City_82385,Wyoming,County_823,,
82390,City_82390,Wyoming,County_823,,
82395,City_82395,Wyoming,County_823,,
82400,City_82400,Wyoming,County_824,,
82405,City_82405,Wyoming,County_824,,
82410,City_82410,Wyoming,County_824,,
82415,City_82415,Wyoming,County_824,,
82420,City_82420,Wyoming,County_824,,
82425,City_82425,Wyoming,County_824,,
82430,City_82430,Wyoming,County_824,,
82435,City_82435,Wyoming,County_824,,
82440,City_82440,Wyoming,County_824,,
82445,City_82445,Wyoming,County_824,,
82450,City_82450,Wyoming,County_824,,
82455,City_82455,Wyoming,County_824,,
82460,City_82460,Wyoming,County_824,,
82465,City_82465,Wyoming,County_824,,
82470,City_82470,Wyoming,County_824,,
82475,City_82475,Wyoming,County_824,,
82480,City_82480,Wyoming,County_824,,
82485,City_82485,Wyoming,County_824,,
82490,City_82490,Wyoming,County_824,,
82495,City_82495,Wyoming,County_824,,
82500,City_82500,Wyoming,County_825,,
82505,City_82505,Wyoming,County_825,,
82510,City_82510,Wyoming,County_825,,
82515,City_82515,Wyoming,County_825,,
82520,City_82520,Wyoming,County_825,,
82525,City_82525,Wyoming,County_825,,
82530,City_82530,Wyoming,County_825,,
82535,City_82535,Wyoming,County_825,,
82540,City_82540,Wyoming,County_825,,
82545,City_82545,Wyoming,County_825,,
82550,City_82550,Wyoming,County_825,,
82555,City_82555,Wyoming,County_825,,
82560,City_82560,Wyoming,County_825,,
82565,City_82565,Wyoming,County_825,,
82570,City_82570,Wyoming,County_825,,
82575,City_82575,Wyoming,County_825,,
82580,City_82580,Wyoming,County_825,,
82585,City_82585,Wyoming,County_825,,
82590,City_82590,Wyoming,County_825,,
82595,City_82595,Wyoming,County_825,,
82600,City_82600,Wyoming,County_826,,
82605,City_82605,Wyoming,County_826,,
82610,City_82610,Wyoming,County_826,,
82615,City_82615,Wyoming,County_826,,
82620,City_82620,Wyoming,County_826,,
82625,City_82625,Wyoming,County_826,,
82630,City_82630,Wyoming,County_826,,
82635,City_82635,Wyoming,County_826,,
82640,City_82640,Wyoming,County_826,,
82645,City_82645,Wyoming,County_826,,
82650,City_82650,Wyoming,County_826,,
82655,City_82655,Wyoming,County_826,,
82660,City_82660,Wyoming,County_826,,
82665,City_82665,Wyoming,County_826,,
82670,City_82670,Wyoming,County_826,,
82675,City_82675,Wyoming,County_826,,
82680,City_82680,Wyoming,County_826,,
82685,City_82685,Wyoming,County_826,,
82690,City_82690,Wyoming,County_826,,
82695,City_82695,Wyoming,County_826,,
82700,City_82700,Wyoming,County_827,,
82705,City_82705,Wyoming,County_827,,
82710,City_82710,Wyoming,County_827,,
82715,City_82715,Wyoming,County_827,,
82720,City_82720,Wyoming,County_827,,
82725,City_82725,Wyoming,County_827,,
82730,City_82730,Wyoming,County_827,,
82735,City_82735,Wyoming,County_827,,
82740,City_82740,Wyoming,County_827,,
82745,City_82745,Wyoming,County_827,,
82750,City_82750,Wyoming,County_827,,
82755,City_82755,Wyoming,County_827,,
82760,City_82760,Wyoming,County_827,,
82765,City_82765,Wyoming,County_827,,
82770,City_82770,Wyoming,County_827,,
82775,City_82775,Wyoming,County_827,,
82780,City_82780,Wyoming,County_827,,
82785,City_82785,Wyoming,County_827,,
82790,City_82790,Wyoming,County_827,,
82795,City_82795,Wyoming,County_827,,
82800,City_82800,Wyoming,County_828,,
82805,City_82805,Wyoming,County_828,,
82810,City_82810,Wyoming,County_828,,
82815,City_82815,Wyoming,County_828,,
82820,City_82820,Wyoming,County_828,,
82825,City_82825,Wyoming,County_828,,
82830,City_82830,Wyoming,County_828,,
82835,City_82835,Wyoming,County_828,,
82840,City_82840,Wyoming,County_828,,
82845,City_82845,Wyoming,County_828,,
82850,City_82850,Wyoming,County_828,,
82855,City_82855,Wyoming,County_828,,
82860,City_82860,Wyoming,County_828,,
82865,City_82865,Wyoming,County_828,,
82870,City_82870,Wyoming,County_828,,
82875,City_82875,Wyoming,County_828,,
82880,City_82880,Wyoming,County_828,,
82885,City_82885,Wyoming,County_828,,
82890,City_82890,Wyoming,County_828,,
82895,City_82895,Wyoming,County_828,,
82900,City_82900,Wyoming,County_829,,
82905,City_82905,Wyoming,County_829,,
82910,City_82910,Wyoming,County_829,,
82915,City_82915,Wyoming,County_829,,
82920,City_82920,Wyoming,County_829,,
82925,City_82925,Wyoming,County_829,,
82930,City_82930,Wyoming,County_829,,
82935,City_82935,Wyoming,County_829,,
82940,City_82940,Wyoming,County_829,,
82945,City_82945,Wyoming,County_829,,
82950,City_82950,Wyoming,County_829,,
82955,City_82955,Wyoming,County_829,,
82960,City_82960,Wyoming,County_829,,
82965,City_82965,Wyoming,County_829,,
82970,City_82970,Wyoming,County_829,,
82975,City_82975,Wyoming,County_829,,
82980,City_82980,Wyoming,County_829,,
82985,City_82985,Wyoming,County_829,,
82990,City_82990,Wyoming,County_829,,
82995,City_82995,Wyoming,County_829,,
83000,City_83000,Wyoming,County_830,,
83005,City_83005,Wyoming,County_830,,
83010,City_83010,Wyoming,County_830,,
83015,City_83015,Wyoming,County_830,,
83020,City_83020,Wyoming,County_830,,
83025,City_83025,Wyoming,County_830,,
83030,City_83030,Wyoming,County_830,,
83035,City_83035,Wyoming,County_830,,
83040,City_83040,Wyoming,County_830,,
83045,City_83045,Wyoming,County_830,,
83050,City_83050,Wyoming,County_830,,
83055,City_83055,Wyoming,County_830,,
83060,City_83060,Wyoming,County_830,,
83065,City_83065,Wyoming,County_830,,
83070,City_83070,Wyoming,County_830,,
83075,City_83075,Wyoming,County_830,,
83080,City_83080,Wyoming,County_830,,
83085,City_83085,Wyoming,County_830,,
83090,City_83090,Wyoming,County_830,,
83095,City_83095,Wyoming,County_830,,
83100,City_83100,Wyoming,County_831,,
83105,City_83105,Wyoming,County_831,,
83110,City_83110,Wyoming,County_831,,
83115,City_83115,Wyoming,County_831,,
83120,City_83120,Wyoming,County_831,,
83125,City_83125,Wyoming,County_831,,
83130,City_83130,Wyoming,County_831,,
83135,City_83135,Wyoming,County_831,,
83140,City_83140,Wyoming,County_831,,
83145,City_83145,Wyoming,County_831,,
83150,City_83150,Wyoming,County_831,,
83155,City_83155,Wyoming,County_831,,
83160,City_83160,Wyoming,County_831,,
83165,City_83165,Wyoming,County_831,,
83170,City_83170,Wyoming,County_831,,
83175,City_83175,Wyoming,County_831,,
83180,City_83180,Wyoming,County_831,,
83185,City_83185,Wyoming,County_831,,
83190,City_83190,Wyoming,County_831,,
83195,City_83195,Wyoming,County_831,,
